"lambda","mu","p","n","snr","MSE"
1,100,275,200,3.66666666666667,2.87827117195641
1,500,1847,200,1,0.923505007525634
1,500,199,200,2.33333333333333,20.316080136213
1,1,979,200,2.33333333333333,2.12501390983474
1,200,25,200,5,0.152530027071781
1,1,83,200,3.66666666666667,0.764517627243837
1,200,1059,200,2.33333333333333,2.16576764700406
1,1,134,200,3.66666666666667,1.87492140553059
1,200,377,200,2.33333333333333,2.03960542349496
1,1,904,200,3.66666666666667,3.31023140599881
1,500,1455,200,5,4.80829593511991
1,1,34,200,1,0.157752070505551
1,1,47,200,2.33333333333333,0.262034395404319
1,1,1242,200,5,4.26228466337431
1,1,608,200,2.33333333333333,1.81940856657421
1,100,771,200,2.33333333333333,1.90846287238179
1,500,1344,200,2.33333333333333,2.38723265242252
1,1,561,200,3.66666666666667,2.7900652119044
1,100,27,200,2.33333333333333,0.200028357427688
1,100,518,200,3.66666666666667,2.26259610265779
1,1,771,200,5,3.72980141029866
1,1,34,200,5,0.157752070505551
1,500,56,200,5,0.447477524121486
1,100,77,200,3.66666666666667,0.506104386258679
1,200,44,200,1,0.199913582159186
1,100,71,200,2.33333333333333,0.35728420270391
1,1,199,200,1,84.7410137706741
1,100,835,200,1,1.07563234755935
1,100,712,200,1,1.06219206601276
1,200,90,200,1,0.726243935918164
1,200,479,200,1,1.25501458900888
1,100,979,200,2.33333333333333,2.10563191080638
1,500,348,200,2.33333333333333,1.77131232146712
1,1,835,200,5,4.05576908432546
1,1,51,200,5,0.294301458071148
1,1,904,200,1,1.11980937814188
1,100,47,200,3.66666666666667,0.277959337170753
1,100,518,200,5,2.90679550165986
1,100,65,200,3.66666666666667,0.489962665240742
1,200,77,200,3.66666666666667,0.505832441024629
1,1,105,200,5,1.35963997985926
1,100,1576,200,5,4.46424454741635
1,500,40,200,3.66666666666667,0.244395911770826
1,1,170,200,2.33333333333333,6.05350943638565
1,500,608,200,3.66666666666667,2.6179811121744
1,200,29,200,5,0.134967484369873
1,200,44,200,5,0.199913582159227
1,200,712,200,5,3.91493798554577
1,500,658,200,5,3.7858092377467
1,1,712,200,3.66666666666667,2.9791434472321
1,100,1847,200,2.33333333333333,2.13349316965123
1,500,170,200,2.33333333333333,5.97216427869953
1,1,234,200,1,7.768227929614
1,500,77,200,1,0.50566823884078
1,1,348,200,2.33333333333333,1.79328571517142
1,500,184,200,1,10.6688627128155
1,200,21,200,5,0.183564897938273
1,1,23,200,5,0.16139044834082
1,100,23,200,2.33333333333333,0.162341723262896
1,100,712,200,3.66666666666667,2.9704801658625
1,200,479,200,3.66666666666667,2.63536381170183
1,200,47,200,1,0.278124957981632
1,500,37,200,3.66666666666667,0.151412932610168
1,200,1847,200,2.33333333333333,2.13337935410328
1,200,234,200,3.66666666666667,8.28361357470921
1,200,200,200,3.66666666666667,30.8403430873459
1,500,51,200,1,0.294601594600043
1,200,2000,200,5,5.60590238252467
1,100,1344,200,5,4.80993775053794
1,500,170,200,5,5.97216427913325
1,500,56,200,1,0.447477524117866
1,500,1455,200,2.33333333333333,2.3676318065087
1,200,114,200,3.66666666666667,1.62803812153395
1,1,608,200,3.66666666666667,2.6303659286516
1,1,254,200,1,3.58364465663159
1,500,254,200,1,3.60481496119757
1,200,77,200,2.33333333333333,0.50583244102462
1,200,199,200,1,77.5964279365604
1,100,608,200,3.66666666666667,2.61796991590051
1,500,124,200,3.66666666666667,1.5149922410077
1,100,47,200,5,0.277959337170751
1,500,23,200,1,0.162501799246758
1,1,200,200,3.66666666666667,1637.7007194578
1,100,32,200,3.66666666666667,0.118305370045921
1,500,1847,200,3.66666666666667,3.37176834124228
1,100,658,200,2.33333333333333,1.97024155966167
1,200,37,200,5,0.151361787991473
