"lambda","mu","p","n","snr","MSE"
1,500,65,200,5,0.965485328868931
1,200,90,200,5,0.909835951457348
1,200,105,200,2.33333333333333,0.926242494145077
1,200,32,200,2.33333333333333,0.9208892292045
1,1,34,200,2.33333333333333,0.892499388117616
1,500,157,200,3.66666666666667,0.882904831098411
1,500,34,200,5,0.90890913778618
1,1,518,200,5,5.08623194374881
1,500,348,200,3.66666666666667,2.55129301657
1,200,1147,200,3.66666666666667,3.42100971013949
1,1,561,200,5,4.98087705297131
1,200,835,200,5,5.09199322879469
1,200,37,200,2.33333333333333,0.932304331720179
1,200,21,200,5,0.818702642186398
1,200,408,200,3.66666666666667,3.25865926437331
1,100,377,200,5,3.99846842282105
1,1,37,200,5,0.892499388117617
1,200,275,200,3.66666666666667,1.82480507778519
1,200,1344,200,3.66666666666667,3.43787437792911
1,100,157,200,1,0.88273852994523
1,500,90,200,2.33333333333333,0.909895847002649
1,200,2000,200,1,1.03518169774263
1,1,1706,200,5,4.60230432229817
1,100,712,200,2.33333333333333,2.63495221536977
1,200,23,200,3.66666666666667,0.829068812766758
1,100,170,200,3.66666666666667,0.945057746652417
1,100,1242,200,2.33333333333333,2.22447898881326
1,1,124,200,1,0.892499388117612
1,200,1344,200,5,4.63566437162718
1,100,200,200,1,1.18181972826909
1,500,25,200,2.33333333333333,0.892583927411899
1,500,40,200,2.33333333333333,0.978229635567575
1,200,771,200,1,1.27371133414535
1,200,1242,200,3.66666666666667,3.40174715434007
1,200,904,200,3.66666666666667,3.56022454135834
1,200,65,200,2.33333333333333,0.965148902235921
1,200,608,200,3.66666666666667,4.00811235767004
1,100,348,200,3.66666666666667,2.5513374849222
1,1,904,200,2.33333333333333,2.29769841114258
1,1,1576,200,5,5.07878145612953
1,100,216,200,1,0.944984629152107
1,200,1847,200,2.33333333333333,2.36740772394223
1,500,1847,200,1,1.07551808132354
1,500,134,200,2.33333333333333,0.968682413299235
1,100,479,200,1,1.37312126163266
1,1,835,200,3.66666666666667,3.70078223965901
1,200,1706,200,2.33333333333333,2.27810093107386
1,100,170,200,2.33333333333333,0.945057746652081
1,1,44,200,1,0.892499388117617
1,1,145,200,1,0.892499388117618
1,500,904,200,5,4.75258483087514
1,200,184,200,1,0.991459408615074
1,500,479,200,5,4.96004318687908
1,200,47,200,2.33333333333333,0.957051543632582
1,200,37,200,5,0.932304331720417
1,200,40,200,3.66666666666667,0.97763669062778
1,1,771,200,3.66666666666667,3.61155577918005
1,500,65,200,3.66666666666667,0.965485328866423
1,200,200,200,3.66666666666667,1.30847194665621
1,500,21,200,5,0.818946950377745
1,500,25,200,3.66666666666667,0.892583927410015
1,1,1455,200,1,1.07606832161891
1,1,27,200,5,0.892499388117619
1,200,37,200,1,0.932304331719996
1,500,77,200,3.66666666666667,0.964460792980035
1,100,1147,200,5,4.60177560376422
1,200,20,200,3.66666666666667,0.822139735894215
1,100,408,200,2.33333333333333,2.26932836688118
1,200,377,200,5,3.99758377075482
1,500,105,200,5,0.926297263237919
1,100,561,200,2.33333333333333,2.64295645362788
1,100,518,200,5,5.279675803839
1,100,1344,200,3.66666666666667,3.43790345014716
1,500,1455,200,1,1.11464532169573
1,100,1706,200,2.33333333333333,2.27804195657091
1,1,297,200,3.66666666666667,2.09451665800592
1,100,377,200,3.66666666666667,3.06337066212146
1,1,77,200,2.33333333333333,0.892499388117618
1,100,47,200,1,0.956296764949077
1,500,47,200,2.33333333333333,0.957496885260546
1,1,157,200,2.33333333333333,0.892499388117634
1,1,114,200,2.33333333333333,0.892499388117616
1,200,275,200,5,2.26575276271335
1,100,199,200,1,1.18426101197648
1,500,90,200,5,0.909895846997282
1,1,658,200,5,4.93576969343912
1,1,20,200,1,0.892499388117618
1,1,216,200,2.33333333333333,0.895378850209307
1,500,2000,200,5,4.76557819991827
1,100,442,200,1,1.36710652720264
1,500,1147,200,5,4.60140694404924
1,100,1059,200,3.66666666666667,3.49767146077595
1,1,348,200,2.33333333333333,1.75475875508979
1,1,34,200,5,0.892499388117617
1,500,479,200,2.33333333333333,2.58128611065281
1,100,27,200,5,0.90397131098013
1,1,348,200,1,1.02758617176825
1,200,56,200,5,0.970681548304011
1,200,561,200,5,5.11679486370685
1,1,275,200,5,2.22482848780528
1,100,21,200,5,0.818323708986949
1,200,1455,200,1,1.11465995877992
1,100,44,200,1,0.969765545524561
1,500,234,200,2.33333333333333,1.06973916280867
1,100,29,200,5,0.918617014051084
1,100,1455,200,3.66666666666667,3.6904136280751
1,500,297,200,5,2.69811058491094
1,100,254,200,2.33333333333333,1.17183488273272
1,200,29,200,3.66666666666667,0.919264953021088
1,500,377,200,2.33333333333333,2.13013224056537
1,500,56,200,3.66666666666667,0.971101714659827
1,200,184,200,3.66666666666667,0.991459408585083
1,200,561,200,2.33333333333333,2.64209237214259
1,200,771,200,5,4.96919756132849
1,1,1344,200,3.66666666666667,3.39325001000941
1,1,20,200,5,0.892499388117619
1,1,83,200,5,0.892499388117619
1,200,34,200,1,0.908461771782696
1,1,90,200,5,0.892499388117622
1,1,234,200,3.66666666666667,1.15441457465098
1,500,157,200,1,0.88290483108487
1,100,479,200,5,4.96143193123407
1,500,216,200,2.33333333333333,1.01713838139636
1,500,47,200,5,0.957496885258663
1,200,216,200,5,1.19104268499763
1,1,105,200,2.33333333333333,0.892499388117612
1,100,20,200,3.66666666666667,0.82177338123472
1,500,90,200,3.66666666666667,0.909895846999528
1,100,83,200,2.33333333333333,0.945693468037865
1,100,199,200,5,1.19341408490716
1,100,658,200,1,1.30404366112239
1,500,170,200,3.66666666666667,0.945896536515848
1,100,97,200,2.33333333333333,0.906105794051146
1,200,114,200,1,0.904019471028162
1,500,145,200,2.33333333333333,0.981408588388356
1,200,200,200,1,1.16354245033858
1,200,20,200,1,0.822139735894252
1,1,216,200,1,0.849876235145355
1,100,145,200,2.33333333333333,0.98071557695079
1,100,771,200,5,4.96882692370922
1,200,348,200,2.33333333333333,1.80334776165409
1,500,114,200,1,0.904043497219407
1,200,25,200,5,0.892213794753307
1,100,23,200,5,0.828520593856917
1,500,56,200,1,0.971101714664616
1,1,21,200,1,0.89249938811762
1,100,518,200,2.33333333333333,2.71552999555632
1,100,60,200,3.66666666666667,0.96051054822687
1,200,1706,200,1,1.04626692665451
1,1,518,200,3.66666666666667,3.84314483307423
1,500,1706,200,5,4.74018385106618
1,100,47,200,5,0.956296764949014
1,500,254,200,2.33333333333333,1.17248621469495
1,200,40,200,5,0.977636690627884
1,100,21,200,1,0.818323708987097
1,100,518,200,1,1.41924076843948
1,100,297,200,3.66666666666667,2.12720345566726
1,1,25,200,1,0.892499388117617
1,1,40,200,5,0.892499388117616
1,200,1242,200,1,1.04771385452265
1,1,712,200,2.33333333333333,2.51663172745798
1,500,157,200,2.33333333333333,0.882904831092654
1,100,254,200,3.66666666666667,1.47880518260131
1,1,51,200,1,0.892499388117618
1,100,124,200,2.33333333333333,0.942955037242367
1,500,21,200,2.33333333333333,0.818946950374747
1,100,200,200,2.33333333333333,1.21417351749564
1,100,979,200,3.66666666666667,3.29765974292949
1,1,71,200,2.33333333333333,0.892499388117619
1,200,83,200,5,0.945897685932825
1,1,51,200,2.33333333333333,0.892499388117617
1,500,184,200,3.66666666666667,0.992619130994185
1,200,1059,200,5,4.68612276239923
1,200,44,200,3.66666666666667,0.970645560744189
1,1,157,200,3.66666666666667,0.892499388117636
1,100,157,200,3.66666666666667,0.882738529943759
1,1,479,200,2.33333333333333,2.43068741513751
1,500,1344,200,1,1.04061033711689
1,1,348,200,5,3.24448298586596
1,1,29,200,3.66666666666667,0.892499388117616
1,200,377,200,3.66666666666667,3.06264774599292
1,100,608,200,2.33333333333333,2.72330542676246
1,200,322,200,1,1.04838753306706
1,1,199,200,1,0.892499388117853
1,200,199,200,1,1.14537055894333
1,500,658,200,5,5.0162261583009
1,100,25,200,3.66666666666667,0.891588508485063
1,100,124,200,5,0.942955037242173
1,100,216,200,2.33333333333333,1.01466055695471
1,200,44,200,1,0.970645560744405
1,1,408,200,2.33333333333333,2.18981325409728
1,200,904,200,5,4.75239571347498
1,200,1576,200,3.66666666666667,3.84879975906231
1,200,157,200,5,0.882841174916527
1,500,40,200,3.66666666666667,0.97822963556595
1,100,234,200,1,0.938555507453212
1,1,835,200,2.33333333333333,2.45132224101349
1,200,40,200,2.33333333333333,0.97763669062766
1,500,234,200,3.66666666666667,1.21928869390459
1,200,348,200,1,1.06924370970426
1,100,904,200,2.33333333333333,2.36524203706142
1,1,184,200,5,0.892499388117704
1,500,37,200,5,0.932799622527004
1,100,134,200,3.66666666666667,0.96790028912224
1,500,771,200,1,1.27376988191264
1,200,1455,200,5,4.97576206413009
1,1,200,200,3.66666666666667,0.892499388112474
1,1,44,200,3.66666666666667,0.892499388117616
1,100,29,200,3.66666666666667,0.918617014051057
1,200,1059,200,1,1.11461730953313
1,500,124,200,1,0.943491558620219
1,200,1344,200,1,1.04061450283569
1,500,105,200,1,0.92629726323112
1,1,1706,200,2.33333333333333,2.19338781960494
1,200,408,200,1,1.28554471480036
1,500,20,200,2.33333333333333,0.822364398546607
1,100,134,200,1,0.9679002891225
1,100,835,200,5,5.09173604030527
1,200,518,200,2.33333333333333,2.71509640071282
1,100,1455,200,2.33333333333333,2.40376525187571
1,1,1242,200,3.66666666666667,3.35280098378349
1,500,1147,200,3.66666666666667,3.42091018512728
1,1,105,200,3.66666666666667,0.892499388117612
1,500,60,200,3.66666666666667,0.961541067230824
1,200,170,200,1,0.945583419243736
1,100,322,200,5,3.03565996344902
1,500,20,200,3.66666666666667,0.822364398547059
1,100,254,200,5,1.79119220291989
1,200,157,200,2.33333333333333,0.882841174918385
1,100,297,200,1,1.01245517658338
1,200,145,200,5,0.981151769194093
1,1,254,200,3.66666666666667,1.39994091493906
1,200,712,200,2.33333333333333,2.63463519119866
1,1,71,200,5,0.89249938811762
1,200,124,200,2.33333333333333,0.943291743356438
1,500,124,200,2.33333333333333,0.943491558665203
1,1,442,200,5,4.45335018295532
1,100,124,200,1,0.942955037242512
1,100,771,200,3.66666666666667,3.74446512484857
1,200,479,200,2.33333333333333,2.58162859323894
1,100,77,200,5,0.963845326437252
1,200,771,200,2.33333333333333,2.51493380554633
1,1,124,200,2.33333333333333,0.892499388117609
1,500,275,200,2.33333333333333,1.38801346611232
1,200,377,200,1,1.20410523288789
1,1,51,200,3.66666666666667,0.892499388117618
1,500,216,200,3.66666666666667,1.09787154260817
1,200,234,200,5,1.37757346493852
1,500,2000,200,2.33333333333333,2.27992848494875
1,200,199,200,2.33333333333333,1.1489588549228
1,200,199,200,5,1.15471937506284
1,1,145,200,2.33333333333333,0.892499388117619
1,100,65,200,1,0.964578334158135
1,500,65,200,2.33333333333333,0.965485328863385
1,1,23,200,1,0.892499388117617
1,1,275,200,1,0.92256590796189
1,100,40,200,5,0.976628010461254
1,500,561,200,1,1.38601317669598
1,100,184,200,5,0.989534858893494
1,200,1576,200,2.33333333333333,2.51220654765734
1,100,561,200,3.66666666666667,3.88411490907961
1,200,1455,200,3.66666666666667,3.69030675987218
1,1,21,200,2.33333333333333,0.89249938811762
1,500,51,200,1,0.934874652821661
1,500,322,200,3.66666666666667,2.36249779103394
1,200,77,200,5,0.964232944588158
1,1,37,200,3.66666666666667,0.892499388117615
1,1,199,200,2.33333333333333,0.892499388117955
1,100,1576,200,5,5.18181750784076
1,500,1706,200,1,1.04628876991217
1,100,27,200,3.66666666666667,0.903971310980133
1,100,1455,200,5,4.97591377025458
1,1,97,200,5,0.892499388117617
1,200,27,200,3.66666666666667,0.904657278025084
1,500,71,200,2.33333333333333,0.963683465651386
1,500,184,200,5,0.99261913099274
1,1,1344,200,5,4.58406571083637
1,500,134,200,1,0.968682413257073
1,100,51,200,1,0.933957806117331
1,100,105,200,2.33333333333333,0.926147610431352
1,500,32,200,2.33333333333333,0.921379521210124
1,500,1344,200,3.66666666666667,3.43785647025666
1,100,44,200,5,0.969765545524458
1,500,348,200,5,3.30578619978422
1,500,56,200,2.33333333333333,0.971101714661853
1,1,157,200,5,0.892499388117636
1,100,1344,200,1,1.04062067847374
1,1,1455,200,3.66666666666667,3.61487447793968
1,1,608,200,1,1.36405065664621
1,500,254,200,5,1.79183953922335
1,500,1847,200,2.33333333333333,2.36749358938438
1,100,712,200,5,5.20242003977792
1,200,377,200,2.33333333333333,2.13046128592979
1,100,90,200,3.66666666666667,0.909734966045448
1,100,2000,200,3.66666666666667,3.52270186675416
1,1,29,200,5,0.892499388117614
1,100,124,200,3.66666666666667,0.942955037242266
1,500,234,200,1,0.938889379509418
1,100,60,200,1,0.960510548227342
1,1,658,200,1,1.26240311297889
1,100,712,200,1,1.33631880989353
1,500,275,200,5,2.26551154479829
1,200,297,200,1,1.01241851950439
1,100,1242,200,3.66666666666667,3.40176375090208
1,1,561,200,2.33333333333333,2.55075235964124
1,1,32,200,3.66666666666667,0.892499388117617
1,1,56,200,5,0.892499388117621
1,100,170,200,1,0.945057746651592
1,200,77,200,2.33333333333333,0.964232944588093
1,500,408,200,2.33333333333333,2.26868964663941
1,200,275,200,2.33333333333333,1.38811141649496
1,200,1847,200,1,1.0754696585651
1,1,479,200,1,1.2798950591716
1,200,51,200,3.66666666666667,0.934533471470894
1,1,27,200,2.33333333333333,0.892499388117619
1,1,65,200,5,0.892499388117614
1,200,518,200,5,5.27902077221106
1,200,1242,200,2.33333333333333,2.22447093635324
1,200,47,200,3.66666666666667,0.95705154363275
1,100,408,200,5,4.25205590169658
1,1,145,200,5,0.892499388117614
1,100,216,200,3.66666666666667,1.0987351432568
1,500,199,200,2.33333333333333,1.01319110531426
1,200,23,200,1,0.829068812766834
1,1,608,200,5,5.16129765632794
1,100,60,200,5,0.960510548226705
1,500,518,200,1,1.41875787644485
1,500,979,200,5,4.42482474158436
1,200,479,200,1,1.37274980937267
1,200,29,200,2.33333333333333,0.919264953020799
1,500,32,200,1,0.92137952120722
1,100,348,200,1,1.06922368621662
1,100,170,200,5,0.945057746652724
1,200,518,200,3.66666666666667,3.99976662388521
1,200,44,200,2.33333333333333,0.970645560744282
1,500,124,200,3.66666666666667,0.943491558698206
1,500,27,200,5,0.905061093352107
1,200,1344,200,2.33333333333333,2.23967669235915
1,100,34,200,2.33333333333333,0.907712317189304
1,1,97,200,1,0.892499388117619
1,500,1706,200,2.33333333333333,2.27813290682107
1,500,27,200,3.66666666666667,0.905061093352282
1,200,23,200,2.33333333333333,0.829068812766789
1,200,124,200,3.66666666666667,0.943291743355181
1,500,1242,200,5,4.57925158800238
1,500,170,200,5,0.945896536476032
1,100,904,200,5,4.7520768677941
1,200,71,200,5,0.963464292207499
1,500,2000,200,1,1.03524680878969
1,100,184,200,3.66666666666667,0.989534858885638
1,200,658,200,5,5.01707969850633
1,100,40,200,1,0.976628010461335
1,100,1059,200,1,1.11469216267042
1,500,479,200,3.66666666666667,3.77436361368108
1,500,114,200,5,0.904043497193077
1,500,32,200,5,0.921379521214016
1,200,114,200,5,0.90401947103025
1,200,97,200,5,0.906111410878815
1,100,37,200,2.33333333333333,0.931465103220175
1,100,51,200,5,0.93395780611729
1,500,1576,200,2.33333333333333,2.5122485080065
1,200,32,200,1,0.920889229204387
1,1,408,200,5,4.15139192949657
1,100,200,200,5,1.27307461194957
1,200,979,200,1,1.04353793080034
1,200,97,200,2.33333333333333,0.906111410877865
1,200,254,200,5,1.79159740712322
1,1,904,200,1,1.12027257708462
1,500,712,200,1,1.33597677647756
1,500,835,200,1,1.25558760632849
1,1,408,200,3.66666666666667,3.16849299506014
1,100,408,200,3.66666666666667,3.25920377906655
1,1,124,200,3.66666666666667,0.89249938811761
1,1,1576,200,3.66666666666667,3.76360265277888
1,1,608,200,3.66666666666667,3.90321220635832
1,200,216,200,1,0.946242330880804
1,100,51,200,2.33333333333333,0.933957806117313
1,500,32,200,3.66666666666667,0.921379521212259
1,100,1242,200,1,1.04771640291817
1,500,608,200,5,5.28495060820525
1,1,170,200,5,0.892499388117646
1,200,979,200,5,4.42503642902425
1,500,979,200,1,1.0434772315704
1,100,1576,200,2.33333333333333,2.51213298169627
1,1,1147,200,3.66666666666667,3.33259554161595
1,100,21,200,3.66666666666667,0.818323708986985
1,500,27,200,2.33333333333333,0.905061093352446
1,1,1847,200,3.66666666666667,3.59275898789035
1,100,56,200,5,0.969967952832639
1,1,712,200,5,5.01803041895079
1,200,105,200,5,0.926242494144154
1,100,97,200,5,0.906105794051097
1,1,23,200,5,0.892499388117617
1,100,1706,200,1,1.04622683821151
1,500,1847,200,5,4.9560303944363
