λ,μ,p,n,MSE
37.473684210526315,1.0,952,200,5,24.09925910097697
37.473684210526315,1.0,1000,200,5,18.05118934636504
42.68421052631579,1.0,100,200,5,4.127637405677996
42.68421052631579,1.0,147,200,5,18.033081352388482
42.68421052631579,1.0,194,200,5,11.289624920232061
42.68421052631579,1.0,242,200,5,10.789874767135656
42.68421052631579,1.0,289,200,5,13.110460446089183
42.68421052631579,1.0,336,200,5,14.230063365094116
42.68421052631579,1.0,384,200,5,19.564226727656326
42.68421052631579,1.0,431,200,5,15.532288711783623
42.68421052631579,1.0,478,200,5,13.175802224290525
42.68421052631579,1.0,526,200,5,13.92676763693019
42.68421052631579,1.0,573,200,5,19.92008548628855
42.68421052631579,1.0,621,200,5,20.05829561880274
42.68421052631579,1.0,668,200,5,15.148470715218378
42.68421052631579,1.0,715,200,5,22.485347564630846
42.68421052631579,1.0,763,200,5,19.47768109933397
42.68421052631579,1.0,810,200,5,23.738213250102856
42.68421052631579,1.0,857,200,5,22.200492714317054
42.68421052631579,1.0,905,200,5,17.381021573196225
42.68421052631579,1.0,952,200,5,22.26962253766585
42.68421052631579,1.0,1000,200,5,30.834071754636316
47.89473684210526,1.0,100,200,5,3.1775587497752835
47.89473684210526,1.0,147,200,5,67.00892188159222
47.89473684210526,1.0,194,200,5,9.652603598697153
47.89473684210526,1.0,242,200,5,14.603662981011137
47.89473684210526,1.0,289,200,5,14.109979482996202
47.89473684210526,1.0,336,200,5,21.653808490404995
47.89473684210526,1.0,384,200,5,23.99015512874586
47.89473684210526,1.0,431,200,5,17.21277970812407
47.89473684210526,1.0,478,200,5,21.003922982385383
47.89473684210526,1.0,526,200,5,17.720861526815096
47.89473684210526,1.0,573,200,5,15.72582134657029
47.89473684210526,1.0,621,200,5,18.88242194509998
47.89473684210526,1.0,668,200,5,21.397778360392735
47.89473684210526,1.0,715,200,5,22.984099096867276
47.89473684210526,1.0,763,200,5,19.68794023239434
47.89473684210526,1.0,810,200,5,20.067341730183134
47.89473684210526,1.0,857,200,5,26.46187295732794
47.89473684210526,1.0,905,200,5,19.907179864127517
47.89473684210526,1.0,952,200,5,25.662692443896255
47.89473684210526,1.0,1000,200,5,18.864733367301778
53.10526315789473,1.0,100,200,5,3.785678241989226
53.10526315789473,1.0,147,200,5,33.471104421970274
53.10526315789473,1.0,194,200,5,11.62892319806777
53.10526315789473,1.0,242,200,5,10.545598551924588
53.10526315789473,1.0,289,200,5,16.6487135743273
53.10526315789473,1.0,336,200,5,17.647420462251628
53.10526315789473,1.0,384,200,5,16.490299641959282
53.10526315789473,1.0,431,200,5,20.92204408548079
53.10526315789473,1.0,478,200,5,19.616633629180527
53.10526315789473,1.0,526,200,5,17.064258104962544
53.10526315789473,1.0,573,200,5,17.529706723772623
53.10526315789473,1.0,621,200,5,20.103272519370265
53.10526315789473,1.0,668,200,5,16.60812600613806
53.10526315789473,1.0,715,200,5,22.19755334564221
53.10526315789473,1.0,763,200,5,17.518510229625807
53.10526315789473,1.0,810,200,5,21.859750854145435
53.10526315789473,1.0,857,200,5,17.03165271852019
53.10526315789473,1.0,905,200,5,29.12814218645672
53.10526315789473,1.0,952,200,5,19.461340116434762
53.10526315789473,1.0,1000,200,5,32.10139436629806
58.315789473684205,1.0,100,200,5,3.8055117740893247
58.315789473684205,1.0,147,200,5,14.340490345195155
58.315789473684205,1.0,194,200,5,7.319707419693477
58.315789473684205,1.0,242,200,5,12.648170697956276
58.315789473684205,1.0,289,200,5,11.44565252535248
58.315789473684205,1.0,336,200,5,16.485181306434836
58.315789473684205,1.0,384,200,5,16.685703552828517
58.315789473684205,1.0,431,200,5,16.20458092589728
58.315789473684205,1.0,478,200,5,18.702580295203187
58.315789473684205,1.0,526,200,5,13.089454143402406
58.315789473684205,1.0,573,200,5,20.963726087660994
58.315789473684205,1.0,621,200,5,19.9927169305174
58.315789473684205,1.0,668,200,5,23.32464328984458
58.315789473684205,1.0,715,200,5,18.15996570474864
58.315789473684205,1.0,763,200,5,26.155923766581658
58.315789473684205,1.0,810,200,5,18.98639598930661
58.315789473684205,1.0,857,200,5,12.832390732958231
58.315789473684205,1.0,905,200,5,24.59146681923294
58.315789473684205,1.0,952,200,5,22.708313891782108
58.315789473684205,1.0,1000,200,5,25.344418693418604
63.526315789473685,1.0,100,200,5,2.5828143516850957
63.526315789473685,1.0,147,200,5,28.08592021899073
63.526315789473685,1.0,194,200,5,12.826237298632625
63.526315789473685,1.0,242,200,5,9.59518037709588
63.526315789473685,1.0,289,200,5,11.145358432712221
63.526315789473685,1.0,336,200,5,17.1853810052318
63.526315789473685,1.0,384,200,5,15.68965558994469
63.526315789473685,1.0,431,200,5,16.789403011366357
63.526315789473685,1.0,478,200,5,22.55486719575792
63.526315789473685,1.0,526,200,5,14.785504372264883
63.526315789473685,1.0,573,200,5,15.964427849888747
63.526315789473685,1.0,621,200,5,17.78629372237553
63.526315789473685,1.0,668,200,5,22.512573307852776
63.526315789473685,1.0,715,200,5,20.791365208650245
63.526315789473685,1.0,763,200,5,21.66846041303688
63.526315789473685,1.0,810,200,5,27.610100188681038
63.526315789473685,1.0,857,200,5,29.86526467581319
63.526315789473685,1.0,905,200,5,20.15473507711086
63.526315789473685,1.0,952,200,5,22.03444709444747
63.526315789473685,1.0,1000,200,5,18.36073488387691
68.73684210526315,1.0,100,200,5,3.997040648331394
68.73684210526315,1.0,147,200,5,26.887712720882078
68.73684210526315,1.0,194,200,5,12.588472341713052
68.73684210526315,1.0,242,200,5,17.497008154473907
68.73684210526315,1.0,289,200,5,18.874452280239815
68.73684210526315,1.0,336,200,5,21.08197696605813
68.73684210526315,1.0,384,200,5,18.938454686174612
68.73684210526315,1.0,431,200,5,27.441253520411557
68.73684210526315,1.0,478,200,5,20.939925824148826
68.73684210526315,1.0,526,200,5,27.373585286644
68.73684210526315,1.0,573,200,5,20.590931431813196
68.73684210526315,1.0,621,200,5,18.058199292811807
68.73684210526315,1.0,668,200,5,26.48703840049215
68.73684210526315,1.0,715,200,5,17.634793288788966
68.73684210526315,1.0,763,200,5,21.504248867658735
68.73684210526315,1.0,810,200,5,27.408873135457142
68.73684210526315,1.0,857,200,5,20.937543692528426
68.73684210526315,1.0,905,200,5,22.774145882086923
68.73684210526315,1.0,952,200,5,18.24144541490336
68.73684210526315,1.0,1000,200,5,25.255875327356566
73.94736842105263,1.0,100,200,5,2.3306807083686327
73.94736842105263,1.0,147,200,5,38.289685494786376
73.94736842105263,1.0,194,200,5,9.509139858922255
73.94736842105263,1.0,242,200,5,12.865464892555371
73.94736842105263,1.0,289,200,5,16.48854223197872
73.94736842105263,1.0,336,200,5,17.340058247782178
73.94736842105263,1.0,384,200,5,22.844886836799677
73.94736842105263,1.0,431,200,5,16.753222129145914
73.94736842105263,1.0,478,200,5,20.134762606066815
73.94736842105263,1.0,526,200,5,22.62533012067168
73.94736842105263,1.0,573,200,5,17.44481183424302
73.94736842105263,1.0,621,200,5,20.869401633039278
73.94736842105263,1.0,668,200,5,23.674889550173948
73.94736842105263,1.0,715,200,5,17.598501284198548
73.94736842105263,1.0,763,200,5,24.120042056930323
73.94736842105263,1.0,810,200,5,24.310637578400627
73.94736842105263,1.0,857,200,5,31.61620877258138
73.94736842105263,1.0,905,200,5,23.083410579425543
73.94736842105263,1.0,952,200,5,31.451787468659003
73.94736842105263,1.0,1000,200,5,16.78245762798052
79.1578947368421,1.0,100,200,5,4.683873981127405
79.1578947368421,1.0,147,200,5,19.63571930031673
79.1578947368421,1.0,194,200,5,8.977320296499743
79.1578947368421,1.0,242,200,5,17.516195944684
79.1578947368421,1.0,289,200,5,13.456466028110434
79.1578947368421,1.0,336,200,5,21.07544546868185
79.1578947368421,1.0,384,200,5,10.397616308157568
79.1578947368421,1.0,431,200,5,18.04995366021462
79.1578947368421,1.0,478,200,5,12.348753408313836
79.1578947368421,1.0,526,200,5,18.494450128284527
79.1578947368421,1.0,573,200,5,20.40121142930804
79.1578947368421,1.0,621,200,5,23.521097386778553
79.1578947368421,1.0,668,200,5,17.95566864354564
79.1578947368421,1.0,715,200,5,23.272292418190993
79.1578947368421,1.0,763,200,5,25.366708773594933
79.1578947368421,1.0,810,200,5,28.8994294957459
79.1578947368421,1.0,857,200,5,21.52368370275451
79.1578947368421,1.0,905,200,5,26.60331317261535
79.1578947368421,1.0,952,200,5,22.322603504934825
79.1578947368421,1.0,1000,200,5,30.95748326656186
84.36842105263158,1.0,100,200,5,2.4746610287028536
84.36842105263158,1.0,147,200,5,35.86190175815091
84.36842105263158,1.0,194,200,5,7.890705652345617
84.36842105263158,1.0,242,200,5,10.436567341922247
84.36842105263158,1.0,289,200,5,15.600636847776013
84.36842105263158,1.0,336,200,5,11.42645771955819
84.36842105263158,1.0,384,200,5,20.709272301655243
84.36842105263158,1.0,431,200,5,15.469309539065788
84.36842105263158,1.0,478,200,5,13.123215450206889
84.36842105263158,1.0,526,200,5,16.02196694958096
84.36842105263158,1.0,573,200,5,13.98364856988775
84.36842105263158,1.0,621,200,5,19.687733749877744
84.36842105263158,1.0,668,200,5,19.585681003129032
84.36842105263158,1.0,715,200,5,16.067214297807293
84.36842105263158,1.0,763,200,5,22.37528115156798
84.36842105263158,1.0,810,200,5,20.48308995052407
84.36842105263158,1.0,857,200,5,12.53478087374553
84.36842105263158,1.0,905,200,5,21.31015982816584
84.36842105263158,1.0,952,200,5,28.017291385186578
84.36842105263158,1.0,1000,200,5,27.866044849452937
89.57894736842105,1.0,100,200,5,5.462477905636701
89.57894736842105,1.0,147,200,5,76.69855409064823
89.57894736842105,1.0,194,200,5,10.661073471938598
89.57894736842105,1.0,242,200,5,7.368707839344895
89.57894736842105,1.0,289,200,5,11.02130881948742
89.57894736842105,1.0,336,200,5,16.092760335509585
89.57894736842105,1.0,384,200,5,22.800369206259877
89.57894736842105,1.0,431,200,5,20.305161981622874
89.57894736842105,1.0,478,200,5,22.77265209927419
89.57894736842105,1.0,526,200,5,15.670677476951608
89.57894736842105,1.0,573,200,5,21.87437698781434
89.57894736842105,1.0,621,200,5,22.377795773871924
89.57894736842105,1.0,668,200,5,23.322981912713185
89.57894736842105,1.0,715,200,5,20.738676009937596
89.57894736842105,1.0,763,200,5,26.93617775174221
89.57894736842105,1.0,810,200,5,19.79482572710214
89.57894736842105,1.0,857,200,5,26.354505589142665
89.57894736842105,1.0,905,200,5,24.49869536949075
89.57894736842105,1.0,952,200,5,22.362521197061138
89.57894736842105,1.0,1000,200,5,18.57904929144939
94.78947368421052,1.0,100,200,5,3.76117984544147
94.78947368421052,1.0,147,200,5,34.18696646663496
94.78947368421052,1.0,194,200,5,12.802987779587378
94.78947368421052,1.0,242,200,5,17.564101002998385
94.78947368421052,1.0,289,200,5,17.985282665215752
94.78947368421052,1.0,336,200,5,19.68411949790084
94.78947368421052,1.0,384,200,5,17.935400857158367
94.78947368421052,1.0,431,200,5,31.06602394416556
94.78947368421052,1.0,478,200,5,15.830104825870515
94.78947368421052,1.0,526,200,5,18.34398747409183
94.78947368421052,1.0,573,200,5,14.520399534103086
94.78947368421052,1.0,621,200,5,14.46906557504793
94.78947368421052,1.0,668,200,5,23.445280102144924
94.78947368421052,1.0,715,200,5,17.915513350649494
94.78947368421052,1.0,763,200,5,23.783069228533595
94.78947368421052,1.0,810,200,5,21.05224948152461
94.78947368421052,1.0,857,200,5,25.44532695867603
94.78947368421052,1.0,905,200,5,21.559972668418563
94.78947368421052,1.0,952,200,5,26.931463737720254
94.78947368421052,1.0,1000,200,5,19.12546591698625
100.0,1.0,100,200,5,2.5233302255874297
100.0,1.0,147,200,5,39.147354525030565
100.0,1.0,194,200,5,12.280756508765466
100.0,1.0,242,200,5,10.51211202854993
100.0,1.0,289,200,5,20.418196534560032
100.0,1.0,336,200,5,16.0847702818214
100.0,1.0,384,200,5,15.39499920205433
100.0,1.0,431,200,5,13.010832360877515
100.0,1.0,478,200,5,13.32098566221138
100.0,1.0,526,200,5,14.9592126890479
100.0,1.0,573,200,5,15.4389687680524
100.0,1.0,621,200,5,19.04252587383287
100.0,1.0,668,200,5,14.460071875683427
100.0,1.0,715,200,5,25.981005423696306
100.0,1.0,763,200,5,19.17765465930568
100.0,1.0,810,200,5,22.939596049142697
100.0,1.0,857,200,5,13.683418785371524
100.0,1.0,905,200,5,23.173375584092913
100.0,1.0,952,200,5,22.226431784893478
100.0,1.0,1000,200,5,22.9495388450337
1.0,6.2105263157894735,100,200,5,4.048365139494384
