λ,μ,p,n,MSE
21.842105263157894,27.052631578947366,289,200,5,15.974649102616796
21.842105263157894,27.052631578947366,336,200,5,16.452036374924965
21.842105263157894,27.052631578947366,384,200,5,21.42043746651101
21.842105263157894,27.052631578947366,431,200,5,20.418182354943372
21.842105263157894,27.052631578947366,478,200,5,11.76563420579594
21.842105263157894,27.052631578947366,526,200,5,19.578154254636324
21.842105263157894,27.052631578947366,573,200,5,22.6967901795711
21.842105263157894,27.052631578947366,621,200,5,23.931393346366765
21.842105263157894,27.052631578947366,668,200,5,16.726650962303047
21.842105263157894,27.052631578947366,715,200,5,21.922582713181537
21.842105263157894,27.052631578947366,763,200,5,27.952631499730735
21.842105263157894,27.052631578947366,810,200,5,20.09327092259848
21.842105263157894,27.052631578947366,857,200,5,20.46785073243119
21.842105263157894,27.052631578947366,905,200,5,25.624666515333647
21.842105263157894,27.052631578947366,952,200,5,21.452385396447315
21.842105263157894,27.052631578947366,1000,200,5,20.54330107790636
27.052631578947366,27.052631578947366,100,200,5,5.2255700381105195
27.052631578947366,27.052631578947366,147,200,5,16.022199749459688
27.052631578947366,27.052631578947366,194,200,5,15.014672395311509
27.052631578947366,27.052631578947366,242,200,5,12.56473944669971
27.052631578947366,27.052631578947366,289,200,5,15.094339540920393
27.052631578947366,27.052631578947366,336,200,5,16.04684458728043
27.052631578947366,27.052631578947366,384,200,5,19.917624613002722
27.052631578947366,27.052631578947366,431,200,5,18.049781708204762
27.052631578947366,27.052631578947366,478,200,5,17.22578720808931
27.052631578947366,27.052631578947366,526,200,5,24.234974239845123
27.052631578947366,27.052631578947366,573,200,5,17.64394443435907
27.052631578947366,27.052631578947366,621,200,5,22.142851585576754
27.052631578947366,27.052631578947366,668,200,5,18.15323074180257
27.052631578947366,27.052631578947366,715,200,5,19.59502195272255
27.052631578947366,27.052631578947366,763,200,5,24.26833642563937
27.052631578947366,27.052631578947366,810,200,5,22.35098981270013
27.052631578947366,27.052631578947366,857,200,5,24.857798165046283
27.052631578947366,27.052631578947366,905,200,5,20.49936346578567
27.052631578947366,27.052631578947366,952,200,5,21.614266576079153
27.052631578947366,27.052631578947366,1000,200,5,22.64854165709658
32.26315789473684,27.052631578947366,100,200,5,4.076722369681678
32.26315789473684,27.052631578947366,147,200,5,7.152015323081429
32.26315789473684,27.052631578947366,194,200,5,9.084276465761983
32.26315789473684,27.052631578947366,242,200,5,16.322609876953234
32.26315789473684,27.052631578947366,289,200,5,21.348932935701736
32.26315789473684,27.052631578947366,336,200,5,16.62461498942615
32.26315789473684,27.052631578947366,384,200,5,23.970773902176962
32.26315789473684,27.052631578947366,431,200,5,11.292780405504544
32.26315789473684,27.052631578947366,478,200,5,17.22360673293802
32.26315789473684,27.052631578947366,526,200,5,20.97395530867684
32.26315789473684,27.052631578947366,573,200,5,18.817884404363948
32.26315789473684,27.052631578947366,621,200,5,23.126155014592847
32.26315789473684,27.052631578947366,668,200,5,16.94501904423113
32.26315789473684,27.052631578947366,715,200,5,26.71568402305112
32.26315789473684,27.052631578947366,763,200,5,24.909094195369182
32.26315789473684,27.052631578947366,810,200,5,27.08107658043568
32.26315789473684,27.052631578947366,857,200,5,21.73623321124672
32.26315789473684,27.052631578947366,905,200,5,17.48621969744099
32.26315789473684,27.052631578947366,952,200,5,27.33106116076017
32.26315789473684,27.052631578947366,1000,200,5,22.59196162581676
37.473684210526315,27.052631578947366,100,200,5,3.5589161645521283
37.473684210526315,27.052631578947366,147,200,5,22.780546089818902
37.473684210526315,27.052631578947366,194,200,5,11.182224494931006
37.473684210526315,27.052631578947366,242,200,5,11.091209753213816
37.473684210526315,27.052631578947366,289,200,5,14.547266283818802
37.473684210526315,27.052631578947366,336,200,5,22.0927516802741
37.473684210526315,27.052631578947366,384,200,5,17.707331540645722
37.473684210526315,27.052631578947366,431,200,5,19.62473336978895
37.473684210526315,27.052631578947366,478,200,5,16.370226040772675
37.473684210526315,27.052631578947366,526,200,5,21.585894884881885
37.473684210526315,27.052631578947366,573,200,5,18.782157128430253
37.473684210526315,27.052631578947366,621,200,5,19.856917821417664
37.473684210526315,27.052631578947366,668,200,5,18.277661700428006
37.473684210526315,27.052631578947366,715,200,5,21.932759685545502
37.473684210526315,27.052631578947366,763,200,5,18.790905014776587
37.473684210526315,27.052631578947366,810,200,5,18.54041272926086
37.473684210526315,27.052631578947366,857,200,5,20.86941204261935
37.473684210526315,27.052631578947366,905,200,5,18.908841418911425
37.473684210526315,27.052631578947366,952,200,5,16.069024019131174
37.473684210526315,27.052631578947366,1000,200,5,24.404450436842296
42.68421052631579,27.052631578947366,100,200,5,3.805220403473146
42.68421052631579,27.052631578947366,147,200,5,17.434891424098346
42.68421052631579,27.052631578947366,194,200,5,6.176866326314187
42.68421052631579,27.052631578947366,242,200,5,11.10656023918904
42.68421052631579,27.052631578947366,289,200,5,10.76454861711119
42.68421052631579,27.052631578947366,336,200,5,16.147619646164006
42.68421052631579,27.052631578947366,384,200,5,21.6790660693865
42.68421052631579,27.052631578947366,431,200,5,17.992284130491388
42.68421052631579,27.052631578947366,478,200,5,13.131807450561391
42.68421052631579,27.052631578947366,526,200,5,20.76826745952661
42.68421052631579,27.052631578947366,573,200,5,21.8757690235823
42.68421052631579,27.052631578947366,621,200,5,22.156445734104857
42.68421052631579,27.052631578947366,668,200,5,21.84577308350455
42.68421052631579,27.052631578947366,715,200,5,19.90450818156728
42.68421052631579,27.052631578947366,763,200,5,16.7506663340443
42.68421052631579,27.052631578947366,810,200,5,24.822284642925077
42.68421052631579,27.052631578947366,857,200,5,23.448846627195348
42.68421052631579,27.052631578947366,905,200,5,21.725204779174724
42.68421052631579,27.052631578947366,952,200,5,22.933904625148262
42.68421052631579,27.052631578947366,1000,200,5,25.00008617302736
47.89473684210526,27.052631578947366,100,200,5,3.0978713330753993
47.89473684210526,27.052631578947366,147,200,5,13.00982984731428
47.89473684210526,27.052631578947366,194,200,5,10.935784069658
47.89473684210526,27.052631578947366,242,200,5,12.461935164389798
47.89473684210526,27.052631578947366,289,200,5,18.801366173829
47.89473684210526,27.052631578947366,336,200,5,23.232719402018734
47.89473684210526,27.052631578947366,384,200,5,20.592640240460227
47.89473684210526,27.052631578947366,431,200,5,18.011093882734077
47.89473684210526,27.052631578947366,478,200,5,20.066639041236453
47.89473684210526,27.052631578947366,526,200,5,20.185739691238343
47.89473684210526,27.052631578947366,573,200,5,28.522429480311484
47.89473684210526,27.052631578947366,621,200,5,21.319685597128817
47.89473684210526,27.052631578947366,668,200,5,17.39725430918315
47.89473684210526,27.052631578947366,715,200,5,27.641181631642407
47.89473684210526,27.052631578947366,763,200,5,19.181272440126385
47.89473684210526,27.052631578947366,810,200,5,21.54193779693806
47.89473684210526,27.052631578947366,857,200,5,21.043645854477298
47.89473684210526,27.052631578947366,905,200,5,18.78120041233552
47.89473684210526,27.052631578947366,952,200,5,18.196501272587238
47.89473684210526,27.052631578947366,1000,200,5,22.10877244901125
53.10526315789473,27.052631578947366,100,200,5,3.3835428668878693
53.10526315789473,27.052631578947366,147,200,5,33.25897665327376
53.10526315789473,27.052631578947366,194,200,5,8.829562224776419
53.10526315789473,27.052631578947366,242,200,5,10.591352777297109
53.10526315789473,27.052631578947366,289,200,5,12.697134617574237
53.10526315789473,27.052631578947366,336,200,5,14.180541527773128
53.10526315789473,27.052631578947366,384,200,5,14.202578502662451
53.10526315789473,27.052631578947366,431,200,5,21.49129079527561
53.10526315789473,27.052631578947366,478,200,5,20.220327265322467
53.10526315789473,27.052631578947366,526,200,5,17.780828610111882
53.10526315789473,27.052631578947366,573,200,5,22.528932523929704
53.10526315789473,27.052631578947366,621,200,5,28.553477434715155
53.10526315789473,27.052631578947366,668,200,5,16.42955425922987
53.10526315789473,27.052631578947366,715,200,5,17.484342054748954
53.10526315789473,27.052631578947366,763,200,5,21.08679392077477
53.10526315789473,27.052631578947366,810,200,5,26.169213840059886
53.10526315789473,27.052631578947366,857,200,5,19.443187148605293
53.10526315789473,27.052631578947366,905,200,5,18.48028644373612
53.10526315789473,27.052631578947366,952,200,5,21.911103017527868
53.10526315789473,27.052631578947366,1000,200,5,17.486240205961302
58.315789473684205,27.052631578947366,100,200,5,2.3025802969782783
58.315789473684205,27.052631578947366,147,200,5,26.657606695751337
58.315789473684205,27.052631578947366,194,200,5,7.863938140485695
58.315789473684205,27.052631578947366,242,200,5,14.399039770342595
58.315789473684205,27.052631578947366,289,200,5,15.07583425768311
58.315789473684205,27.052631578947366,336,200,5,11.729167447385594
58.315789473684205,27.052631578947366,384,200,5,14.331464698855559
58.315789473684205,27.052631578947366,431,200,5,17.79283550322699
58.315789473684205,27.052631578947366,478,200,5,14.434812693685709
58.315789473684205,27.052631578947366,526,200,5,15.468624682202336
58.315789473684205,27.052631578947366,573,200,5,19.356106086982255
58.315789473684205,27.052631578947366,621,200,5,20.503365908159864
58.315789473684205,27.052631578947366,668,200,5,27.61916653417369
58.315789473684205,27.052631578947366,715,200,5,20.57743853629847
58.315789473684205,27.052631578947366,763,200,5,18.534256522728516
58.315789473684205,27.052631578947366,810,200,5,23.85148231247088
58.315789473684205,27.052631578947366,857,200,5,16.953145406376457
58.315789473684205,27.052631578947366,905,200,5,25.610711199788152
58.315789473684205,27.052631578947366,952,200,5,18.93604548695608
58.315789473684205,27.052631578947366,1000,200,5,25.697020671284886
63.526315789473685,27.052631578947366,100,200,5,3.120899447110003
63.526315789473685,27.052631578947366,147,200,5,11.515040121930403
63.526315789473685,27.052631578947366,194,200,5,11.701488218306308
63.526315789473685,27.052631578947366,242,200,5,9.308223508310968
63.526315789473685,27.052631578947366,289,200,5,12.138642203984153
63.526315789473685,27.052631578947366,336,200,5,16.41638716351518
63.526315789473685,27.052631578947366,384,200,5,23.092472822788157
63.526315789473685,27.052631578947366,431,200,5,16.95121873639907
63.526315789473685,27.052631578947366,478,200,5,13.741108333761822
63.526315789473685,27.052631578947366,526,200,5,19.402270249916132
63.526315789473685,27.052631578947366,573,200,5,19.320258715150217
63.526315789473685,27.052631578947366,621,200,5,18.681941429331264
63.526315789473685,27.052631578947366,668,200,5,20.247502320748033
63.526315789473685,27.052631578947366,715,200,5,20.20183075076842
63.526315789473685,27.052631578947366,763,200,5,28.718528831709616
63.526315789473685,27.052631578947366,810,200,5,19.72887810984183
63.526315789473685,27.052631578947366,857,200,5,25.240923629948266
63.526315789473685,27.052631578947366,905,200,5,19.328656524082476
63.526315789473685,27.052631578947366,952,200,5,28.761968928516048
63.526315789473685,27.052631578947366,1000,200,5,23.678899625775426
68.73684210526315,27.052631578947366,100,200,5,2.8821896511293423
68.73684210526315,27.052631578947366,147,200,5,19.843523619528906
68.73684210526315,27.052631578947366,194,200,5,7.9630984994744916
68.73684210526315,27.052631578947366,242,200,5,13.268612666193368
68.73684210526315,27.052631578947366,289,200,5,10.787276740996601
68.73684210526315,27.052631578947366,336,200,5,12.73447219692171
68.73684210526315,27.052631578947366,384,200,5,18.350782992109792
68.73684210526315,27.052631578947366,431,200,5,23.782236557913482
68.73684210526315,27.052631578947366,478,200,5,17.872939973275447
68.73684210526315,27.052631578947366,526,200,5,22.25519805454219
68.73684210526315,27.052631578947366,573,200,5,12.614770579408928
68.73684210526315,27.052631578947366,621,200,5,21.013598678201234
68.73684210526315,27.052631578947366,668,200,5,22.442158444325177
68.73684210526315,27.052631578947366,715,200,5,19.396366398494855
68.73684210526315,27.052631578947366,763,200,5,20.33245379540478
68.73684210526315,27.052631578947366,810,200,5,14.911240906856541
68.73684210526315,27.052631578947366,857,200,5,21.48472067113557
68.73684210526315,27.052631578947366,905,200,5,27.286786508523672
68.73684210526315,27.052631578947366,952,200,5,19.907468096656586
68.73684210526315,27.052631578947366,1000,200,5,21.95196835527061
73.94736842105263,27.052631578947366,100,200,5,3.63226416086246
73.94736842105263,27.052631578947366,147,200,5,24.574244410425578
73.94736842105263,27.052631578947366,194,200,5,11.098127458197537
73.94736842105263,27.052631578947366,242,200,5,10.876690226295592
73.94736842105263,27.052631578947366,289,200,5,12.271331245810865
73.94736842105263,27.052631578947366,336,200,5,12.875441793008623
73.94736842105263,27.052631578947366,384,200,5,14.847170255971779
73.94736842105263,27.052631578947366,431,200,5,14.689229625810015
73.94736842105263,27.052631578947366,478,200,5,17.09911648053749
73.94736842105263,27.052631578947366,526,200,5,27.154247227265046
73.94736842105263,27.052631578947366,573,200,5,19.187874441882823
73.94736842105263,27.052631578947366,621,200,5,23.717072678943698
73.94736842105263,27.052631578947366,668,200,5,26.64436831059305
73.94736842105263,27.052631578947366,715,200,5,22.726897087833546
73.94736842105263,27.052631578947366,763,200,5,28.924426902182724
73.94736842105263,27.052631578947366,810,200,5,25.1342332132673
73.94736842105263,27.052631578947366,857,200,5,22.617297007540117
73.94736842105263,27.052631578947366,905,200,5,21.640523996794318
73.94736842105263,27.052631578947366,952,200,5,18.585043127924386
73.94736842105263,27.052631578947366,1000,200,5,19.62231195810656
79.1578947368421,27.052631578947366,100,200,5,2.517215921183831
79.1578947368421,27.052631578947366,147,200,5,18.19212475659544
79.1578947368421,27.052631578947366,194,200,5,10.088318388652404
79.1578947368421,27.052631578947366,242,200,5,16.231493144800375
79.1578947368421,27.052631578947366,289,200,5,14.889495034136418
79.1578947368421,27.052631578947366,336,200,5,14.033695264619853
79.1578947368421,27.052631578947366,384,200,5,23.39926123645494
79.1578947368421,27.052631578947366,431,200,5,10.504101538457574
79.1578947368421,27.052631578947366,478,200,5,21.88548459356928
79.1578947368421,27.052631578947366,526,200,5,15.043186737554906
79.1578947368421,27.052631578947366,573,200,5,17.901976578647933
79.1578947368421,27.052631578947366,621,200,5,19.229241017399335
79.1578947368421,27.052631578947366,668,200,5,17.25524357837727
79.1578947368421,27.052631578947366,715,200,5,23.46002241090591
79.1578947368421,27.052631578947366,763,200,5,28.628040071790522
79.1578947368421,27.052631578947366,810,200,5,18.967805891371707
79.1578947368421,27.052631578947366,857,200,5,16.984752633349522
79.1578947368421,27.052631578947366,905,200,5,20.422211903747172
79.1578947368421,27.052631578947366,952,200,5,25.580211387861482
79.1578947368421,27.052631578947366,1000,200,5,27.922874461185312
84.36842105263158,27.052631578947366,100,200,5,2.9986431979923984
84.36842105263158,27.052631578947366,147,200,5,20.87761838552876
84.36842105263158,27.052631578947366,194,200,5,8.293411363169536
84.36842105263158,27.052631578947366,242,200,5,16.13188426082539
84.36842105263158,27.052631578947366,289,200,5,20.98281513321906
84.36842105263158,27.052631578947366,336,200,5,14.992326379125725
84.36842105263158,27.052631578947366,384,200,5,17.706851507431697
84.36842105263158,27.052631578947366,431,200,5,23.211548203856733
84.36842105263158,27.052631578947366,478,200,5,16.96827752563751
84.36842105263158,27.052631578947366,526,200,5,20.8572776263559
84.36842105263158,27.052631578947366,573,200,5,22.08810669459432
84.36842105263158,27.052631578947366,621,200,5,24.166558197146
84.36842105263158,27.052631578947366,668,200,5,22.259584627118468
84.36842105263158,27.052631578947366,715,200,5,17.258374775322636
84.36842105263158,27.052631578947366,763,200,5,21.674027743762306
84.36842105263158,27.052631578947366,810,200,5,18.200880701569357
84.36842105263158,27.052631578947366,857,200,5,22.196961056626638
84.36842105263158,27.052631578947366,905,200,5,24.8574103535929
84.36842105263158,27.052631578947366,952,200,5,22.452865739818627
84.36842105263158,27.052631578947366,1000,200,5,26.056115895916072
89.57894736842105,27.052631578947366,100,200,5,4.311685492891891
89.57894736842105,27.052631578947366,147,200,5,18.74125965206557
89.57894736842105,27.052631578947366,194,200,5,8.567218391407522
89.57894736842105,27.052631578947366,242,200,5,11.410104397629231
89.57894736842105,27.052631578947366,289,200,5,14.9806689090188
89.57894736842105,27.052631578947366,336,200,5,14.986310875001458
89.57894736842105,27.052631578947366,384,200,5,16.173372860682807
89.57894736842105,27.052631578947366,431,200,5,20.922590039939386
89.57894736842105,27.052631578947366,478,200,5,19.54351005734492
89.57894736842105,27.052631578947366,526,200,5,22.490933630092158
89.57894736842105,27.052631578947366,573,200,5,21.376479304348145
89.57894736842105,27.052631578947366,621,200,5,26.239835703361575
89.57894736842105,27.052631578947366,668,200,5,25.467663016487567
89.57894736842105,27.052631578947366,715,200,5,22.807605064327785
89.57894736842105,27.052631578947366,763,200,5,22.349877873014183
89.57894736842105,27.052631578947366,810,200,5,13.599449525231629
89.57894736842105,27.052631578947366,857,200,5,16.040868909173053
89.57894736842105,27.052631578947366,905,200,5,20.449653485761594
89.57894736842105,27.052631578947366,952,200,5,28.36785232866652
89.57894736842105,27.052631578947366,1000,200,5,18.658215860620206
94.78947368421052,27.052631578947366,100,200,5,2.7844000178020076
94.78947368421052,27.052631578947366,147,200,5,21.674224325386337
94.78947368421052,27.052631578947366,194,200,5,11.166409810203122
94.78947368421052,27.052631578947366,242,200,5,17.440582994154077
94.78947368421052,27.052631578947366,289,200,5,12.702904359067325
94.78947368421052,27.052631578947366,336,200,5,11.475909403739081
94.78947368421052,27.052631578947366,384,200,5,16.55508852802529
94.78947368421052,27.052631578947366,431,200,5,15.41073968754574
94.78947368421052,27.052631578947366,478,200,5,20.127591581353702
94.78947368421052,27.052631578947366,526,200,5,19.698085473274155
94.78947368421052,27.052631578947366,573,200,5,18.996430946239386
94.78947368421052,27.052631578947366,621,200,5,21.673133277055385
94.78947368421052,27.052631578947366,668,200,5,17.976761863736147
94.78947368421052,27.052631578947366,715,200,5,20.927137911005808
94.78947368421052,27.052631578947366,763,200,5,22.10460954147453
94.78947368421052,27.052631578947366,810,200,5,25.725135301791358
94.78947368421052,27.052631578947366,857,200,5,30.006066039646743
94.78947368421052,27.052631578947366,905,200,5,26.058771620062455
94.78947368421052,27.052631578947366,952,200,5,17.812351934118336
94.78947368421052,27.052631578947366,1000,200,5,22.21913700622949
100.0,27.052631578947366,100,200,5,5.0170961289565525
100.0,27.052631578947366,147,200,5,30.45499287255927
100.0,27.052631578947366,194,200,5,9.246486716676088
100.0,27.052631578947366,242,200,5,16.893362028922144
100.0,27.052631578947366,289,200,5,16.042059833069914
100.0,27.052631578947366,336,200,5,15.57360687404323
100.0,27.052631578947366,384,200,5,16.956834714786673
100.0,27.052631578947366,431,200,5,15.121384948395631
100.0,27.052631578947366,478,200,5,20.666390705183858
100.0,27.052631578947366,526,200,5,19.91055865682747
100.0,27.052631578947366,573,200,5,18.192279852473384
100.0,27.052631578947366,621,200,5,20.506347167196292
100.0,27.052631578947366,668,200,5,17.065138087652734
100.0,27.052631578947366,715,200,5,18.22961144714539
100.0,27.052631578947366,763,200,5,22.01604500717086
100.0,27.052631578947366,810,200,5,19.507925099529665
100.0,27.052631578947366,857,200,5,17.93802778442033
100.0,27.052631578947366,905,200,5,19.05941789037009
100.0,27.052631578947366,952,200,5,21.45334242174409
100.0,27.052631578947366,1000,200,5,19.85776351536068
1.0,32.26315789473684,100,200,5,1.8366037536234876
1.0,32.26315789473684,147,200,5,18.063271042022297
1.0,32.26315789473684,194,200,5,13.543818007175835
1.0,32.26315789473684,242,200,5,10.066538599910695
1.0,32.26315789473684,289,200,5,14.186731463436773
1.0,32.26315789473684,336,200,5,11.613376112991027
1.0,32.26315789473684,384,200,5,15.733167634381626
1.0,32.26315789473684,431,200,5,24.381219716443567
1.0,32.26315789473684,478,200,5,12.751987830273345
1.0,32.26315789473684,526,200,5,15.974757972672766
1.0,32.26315789473684,573,200,5,17.25935039224005
1.0,32.26315789473684,621,200,5,19.490811095686393
1.0,32.26315789473684,668,200,5,20.768390804980946
1.0,32.26315789473684,715,200,5,21.078127320580812
1.0,32.26315789473684,763,200,5,18.005341115320455
1.0,32.26315789473684,810,200,5,28.648284681688654
1.0,32.26315789473684,857,200,5,18.63325654412028
1.0,32.26315789473684,905,200,5,18.460969864514613
1.0,32.26315789473684,952,200,5,18.33710631132116
1.0,32.26315789473684,1000,200,5,14.800841633314084
6.2105263157894735,32.26315789473684,100,200,5,2.8054166755350667
6.2105263157894735,32.26315789473684,147,200,5,33.43571580957012
6.2105263157894735,32.26315789473684,194,200,5,15.778988585765426
6.2105263157894735,32.26315789473684,242,200,5,13.71629107186787
6.2105263157894735,32.26315789473684,289,200,5,12.413078014180304
6.2105263157894735,32.26315789473684,336,200,5,21.92035501538055
6.2105263157894735,32.26315789473684,384,200,5,13.814790436485453
6.2105263157894735,32.26315789473684,431,200,5,15.227558991974881
6.2105263157894735,32.26315789473684,478,200,5,18.261050952288574
6.2105263157894735,32.26315789473684,526,200,5,17.411796994126835
6.2105263157894735,32.26315789473684,573,200,5,25.99084381365726
6.2105263157894735,32.26315789473684,621,200,5,19.520224623239805
6.2105263157894735,32.26315789473684,668,200,5,21.03684593053413
6.2105263157894735,32.26315789473684,715,200,5,14.182445246886592
6.2105263157894735,32.26315789473684,763,200,5,16.2825052044236
6.2105263157894735,32.26315789473684,810,200,5,25.35591804339872
6.2105263157894735,32.26315789473684,857,200,5,25.880315311038217
6.2105263157894735,32.26315789473684,905,200,5,25.656683366356518
6.2105263157894735,32.26315789473684,952,200,5,22.420903516996805
6.2105263157894735,32.26315789473684,1000,200,5,20.03092503716854
11.421052631578947,32.26315789473684,100,200,5,3.313730343944926
11.421052631578947,32.26315789473684,147,200,5,19.121712344714577
11.421052631578947,32.26315789473684,194,200,5,12.923353089224578
11.421052631578947,32.26315789473684,242,200,5,18.611441688372324
11.421052631578947,32.26315789473684,289,200,5,12.28456699143395
11.421052631578947,32.26315789473684,336,200,5,17.315894246391604
11.421052631578947,32.26315789473684,384,200,5,20.716327458589536
11.421052631578947,32.26315789473684,431,200,5,23.837338428935208
11.421052631578947,32.26315789473684,478,200,5,31.234444514391903
11.421052631578947,32.26315789473684,526,200,5,22.11910857972765
11.421052631578947,32.26315789473684,573,200,5,19.484205752953248
11.421052631578947,32.26315789473684,621,200,5,23.37843311429314
11.421052631578947,32.26315789473684,668,200,5,13.442756831851337
11.421052631578947,32.26315789473684,715,200,5,17.710094413071612
11.421052631578947,32.26315789473684,763,200,5,17.58234854015392
11.421052631578947,32.26315789473684,810,200,5,30.154165662921226
11.421052631578947,32.26315789473684,857,200,5,21.027857536993796
11.421052631578947,32.26315789473684,905,200,5,21.050258548833913
11.421052631578947,32.26315789473684,952,200,5,24.407886978331657
11.421052631578947,32.26315789473684,1000,200,5,23.9771115590719
16.63157894736842,32.26315789473684,100,200,5,3.074263117536537
16.63157894736842,32.26315789473684,147,200,5,23.819573045166386
16.63157894736842,32.26315789473684,194,200,5,9.737022554290354
16.63157894736842,32.26315789473684,242,200,5,11.016604261758586
16.63157894736842,32.26315789473684,289,200,5,20.151601355324157
16.63157894736842,32.26315789473684,336,200,5,20.98360543284375
16.63157894736842,32.26315789473684,384,200,5,22.490552415022595
16.63157894736842,32.26315789473684,431,200,5,21.16551667144615
16.63157894736842,32.26315789473684,478,200,5,21.286504684259402
16.63157894736842,32.26315789473684,526,200,5,18.01797713491452
16.63157894736842,32.26315789473684,573,200,5,23.29901592212445
16.63157894736842,32.26315789473684,621,200,5,18.975584088037536
16.63157894736842,32.26315789473684,668,200,5,19.700567459653065
16.63157894736842,32.26315789473684,715,200,5,15.06608277448938
16.63157894736842,32.26315789473684,763,200,5,22.29388847291721
16.63157894736842,32.26315789473684,810,200,5,22.63136525208819
16.63157894736842,32.26315789473684,857,200,5,22.23901153119459
16.63157894736842,32.26315789473684,905,200,5,24.03993353523312
16.63157894736842,32.26315789473684,952,200,5,27.73893210002739
16.63157894736842,32.26315789473684,1000,200,5,20.53013516339987
21.842105263157894,32.26315789473684,100,200,5,3.094736462185439
21.842105263157894,32.26315789473684,147,200,5,28.456788609463093
21.842105263157894,32.26315789473684,194,200,5,11.208591463554425
21.842105263157894,32.26315789473684,242,200,5,13.736498188443331
21.842105263157894,32.26315789473684,289,200,5,10.014299574755078
21.842105263157894,32.26315789473684,336,200,5,14.076890487527265
21.842105263157894,32.26315789473684,384,200,5,25.066850107246992
21.842105263157894,32.26315789473684,431,200,5,20.795274084521886
21.842105263157894,32.26315789473684,478,200,5,15.395501312334789
21.842105263157894,32.26315789473684,526,200,5,17.334761924920137
21.842105263157894,32.26315789473684,573,200,5,17.950782968420338
21.842105263157894,32.26315789473684,621,200,5,15.24812744669017
21.842105263157894,32.26315789473684,668,200,5,22.816000477752084
21.842105263157894,32.26315789473684,715,200,5,17.11270378651892
21.842105263157894,32.26315789473684,763,200,5,21.970638877731588
21.842105263157894,32.26315789473684,810,200,5,18.22633572840378
21.842105263157894,32.26315789473684,857,200,5,22.667349917584644
21.842105263157894,32.26315789473684,905,200,5,22.885610624152253
21.842105263157894,32.26315789473684,952,200,5,24.499718614100086
21.842105263157894,32.26315789473684,1000,200,5,22.421919577111233
27.052631578947366,32.26315789473684,100,200,5,5.021835551590985
27.052631578947366,32.26315789473684,147,200,5,34.23343617131796
27.052631578947366,32.26315789473684,194,200,5,12.633637311445566
27.052631578947366,32.26315789473684,242,200,5,9.991247985035265
27.052631578947366,32.26315789473684,289,200,5,20.681213021340294
27.052631578947366,32.26315789473684,336,200,5,12.782891744382102
27.052631578947366,32.26315789473684,384,200,5,18.473333639510184
27.052631578947366,32.26315789473684,431,200,5,21.76317087182447
27.052631578947366,32.26315789473684,478,200,5,19.819431702567325
27.052631578947366,32.26315789473684,526,200,5,18.548379850891003
27.052631578947366,32.26315789473684,573,200,5,15.978046789271867
27.052631578947366,32.26315789473684,621,200,5,22.94307978589064
27.052631578947366,32.26315789473684,668,200,5,20.66170101360842
27.052631578947366,32.26315789473684,715,200,5,18.275998876306268
27.052631578947366,32.26315789473684,763,200,5,17.230424839237585
27.052631578947366,32.26315789473684,810,200,5,20.821378541141065
27.052631578947366,32.26315789473684,857,200,5,17.359544658196846
27.052631578947366,32.26315789473684,905,200,5,23.18647865241979
27.052631578947366,32.26315789473684,952,200,5,17.800781529984437
27.052631578947366,32.26315789473684,1000,200,5,21.014091392425414
32.26315789473684,32.26315789473684,100,200,5,5.132642063756734
32.26315789473684,32.26315789473684,147,200,5,124.91516722659898
32.26315789473684,32.26315789473684,194,200,5,11.694978337111278
32.26315789473684,32.26315789473684,242,200,5,9.469628632749918
32.26315789473684,32.26315789473684,289,200,5,20.37213169404179
32.26315789473684,32.26315789473684,336,200,5,16.960783212356244
32.26315789473684,32.26315789473684,384,200,5,22.888328625100375
32.26315789473684,32.26315789473684,431,200,5,18.0164203027706
32.26315789473684,32.26315789473684,478,200,5,22.18517666516636
32.26315789473684,32.26315789473684,526,200,5,16.433006438931056
32.26315789473684,32.26315789473684,573,200,5,22.86195346962663
32.26315789473684,32.26315789473684,621,200,5,19.20873590991257
32.26315789473684,32.26315789473684,668,200,5,26.79082777590844
32.26315789473684,32.26315789473684,715,200,5,14.704568559578506
32.26315789473684,32.26315789473684,763,200,5,23.07364610293375
32.26315789473684,32.26315789473684,810,200,5,20.37825217375396
32.26315789473684,32.26315789473684,857,200,5,21.190226575408975
32.26315789473684,32.26315789473684,905,200,5,22.87392981126293
32.26315789473684,32.26315789473684,952,200,5,26.05225695962275
32.26315789473684,32.26315789473684,1000,200,5,20.649191713246953
37.473684210526315,32.26315789473684,100,200,5,4.398866014660561
37.473684210526315,32.26315789473684,147,200,5,12.54095368402086
37.473684210526315,32.26315789473684,194,200,5,9.351234593129858
37.473684210526315,32.26315789473684,242,200,5,15.303139773623721
37.473684210526315,32.26315789473684,289,200,5,13.805547438125172
37.473684210526315,32.26315789473684,336,200,5,15.063067442938765
37.473684210526315,32.26315789473684,384,200,5,20.79871371267222
37.473684210526315,32.26315789473684,431,200,5,16.807887182501094
37.473684210526315,32.26315789473684,478,200,5,16.71621594463165
37.473684210526315,32.26315789473684,526,200,5,14.913688844068918
37.473684210526315,32.26315789473684,573,200,5,15.517375180046338
37.473684210526315,32.26315789473684,621,200,5,16.346714747320686
37.473684210526315,32.26315789473684,668,200,5,16.74245809046408
