λ,μ,p,n,snr,MSE,null_risk
1.0,1.0,1059.0,200.0,2.333333333333333,3.012901769172857,3.1516149308916566
1.0,1.0,1147.0,200.0,2.333333333333333,3.0294810262622716,3.124728071867907
1.0,1.0,1242.0,200.0,2.333333333333333,2.977885752096186,3.1057390699873655
1.0,1.0,1344.0,200.0,2.333333333333333,3.02043180041141,3.123469295004463
1.0,1.0,1455.0,200.0,2.333333333333333,2.994798300218155,3.1778198354771168
1.0,1.0,1576.0,200.0,2.333333333333333,2.8714370654648183,3.077755157777423
1.0,1.0,1706.0,200.0,2.333333333333333,2.8974926951775215,3.092516870160391
1.0,1.0,1847.0,200.0,2.333333333333333,2.8854740851494345,3.0029764350858685
1.0,1.0,2000.0,200.0,2.333333333333333,2.973931179497937,3.004624691932583
1.0,1.0,20.0,200.0,3.6666666666666665,1.0936410344651362,5.051692180435155
1.0,1.0,21.0,200.0,3.6666666666666665,1.0936102431171313,5.002773890470857
1.0,1.0,23.0,200.0,3.6666666666666665,1.1139561624264542,4.924534697458065
1.0,1.0,25.0,200.0,3.6666666666666665,1.2297897666576973,4.933554212134818
1.0,1.0,27.0,200.0,3.6666666666666665,1.234096921880575,4.974018892057258
1.0,1.0,29.0,200.0,3.6666666666666665,1.3011417549408184,4.903293044914575
1.0,1.0,31.0,200.0,3.6666666666666665,1.316634661855663,5.0042551641110515
1.0,1.0,34.0,200.0,3.6666666666666665,1.3150821165155662,5.014850627518748
1.0,1.0,36.0,200.0,3.6666666666666665,1.3113101584978348,4.974407260315303
1.0,1.0,39.0,200.0,3.6666666666666665,1.3301230139181817,4.933024944820401
1.0,1.0,43.0,200.0,3.6666666666666665,1.3164465205343268,4.885792934156615
1.0,1.0,46.0,200.0,3.6666666666666665,1.3627886872870651,4.910603958453406
1.0,1.0,50.0,200.0,3.6666666666666665,1.3848380125689441,4.853809549513578
1.0,1.0,54.0,200.0,3.6666666666666665,1.4202193227305124,4.778838632745466
1.0,1.0,58.0,200.0,3.6666666666666665,1.4185093003963603,4.811166608515813
1.0,1.0,63.0,200.0,3.6666666666666665,1.4542353915983368,4.8027557221885475
1.0,1.0,68.0,200.0,3.6666666666666665,1.5214042973829305,4.976520620459796
1.0,1.0,73.0,200.0,3.6666666666666665,1.576673101221283,4.825847624951679
1.0,1.0,79.0,200.0,3.6666666666666665,1.605543266633533,4.754713835227131
1.0,1.0,85.0,200.0,3.6666666666666665,1.677980309193923,4.741119611282638
1.0,1.0,92.0,200.0,3.6666666666666665,1.7347130545816807,4.9426405585285265
1.0,1.0,100.0,200.0,3.6666666666666665,1.7587378927001343,4.841892807005406
1.0,1.0,108.0,200.0,3.6666666666666665,1.9250110468494328,4.797972745864423
1.0,1.0,116.0,200.0,3.6666666666666665,2.2973036551444013,4.811174127057891
1.0,1.0,126.0,200.0,3.6666666666666665,2.6627448704855405,4.7937932930819
1.0,1.0,136.0,200.0,3.6666666666666665,3.28990637563649,4.832473194006326
1.0,1.0,147.0,200.0,3.6666666666666665,3.4545654541624593,4.791137682558773
1.0,1.0,158.0,200.0,3.6666666666666665,4.078262547883528,4.786088571792915
1.0,1.0,171.0,200.0,3.6666666666666665,6.69990854699551,4.658326381812126
1.0,1.0,185.0,200.0,3.6666666666666665,14.026682920045658,4.718958361086631
1.0,1.0,200.0,200.0,3.6666666666666665,75000.66007559795,4.700043964114187
1.0,1.0,216.0,200.0,3.6666666666666665,8.948917980206994,4.736079176802441
1.0,1.0,234.0,200.0,3.6666666666666665,6.10039035417595,4.788461697272442
1.0,1.0,254.0,200.0,3.6666666666666665,5.186109740621206,4.809929219021543
1.0,1.0,275.0,200.0,3.6666666666666665,4.6357336524628465,4.805110255103699
1.0,1.0,297.0,200.0,3.6666666666666665,4.275150166766258,4.7139736245322155
1.0,1.0,322.0,200.0,3.6666666666666665,3.9189843330480034,4.70977492895578
1.0,1.0,348.0,200.0,3.6666666666666665,3.6903463606573212,4.742457481133209
1.0,1.0,377.0,200.0,3.6666666666666665,3.5697069065876184,4.665424791346524
1.0,1.0,408.0,200.0,3.6666666666666665,3.4465016717594152,4.627550247774555
1.0,1.0,442.0,200.0,3.6666666666666665,3.538052785971788,4.6427077717896434
1.0,1.0,479.0,200.0,3.6666666666666665,3.658718677153558,4.575329085393225
1.0,1.0,518.0,200.0,3.6666666666666665,3.7695981383541914,4.5658076792208835
1.0,1.0,561.0,200.0,3.6666666666666665,3.80436076864484,4.659398601716383
1.0,1.0,608.0,200.0,3.6666666666666665,3.9662877757915704,4.600039032387096
1.0,1.0,658.0,200.0,3.6666666666666665,3.966273026989355,4.546589858673483
1.0,1.0,712.0,200.0,3.6666666666666665,4.045225067696388,4.490881092544341
1.0,1.0,771.0,200.0,3.6666666666666665,3.992969111008418,4.522052489609253
1.0,1.0,835.0,200.0,3.6666666666666665,3.987718034541609,4.393207070911361
1.0,1.0,904.0,200.0,3.6666666666666665,3.987704096609791,4.451737316664969
1.0,1.0,979.0,200.0,3.6666666666666665,4.155304730210597,4.5373497781587595
1.0,1.0,1059.0,200.0,3.6666666666666665,4.065097834127698,4.41657494438039
1.0,1.0,1147.0,200.0,3.6666666666666665,4.082809894187897,4.369817312519216
1.0,1.0,1242.0,200.0,3.6666666666666665,4.025372228822896,4.343866865728505
1.0,1.0,1344.0,200.0,3.6666666666666665,4.091583767737322,4.36404322748031
1.0,1.0,1455.0,200.0,3.6666666666666665,4.068276465497662,4.449912459537506
1.0,1.0,1576.0,200.0,3.6666666666666665,3.8938942077312095,4.30076828663211
1.0,1.0,1706.0,200.0,3.6666666666666665,3.935140124825151,4.321467406110079
1.0,1.0,1847.0,200.0,3.6666666666666665,3.916981919725278,4.183931318498843
1.0,1.0,2000.0,200.0,3.6666666666666665,4.047195505101675,4.187378275261161
1.0,1.0,20.0,200.0,5.0,1.0936410344651362,6.492953742601517
1.0,1.0,21.0,200.0,5.0,1.0936102431171313,6.425204715233026
1.0,1.0,23.0,200.0,5.0,1.1139561624264545,6.317227746069707
1.0,1.0,25.0,200.0,5.0,1.2297897666576973,6.3263553475778265
1.0,1.0,27.0,200.0,5.0,1.234096921880575,6.376716824079758
1.0,1.0,29.0,200.0,5.0,1.3011417549408184,6.277898489336165
1.0,1.0,31.0,200.0,5.0,1.3166346618556632,6.412264821610258
1.0,1.0,34.0,200.0,5.0,1.3150821165155666,6.426314850753547
1.0,1.0,36.0,200.0,5.0,1.3113101584978346,6.373298613231568
1.0,1.0,39.0,200.0,5.0,1.3301230139181817,6.320178796907318
1.0,1.0,43.0,200.0,5.0,1.3164465205343268,6.267983090752437
1.0,1.0,46.0,200.0,5.0,1.362788687287065,6.297185080097673
1.0,1.0,50.0,200.0,5.0,1.384838012568944,6.227342583891939
1.0,1.0,54.0,200.0,5.0,1.4202193227305122,6.128138784657722
1.0,1.0,58.0,200.0,5.0,1.4185093003963598,6.1742552653318725
1.0,1.0,63.0,200.0,5.0,1.4542353915983368,6.1642604110855155
1.0,1.0,68.0,200.0,5.0,1.5214042973829307,6.3930476044789115
1.0,1.0,73.0,200.0,5.0,1.5766731012212827,6.196642509915578
1.0,1.0,79.0,200.0,5.0,1.605543266633533,6.095416079956202
1.0,1.0,85.0,200.0,5.0,1.6779803091939227,6.076971555755342
1.0,1.0,92.0,200.0,5.0,1.7347130545816813,6.341742145536473
1.0,1.0,100.0,200.0,5.0,1.7587378927001343,6.206892374112522
1.0,1.0,108.0,200.0,5.0,1.9250110468494332,6.153262005047413
1.0,1.0,116.0,200.0,5.0,2.2973036551443977,6.167230201705161
1.0,1.0,126.0,200.0,5.0,2.6627448704855405,6.141040321545426
1.0,1.0,136.0,200.0,5.0,3.2899063756364915,6.194182079892844
1.0,1.0,147.0,200.0,5.0,3.4545654541624664,6.146196335493419
1.0,1.0,158.0,200.0,5.0,4.078262547883534,6.153824978183014
1.0,1.0,171.0,200.0,5.0,6.699908546995513,5.985366443741273
1.0,1.0,185.0,200.0,5.0,14.02668292004569,6.0752457302397485
1.0,1.0,200.0,200.0,5.0,75000.66007535618,6.052808420070787
1.0,1.0,216.0,200.0,5.0,9.048360995643153,6.1075299523907995
1.0,1.0,234.0,200.0,5.0,6.288915519817581,6.171908238369329
1.0,1.0,254.0,200.0,5.0,5.511609823823209,6.198444206353287
