λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,400.0,200.0,0.0,1.0,2.074856158782895
1.0,1.0,20.0,400.0,200.0,4.161224489795918,1.0,1.9505873978236479
1.0,1.0,21.0,400.0,200.0,0.0,1.0,2.0883061176088535
1.0,1.0,21.0,400.0,200.0,3.3489795918367347,1.0,1.947249867843586
1.0,1.0,23.0,400.0,200.0,0.0,1.0,2.1437247900237284
1.0,1.0,23.0,400.0,200.0,2.536734693877551,1.0,1.9537165751725085
1.0,1.0,25.0,400.0,200.0,0.0,1.0,2.150163309059928
1.0,1.0,25.0,400.0,200.0,2.536734693877551,1.0,1.950498261684361
1.0,1.0,27.0,400.0,200.0,0.0,1.0,2.2158626898782883
1.0,1.0,27.0,400.0,200.0,1.7244897959183674,1.0,1.957592278825814
1.0,1.0,29.0,400.0,200.0,0.0,1.0,2.210245146245912
1.0,1.0,29.0,400.0,200.0,2.1306122448979594,1.0,1.9478168621746954
1.0,1.0,31.0,400.0,200.0,0.0,1.0,2.1930939192380743
1.0,1.0,31.0,400.0,200.0,2.536734693877551,1.0,1.9404256501577077
1.0,1.0,34.0,400.0,200.0,0.0,1.0,2.2267283732550114
1.0,1.0,34.0,400.0,200.0,2.9428571428571426,1.0,1.941697621767449
1.0,1.0,36.0,400.0,200.0,0.0,1.0,2.265495167629888
1.0,1.0,36.0,400.0,200.0,2.1306122448979594,1.0,1.9378907508718104
1.0,1.0,39.0,400.0,200.0,0.0,1.0,2.3156519346641926
1.0,1.0,39.0,400.0,200.0,1.7244897959183674,1.0,1.9388339648426518
1.0,1.0,43.0,400.0,200.0,0.0,1.0,2.305131890409366
1.0,1.0,43.0,400.0,200.0,2.536734693877551,1.0,1.9310630253406456
1.0,1.0,46.0,400.0,200.0,0.0,1.0,2.3018621016592293
1.0,1.0,46.0,400.0,200.0,2.536734693877551,1.0,1.926666372254751
1.0,1.0,50.0,400.0,200.0,0.0,1.0,2.325143205961989
1.0,1.0,50.0,400.0,200.0,2.536734693877551,1.0,1.9324265572228876
1.0,1.0,54.0,400.0,200.0,0.0,1.0,2.445231567748989
1.0,1.0,54.0,400.0,200.0,2.1306122448979594,1.0,1.931446058841491
1.0,1.0,58.0,400.0,200.0,0.0,1.0,2.4779024060656027
1.0,1.0,58.0,400.0,200.0,2.1306122448979594,1.0,1.924293823094893
1.0,1.0,63.0,400.0,200.0,0.0,1.0,2.608793539871524
1.0,1.0,63.0,400.0,200.0,2.1306122448979594,1.0,1.9248646804361438
1.0,1.0,68.0,400.0,200.0,0.0,1.0,2.708718139880332
1.0,1.0,68.0,400.0,200.0,2.1306122448979594,1.0,1.9397812335836275
1.0,1.0,73.0,400.0,200.0,0.0,1.0,2.7699426821982525
1.0,1.0,73.0,400.0,200.0,2.1306122448979594,1.0,1.9376666945827044
1.0,1.0,79.0,400.0,200.0,0.0,1.0,2.8969937311420506
1.0,1.0,79.0,400.0,200.0,2.1306122448979594,1.0,1.9285548911050907
1.0,1.0,85.0,400.0,200.0,0.0,1.0,3.1192547049984767
1.0,1.0,85.0,400.0,200.0,2.9428571428571426,1.0,1.9248261026871187
1.0,1.0,92.0,400.0,200.0,0.0,1.0,3.158674904168174
1.0,1.0,92.0,400.0,200.0,3.7551020408163267,1.0,1.9229825907989129
1.0,1.0,100.0,400.0,200.0,0.0,1.0,3.14526957025164
1.0,1.0,100.0,400.0,200.0,4.9734693877551015,1.0,1.9233784580945692
1.0,1.0,108.0,400.0,200.0,0.0,1.0,3.1416007952449245
1.0,1.0,108.0,400.0,200.0,4.9734693877551015,1.0,1.9124618589329991
1.0,1.0,116.0,400.0,200.0,0.0,1.0,3.635933931052834
1.0,1.0,116.0,400.0,200.0,7.004081632653061,1.0,1.9192935883666178
1.0,1.0,126.0,400.0,200.0,0.0,1.0,4.031645616351576
1.0,1.0,126.0,400.0,200.0,8.222448979591837,1.0,1.9231636443795512
1.0,1.0,136.0,400.0,200.0,0.0,1.0,4.663583334736674
1.0,1.0,136.0,400.0,200.0,9.846938775510203,1.0,1.927061820614065
1.0,1.0,147.0,400.0,200.0,0.0,1.0,5.912550792247687
1.0,1.0,147.0,400.0,200.0,4.5673469387755095,1.0,1.8966159461997223
1.0,1.0,158.0,400.0,200.0,0.0,1.0,6.946011711402032
1.0,1.0,158.0,400.0,200.0,4.5673469387755095,1.0,1.8993656143886997
1.0,1.0,171.0,400.0,200.0,0.0,1.0,6.831582142672173
1.0,1.0,171.0,400.0,200.0,2.536734693877551,1.0,1.8817413014714395
1.0,1.0,185.0,400.0,200.0,0.0,1.0,21.709568211599883
1.0,1.0,185.0,400.0,200.0,2.536734693877551,1.0,1.8705736112452782
1.0,1.0,200.0,400.0,200.0,0.0,1.0,1659.5087266662185
1.0,1.0,200.0,400.0,200.0,3.3489795918367347,1.0,1.8624924383009114
1.0,1.0,216.0,400.0,200.0,0.0,1.0,24.99849921446127
1.0,1.0,216.0,400.0,200.0,2.9428571428571426,1.0,1.8488294478814067
1.0,1.0,234.0,400.0,200.0,0.0,1.0,12.887727723244351
1.0,1.0,234.0,400.0,200.0,4.161224489795918,1.0,1.842857563280791
1.0,1.0,254.0,400.0,200.0,0.0,1.0,6.097917891475899
1.0,1.0,254.0,400.0,200.0,3.3489795918367347,1.0,1.8283973443882648
1.0,1.0,275.0,400.0,200.0,0.0,1.0,4.716246085284121
1.0,1.0,275.0,400.0,200.0,4.161224489795918,1.0,1.8239752805762168
1.0,1.0,297.0,400.0,200.0,0.0,1.0,4.097581043614269
1.0,1.0,297.0,400.0,200.0,4.161224489795918,1.0,1.8096119421323729
1.0,1.0,322.0,400.0,200.0,0.0,1.0,3.5843101664925476
1.0,1.0,322.0,400.0,200.0,4.161224489795918,1.0,1.8052393654739014
1.0,1.0,348.0,400.0,200.0,0.0,1.0,3.0634089386796046
1.0,1.0,348.0,400.0,200.0,4.161224489795918,1.0,1.7999296212737128
1.0,1.0,377.0,400.0,200.0,0.0,1.0,2.800538421787291
1.0,1.0,377.0,400.0,200.0,4.161224489795918,1.0,1.7865532281086758
1.0,1.0,408.0,400.0,200.0,0.0,1.0,2.455772059360505
1.0,1.0,408.0,400.0,200.0,3.7551020408163267,1.0,1.7740627162980047
1.0,1.0,442.0,400.0,200.0,0.0,1.0,2.3432198734081773
1.0,1.0,442.0,400.0,200.0,4.161224489795918,1.0,1.7861290984072749
1.0,1.0,479.0,400.0,200.0,0.0,1.0,2.2467655640308557
1.0,1.0,479.0,400.0,200.0,4.5673469387755095,1.0,1.7999344601793934
1.0,1.0,518.0,400.0,200.0,0.0,1.0,2.2033755231268106
1.0,1.0,518.0,400.0,200.0,4.9734693877551015,1.0,1.815799494532216
1.0,1.0,561.0,400.0,200.0,0.0,1.0,2.1542033980245736
1.0,1.0,561.0,400.0,200.0,5.785714285714285,1.0,1.8293098811747033
1.0,1.0,608.0,400.0,200.0,0.0,1.0,2.120377554249265
1.0,1.0,608.0,400.0,200.0,5.785714285714285,1.0,1.8368121374749262
1.0,1.0,658.0,400.0,200.0,0.0,1.0,2.0941066190095796
1.0,1.0,658.0,400.0,200.0,6.597959183673469,1.0,1.8494562423449854
1.0,1.0,712.0,400.0,200.0,0.0,1.0,2.075842684983753
1.0,1.0,712.0,400.0,200.0,7.816326530612244,1.0,1.862531079060915
1.0,1.0,771.0,400.0,200.0,0.0,1.0,2.065319192607928
1.0,1.0,771.0,400.0,200.0,6.191836734693877,1.0,1.8638781240719047
1.0,1.0,835.0,400.0,200.0,0.0,1.0,2.038220142205459
1.0,1.0,835.0,400.0,200.0,4.5673469387755095,1.0,1.8649487676939949
1.0,1.0,904.0,400.0,200.0,0.0,1.0,2.029547514702914
1.0,1.0,904.0,400.0,200.0,5.3795918367346935,1.0,1.8731166710339593
1.0,1.0,979.0,400.0,200.0,0.0,1.0,2.0292431186827584
1.0,1.0,979.0,400.0,200.0,8.222448979591837,1.0,1.8858108336113757
1.0,1.0,1059.0,400.0,200.0,0.0,1.0,2.0196583379095476
1.0,1.0,1059.0,400.0,200.0,8.222448979591837,1.0,1.8902637709673857
1.0,1.0,1147.0,400.0,200.0,0.0,1.0,2.006824498764315
1.0,1.0,1147.0,400.0,200.0,4.161224489795918,1.0,1.8950443938735817
1.0,1.0,1242.0,400.0,200.0,0.0,1.0,2.0111586589413273
1.0,1.0,1242.0,400.0,200.0,3.7551020408163267,1.0,1.9100019140518045
1.0,1.0,1344.0,400.0,200.0,0.0,1.0,2.011247344933338
1.0,1.0,1344.0,400.0,200.0,3.7551020408163267,1.0,1.919289838336975
1.0,1.0,1455.0,400.0,200.0,0.0,1.0,2.00683310609479
1.0,1.0,1455.0,400.0,200.0,3.7551020408163267,1.0,1.9253078771578516
1.0,1.0,1576.0,400.0,200.0,0.0,1.0,2.0048026009108177
1.0,1.0,1576.0,400.0,200.0,4.5673469387755095,1.0,1.9287165800545638
1.0,1.0,1706.0,400.0,200.0,0.0,1.0,2.000535298596423
1.0,1.0,1706.0,400.0,200.0,9.440816326530612,1.0,1.9245382311099675
1.0,1.0,1847.0,400.0,200.0,0.0,1.0,1.9995095509263163
1.0,1.0,1847.0,400.0,200.0,12.283673469387754,1.0,1.9281576933087756
1.0,1.0,2000.0,400.0,200.0,0.0,1.0,1.9950843070957578
1.0,1.0,2000.0,400.0,200.0,13.095918367346938,1.0,1.9306917244315853
1.0,1.0,20.0,400.0,200.0,0.0,2.333333333333333,3.3956879595569944
1.0,1.0,20.0,400.0,200.0,6.597959183673469,2.333333333333333,3.2714809509581064
1.0,1.0,21.0,400.0,200.0,0.0,2.333333333333333,3.403678903345966
1.0,1.0,21.0,400.0,200.0,6.191836734693877,2.333333333333333,3.267653747283743
1.0,1.0,23.0,400.0,200.0,0.0,2.333333333333333,3.4946493785137105
1.0,1.0,23.0,400.0,200.0,4.161224489795918,2.333333333333333,3.2655071902943282
1.0,1.0,25.0,400.0,200.0,0.0,2.333333333333333,3.5028823167759326
1.0,1.0,25.0,400.0,200.0,2.9428571428571426,2.333333333333333,3.2513401141048703
1.0,1.0,27.0,400.0,200.0,0.0,2.333333333333333,3.579614164527998
1.0,1.0,27.0,400.0,200.0,2.536734693877551,2.333333333333333,3.249957836837721
1.0,1.0,29.0,400.0,200.0,0.0,2.333333333333333,3.5668583037619683
1.0,1.0,29.0,400.0,200.0,2.536734693877551,2.333333333333333,3.2395150002069437
1.0,1.0,31.0,400.0,200.0,0.0,2.333333333333333,3.5382673263148514
1.0,1.0,31.0,400.0,200.0,2.9428571428571426,2.333333333333333,3.231821503166079
1.0,1.0,34.0,400.0,200.0,0.0,2.333333333333333,3.589851509908879
1.0,1.0,34.0,400.0,200.0,3.7551020408163267,2.333333333333333,3.2384609136226925
1.0,1.0,36.0,400.0,200.0,0.0,2.333333333333333,3.622716699580181
1.0,1.0,36.0,400.0,200.0,2.9428571428571426,2.333333333333333,3.2216500571942626
1.0,1.0,39.0,400.0,200.0,0.0,2.333333333333333,3.7290669759651967
1.0,1.0,39.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.209113922544605
1.0,1.0,43.0,400.0,200.0,0.0,2.333333333333333,3.71980882822481
1.0,1.0,43.0,400.0,200.0,2.536734693877551,2.333333333333333,3.2051163770396602
1.0,1.0,46.0,400.0,200.0,0.0,2.333333333333333,3.7076852586944513
1.0,1.0,46.0,400.0,200.0,2.1306122448979594,2.333333333333333,3.1918279896534707
1.0,1.0,50.0,400.0,200.0,0.0,2.333333333333333,3.6956625561966883
1.0,1.0,50.0,400.0,200.0,2.536734693877551,2.333333333333333,3.1981493393694045
1.0,1.0,54.0,400.0,200.0,0.0,2.333333333333333,3.900881883304278
1.0,1.0,54.0,400.0,200.0,2.1306122448979594,2.333333333333333,3.185307458586088
1.0,1.0,58.0,400.0,200.0,0.0,2.333333333333333,3.9614078592348183
1.0,1.0,58.0,400.0,200.0,2.1306122448979594,2.333333333333333,3.1698472388751195
1.0,1.0,63.0,400.0,200.0,0.0,2.333333333333333,4.147167067089334
1.0,1.0,63.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.1671158097660896
1.0,1.0,68.0,400.0,200.0,0.0,2.333333333333333,4.3767629073141086
1.0,1.0,68.0,400.0,200.0,2.1306122448979594,2.333333333333333,3.1976274368041016
1.0,1.0,73.0,400.0,200.0,0.0,2.333333333333333,4.430377146793276
1.0,1.0,73.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.1984143044079167
1.0,1.0,79.0,400.0,200.0,0.0,2.333333333333333,4.618872204486326
1.0,1.0,79.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.1750642772514404
1.0,1.0,85.0,400.0,200.0,0.0,2.333333333333333,4.926013532976248
1.0,1.0,85.0,400.0,200.0,2.536734693877551,2.333333333333333,3.1713406658325947
1.0,1.0,92.0,400.0,200.0,0.0,2.333333333333333,4.9932144862791
1.0,1.0,92.0,400.0,200.0,2.9428571428571426,2.333333333333333,3.1710163269803706
1.0,1.0,100.0,400.0,200.0,0.0,2.333333333333333,5.0660624429586605
1.0,1.0,100.0,400.0,200.0,3.7551020408163267,2.333333333333333,3.1706388411231785
1.0,1.0,108.0,400.0,200.0,0.0,2.333333333333333,5.161431617630559
1.0,1.0,108.0,400.0,200.0,3.3489795918367347,2.333333333333333,3.13565193834832
1.0,1.0,116.0,400.0,200.0,0.0,2.333333333333333,6.1827168104968955
1.0,1.0,116.0,400.0,200.0,4.161224489795918,2.333333333333333,3.142576392415004
1.0,1.0,126.0,400.0,200.0,0.0,2.333333333333333,6.734278849461889
1.0,1.0,126.0,400.0,200.0,4.9734693877551015,2.333333333333333,3.1513698878521956
1.0,1.0,136.0,400.0,200.0,0.0,2.333333333333333,7.836210825246932
1.0,1.0,136.0,400.0,200.0,6.191836734693877,2.333333333333333,3.165576594546113
1.0,1.0,147.0,400.0,200.0,0.0,2.333333333333333,9.722301989532845
1.0,1.0,147.0,400.0,200.0,2.9428571428571426,2.333333333333333,3.0862268399363724
1.0,1.0,158.0,400.0,200.0,0.0,2.333333333333333,11.229127110027301
