λ,μ,p,n,tau,snr,MSE
1.0,1.0,136.0,200.0,-4.0,1.0,3.2066715993924793
1.0,1.0,136.0,200.0,-5.0,1.0,2.135155901508968
1.0,1.0,136.0,200.0,-6.0,1.0,1.7805899712325117
1.0,1.0,136.0,200.0,-7.0,1.0,1.6004768851332565
1.0,1.0,136.0,200.0,-8.0,1.0,1.4909254858738805
1.0,1.0,147.0,200.0,0.0,1.0,2.8181286810315633
1.0,1.0,147.0,200.0,-1.0,1.0,215.10287432654687
1.0,1.0,147.0,200.0,-2.0,1.0,208.9092633836565
1.0,1.0,147.0,200.0,-3.0,1.0,77.64179490029501
1.0,1.0,147.0,200.0,-4.0,1.0,3.39193715297199
1.0,1.0,147.0,200.0,-5.0,1.0,2.170147384239979
1.0,1.0,147.0,200.0,-6.0,1.0,1.7917975496954395
1.0,1.0,147.0,200.0,-7.0,1.0,1.6041197357021888
1.0,1.0,147.0,200.0,-8.0,1.0,1.4913919225129417
1.0,1.0,158.0,200.0,0.0,1.0,4.507889020255774
1.0,1.0,158.0,200.0,-1.0,1.0,1041.9076779158706
1.0,1.0,158.0,200.0,-2.0,1.0,451.65401367419196
1.0,1.0,158.0,200.0,-3.0,1.0,97.36825349944186
1.0,1.0,158.0,200.0,-4.0,1.0,3.3225337932513197
1.0,1.0,158.0,200.0,-5.0,1.0,2.155868473120521
1.0,1.0,158.0,200.0,-6.0,1.0,1.7880138504244714
1.0,1.0,158.0,200.0,-7.0,1.0,1.6035069604746122
1.0,1.0,158.0,200.0,-8.0,1.0,1.4920322672793012
1.0,1.0,171.0,200.0,0.0,1.0,5.704825173745794
1.0,1.0,171.0,200.0,-1.0,1.0,133.8402361496444
1.0,1.0,171.0,200.0,-2.0,1.0,1157.020779055849
1.0,1.0,171.0,200.0,-3.0,1.0,8441.519648856724
1.0,1.0,171.0,200.0,-4.0,1.0,4.5430841978708125
1.0,1.0,171.0,200.0,-5.0,1.0,2.382490230425852
1.0,1.0,171.0,200.0,-6.0,1.0,1.8866910949361555
1.0,1.0,171.0,200.0,-7.0,1.0,1.65887588557591
1.0,1.0,171.0,200.0,-8.0,1.0,1.5270247736845217
1.0,1.0,185.0,200.0,0.0,1.0,17.232614725600158
1.0,1.0,185.0,200.0,-1.0,1.0,92.4688246857455
1.0,1.0,185.0,200.0,-2.0,1.0,136.48768572037412
1.0,1.0,185.0,200.0,-3.0,1.0,75.06221201880722
1.0,1.0,185.0,200.0,-4.0,1.0,4.374543633110489
1.0,1.0,185.0,200.0,-5.0,1.0,2.332533384526329
1.0,1.0,185.0,200.0,-6.0,1.0,1.8598005773191086
1.0,1.0,185.0,200.0,-7.0,1.0,1.6393226584217613
1.0,1.0,185.0,200.0,-8.0,1.0,1.5108641490601282
1.0,1.0,200.0,200.0,0.0,1.0,299.06618726530587
1.0,1.0,200.0,200.0,-1.0,1.0,1854.0020188703836
1.0,1.0,200.0,200.0,-2.0,1.0,106.85370817128
1.0,1.0,200.0,200.0,-3.0,1.0,86.00507949600076
1.0,1.0,200.0,200.0,-4.0,1.0,6.306567680128523
1.0,1.0,200.0,200.0,-5.0,1.0,2.44456471522256
1.0,1.0,200.0,200.0,-6.0,1.0,1.8998897993413637
1.0,1.0,200.0,200.0,-7.0,1.0,1.65926373783498
1.0,1.0,200.0,200.0,-8.0,1.0,1.522269089175808
1.0,1.0,216.0,200.0,0.0,1.0,13.731263897430996
1.0,1.0,216.0,200.0,-1.0,1.0,12084.878017963963
1.0,1.0,216.0,200.0,-2.0,1.0,626.397749245193
1.0,1.0,216.0,200.0,-3.0,1.0,298.1135381785723
1.0,1.0,216.0,200.0,-4.0,1.0,1643.5647935766785
1.0,1.0,216.0,200.0,-5.0,1.0,2.8601780254199576
1.0,1.0,216.0,200.0,-6.0,1.0,2.04450726750843
1.0,1.0,216.0,200.0,-7.0,1.0,1.733787730225872
1.0,1.0,216.0,200.0,-8.0,1.0,1.567735471236369
1.0,1.0,234.0,200.0,0.0,1.0,5.668431102191076
1.0,1.0,234.0,200.0,-1.0,1.0,326.4663654222725
1.0,1.0,234.0,200.0,-2.0,1.0,150.6520650759283
1.0,1.0,234.0,200.0,-3.0,1.0,124.90102390308054
1.0,1.0,234.0,200.0,-4.0,1.0,41.73423919634982
1.0,1.0,234.0,200.0,-5.0,1.0,2.90557425018186
1.0,1.0,234.0,200.0,-6.0,1.0,2.0368739423070905
1.0,1.0,234.0,200.0,-7.0,1.0,1.7223794206292111
1.0,1.0,234.0,200.0,-8.0,1.0,1.5573422661509368
1.0,1.0,254.0,200.0,0.0,1.0,3.8816842457666243
1.0,1.0,254.0,200.0,-1.0,1.0,294.9783248321838
1.0,1.0,254.0,200.0,-2.0,1.0,11799.937365846037
1.0,1.0,254.0,200.0,-3.0,1.0,962.047687577496
1.0,1.0,254.0,200.0,-4.0,1.0,172.7795609420744
1.0,1.0,254.0,200.0,-5.0,1.0,3.4544707933709846
1.0,1.0,254.0,200.0,-6.0,1.0,2.175314276193366
1.0,1.0,254.0,200.0,-7.0,1.0,1.7813857257738375
1.0,1.0,254.0,200.0,-8.0,1.0,1.587881020921997
1.0,1.0,275.0,200.0,0.0,1.0,3.084616553003141
1.0,1.0,275.0,200.0,-1.0,1.0,645.741895442168
1.0,1.0,275.0,200.0,-2.0,1.0,47.85105580434791
1.0,1.0,275.0,200.0,-3.0,1.0,2167.076910655279
1.0,1.0,275.0,200.0,-4.0,1.0,10120.741779300915
1.0,1.0,275.0,200.0,-5.0,1.0,4.901009848872213
1.0,1.0,275.0,200.0,-6.0,1.0,2.3145333342409105
1.0,1.0,275.0,200.0,-7.0,1.0,1.8140644522988718
1.0,1.0,275.0,200.0,-8.0,1.0,1.593645505908045
1.0,1.0,297.0,200.0,0.0,1.0,2.5927311819151493
1.0,1.0,297.0,200.0,-1.0,1.0,351.83882830673616
1.0,1.0,297.0,200.0,-2.0,1.0,7448.709124932677
1.0,1.0,297.0,200.0,-3.0,1.0,31241.026298949586
1.0,1.0,297.0,200.0,-4.0,1.0,217.05992400043561
1.0,1.0,297.0,200.0,-5.0,1.0,11.09052335528165
1.0,1.0,297.0,200.0,-6.0,1.0,2.6319092268918824
1.0,1.0,297.0,200.0,-7.0,1.0,1.9196839276894315
1.0,1.0,297.0,200.0,-8.0,1.0,1.6461971234873665
1.0,1.0,322.0,200.0,0.0,1.0,2.009954419093361
1.0,1.0,322.0,200.0,-1.0,1.0,1547.8322423229138
1.0,1.0,322.0,200.0,-2.0,1.0,86.71614767205025
1.0,1.0,322.0,200.0,-3.0,1.0,1067.8536667081237
1.0,1.0,322.0,200.0,-4.0,1.0,706.0187524626344
1.0,1.0,322.0,200.0,-5.0,1.0,85.71381094368128
1.0,1.0,322.0,200.0,-6.0,1.0,2.9953565116599425
1.0,1.0,322.0,200.0,-7.0,1.0,2.0436072388708917
1.0,1.0,322.0,200.0,-8.0,1.0,1.716883503960217
1.0,1.0,348.0,200.0,0.0,1.0,1.796825272061523
1.0,1.0,348.0,200.0,-1.0,1.0,185.43702398621076
1.0,1.0,348.0,200.0,-2.0,1.0,298.1062095282666
