λ,μ,p,n,tau,snr,MSE
1.0,1.0,20.0,200.0,0.0,1.0,0.04970105333177144
1.0,1.0,20.0,200.0,0.1,1.0,0.03214596967199974
1.0,1.0,21.0,200.0,0.0,1.0,0.05203707803975117
1.0,1.0,21.0,200.0,0.1,1.0,0.03168987187362578
1.0,1.0,23.0,200.0,0.0,1.0,0.0681720154885419
1.0,1.0,23.0,200.0,0.1,1.0,0.043892093876383584
1.0,1.0,25.0,200.0,0.0,1.0,0.08021737854475866
1.0,1.0,25.0,200.0,0.1,1.0,0.053280540861036375
1.0,1.0,27.0,200.0,0.0,1.0,0.09501911899966194
1.0,1.0,27.0,200.0,0.1,1.0,0.06181386521467173
1.0,1.0,29.0,200.0,0.0,1.0,0.10437992539247234
1.0,1.0,29.0,200.0,0.1,1.0,0.0711864955916379
1.0,1.0,31.0,200.0,0.0,1.0,0.11402223407071126
1.0,1.0,31.0,200.0,0.1,1.0,0.08011388929740697
1.0,1.0,34.0,200.0,0.0,1.0,0.14874394149964013
1.0,1.0,34.0,200.0,0.1,1.0,0.10280931505173635
1.0,1.0,36.0,200.0,0.0,1.0,0.15786650233824454
1.0,1.0,36.0,200.0,0.1,1.0,0.1176497236616864
1.0,1.0,39.0,200.0,0.0,1.0,0.15489562285541017
1.0,1.0,39.0,200.0,0.1,1.0,0.11664060405268187
1.0,1.0,43.0,200.0,0.0,1.0,0.1578256415698648
1.0,1.0,43.0,200.0,0.1,1.0,0.12453986051999986
1.0,1.0,46.0,200.0,0.0,1.0,0.1578632671459948
1.0,1.0,46.0,200.0,0.5061224489795918,1.0,0.1832095042679359
1.0,1.0,50.0,200.0,0.0,1.0,0.20889385029865654
1.0,1.0,50.0,200.0,0.5061224489795918,1.0,0.1881831673595484
1.0,1.0,54.0,200.0,0.0,1.0,0.2944550844521355
1.0,1.0,54.0,200.0,0.5061224489795918,1.0,0.25700130938917143
1.0,1.0,58.0,200.0,0.0,1.0,0.30642889974036663
1.0,1.0,58.0,200.0,0.5061224489795918,1.0,0.2660089848336273
1.0,1.0,63.0,200.0,0.0,1.0,0.3694516888182008
1.0,1.0,63.0,200.0,0.5061224489795918,1.0,0.2885839973594578
1.0,1.0,68.0,200.0,0.0,1.0,0.4102916911935159
1.0,1.0,68.0,200.0,0.5061224489795918,1.0,0.28390655717263746
1.0,1.0,73.0,200.0,0.0,1.0,0.47107581304318175
1.0,1.0,73.0,200.0,0.5061224489795918,1.0,0.30667633402681416
1.0,1.0,79.0,200.0,0.0,1.0,0.5126780611431547
1.0,1.0,79.0,200.0,0.5061224489795918,1.0,0.30995638941892256
1.0,1.0,85.0,200.0,0.0,1.0,0.5480327361121197
1.0,1.0,85.0,200.0,0.5061224489795918,1.0,0.304839341055883
1.0,1.0,92.0,200.0,0.0,1.0,0.6035904570664856
1.0,1.0,92.0,200.0,0.5061224489795918,1.0,0.32765663471449297
1.0,1.0,100.0,200.0,0.0,1.0,0.8097092972603934
1.0,1.0,100.0,200.0,0.5061224489795918,1.0,0.36482662127187077
1.0,1.0,108.0,200.0,0.0,1.0,1.1931653298533147
1.0,1.0,108.0,200.0,0.5061224489795918,1.0,0.40165273156914155
1.0,1.0,116.0,200.0,0.0,1.0,1.3165362408379322
1.0,1.0,116.0,200.0,0.5061224489795918,1.0,0.4128153053535698
1.0,1.0,126.0,200.0,0.0,1.0,1.5010414822641887
