λ,μ,p,n,snr,MSE,null_risk
1.0,1.0,20.0,200.0,1.0,1.1287780096259126,-0.002866061649041012
1.0,1.0,21.0,200.0,1.0,1.1287827014353802,0.003603485016165522
1.0,1.0,23.0,200.0,1.0,1.1498870385248137,0.0032546352727100664
1.0,1.0,25.0,200.0,1.0,1.2562170206635441,0.0007550061622508759
1.0,1.0,27.0,200.0,1.0,1.271015746168605,0.001518906707023986
1.0,1.0,29.0,200.0,1.0,1.308377718071834,0.003308541329661311
1.0,1.0,31.0,200.0,1.0,1.322043750380264,0.0064152622653662825
1.0,1.0,34.0,200.0,1.0,1.3280311804725864,0.00011294643029133446
1.0,1.0,36.0,200.0,1.0,1.3237837842932272,-0.000438608416084833
1.0,1.0,39.0,200.0,1.0,1.3407754356485617,0.0022460418597192804
1.0,1.0,43.0,200.0,1.0,1.346698286421709,0.0020195069355166025
1.0,1.0,46.0,200.0,1.0,1.3798184685564143,0.004312409074066564
1.0,1.0,50.0,200.0,1.0,1.403210893684777,0.005475092541236806
1.0,1.0,54.0,200.0,1.0,1.4413973305574048,0.0027485079846447176
1.0,1.0,58.0,200.0,1.0,1.4370233625675026,0.007222526377146933
1.0,1.0,63.0,200.0,1.0,1.4751013236461328,0.005720915015437298
1.0,1.0,68.0,200.0,1.0,1.5283764393646753,0.006916700580270765
1.0,1.0,73.0,200.0,1.0,1.5937019453687589,0.003694250985064026
1.0,1.0,79.0,200.0,1.0,1.6264010130314077,0.004980231627277724
1.0,1.0,85.0,200.0,1.0,1.6858191482121307,0.00475355223126225
1.0,1.0,92.0,200.0,1.0,1.7462780269577018,0.004175997127466563
1.0,1.0,100.0,200.0,1.0,1.758179575989308,0.0029578377042436097
1.0,1.0,108.0,200.0,1.0,1.9209927120785688,0.002193403874610556
1.0,1.0,116.0,200.0,1.0,2.2649101758679206,0.001117012121781327
1.0,1.0,126.0,200.0,1.0,2.728063433683557,0.006731164248746493
1.0,1.0,136.0,200.0,1.0,3.336981337827321,0.003356051794829413
1.0,1.0,147.0,200.0,1.0,3.5859598698958886,0.00018400219932775532
1.0,1.0,158.0,200.0,1.0,4.212258157347237,0.00018752189409653258
1.0,1.0,171.0,200.0,1.0,6.929139005522377,0.0029840991031732
1.0,1.0,185.0,200.0,1.0,14.574966098952535,0.0014495946065138262
1.0,1.0,200.0,200.0,1.0,73163.81106119989,-0.001742708552735422
1.0,1.0,216.0,200.0,1.0,8.882766460437907,-0.00250144344629151
1.0,1.0,234.0,200.0,1.0,5.736857337010746,-0.0019334004301712648
1.0,1.0,254.0,200.0,1.0,4.194725257393282,0.0009337368396033307
1.0,1.0,275.0,200.0,1.0,3.438230585756008,0.002093602544446026
1.0,1.0,297.0,200.0,1.0,3.137548894559356,5.8194173449067526e-05
1.0,1.0,322.0,200.0,1.0,2.84417904925306,-0.004278461019814377
1.0,1.0,348.0,200.0,1.0,2.590176370401897,-0.006026809641970699
1.0,1.0,377.0,200.0,1.0,2.422135154273362,-0.010277991919261457
1.0,1.0,408.0,200.0,1.0,2.231861207473246,-0.010244900378292274
1.0,1.0,442.0,200.0,1.0,2.162889921379845,-0.00893455769961006
1.0,1.0,479.0,200.0,1.0,2.1436626717248277,-0.007999534664318585
1.0,1.0,518.0,200.0,1.0,2.108408404630117,-0.007752967425760406
1.0,1.0,561.0,200.0,1.0,2.0789248064059547,-0.00338512108679132
1.0,1.0,608.0,200.0,1.0,2.0808319389963197,-0.002014468814551713
1.0,1.0,658.0,200.0,1.0,2.0824132859492073,-0.0037168303069276963
1.0,1.0,712.0,200.0,1.0,2.059188251097357,-0.004512081403823852
1.0,1.0,771.0,200.0,1.0,2.036489970884076,0.00015067365404754427
1.0,1.0,835.0,200.0,1.0,2.0371033180131195,-0.0010164528298210235
1.0,1.0,904.0,200.0,1.0,2.0158208430355025,-0.0013435655430320992
1.0,1.0,979.0,200.0,1.0,2.010637606660982,-4.294517635497976e-06
1.0,1.0,1059.0,200.0,1.0,1.9934424882373794,-0.00013592341720694787
1.0,1.0,1147.0,200.0,1.0,1.98013266626539,-0.0008485078227543462
1.0,1.0,1242.0,200.0,1.0,1.9851470388256551,0.0029462146013332674
1.0,1.0,1344.0,200.0,1.0,1.997057671529722,0.004718848955586308
1.0,1.0,1455.0,200.0,1.0,1.9868693429471997,0.0009941870347409865
1.0,1.0,1576.0,200.0,1.0,2.0149676677152466,0.004792747709654638
1.0,1.0,1706.0,200.0,1.0,1.9946756555802436,0.000930743590326323
1.0,1.0,1847.0,200.0,1.0,1.9920050646189695,-0.0028236995566909766
1.0,1.0,2000.0,200.0,1.0,2.027944837084715,-0.005443527284674754
1.0,1.0,20.0,200.0,2.333333333333333,1.1287780096259128,-0.0024650646168641044
1.0,1.0,21.0,200.0,2.333333333333333,1.1287827014353802,0.007375663100752758
1.0,1.0,23.0,200.0,2.333333333333333,1.1498870385248134,0.006846780178980253
1.0,1.0,25.0,200.0,2.333333333333333,1.2562170206635441,0.003051282924872134
1.0,1.0,27.0,200.0,2.333333333333333,1.2710157461686047,0.004212296156469712
1.0,1.0,29.0,200.0,2.333333333333333,1.308377718071834,0.006928519060049562
1.0,1.0,31.0,200.0,2.333333333333333,1.3220437503802644,0.01163112381972423
1.0,1.0,34.0,200.0,2.333333333333333,1.3280311804725864,0.0020747131087812494
1.0,1.0,36.0,200.0,2.333333333333333,1.3237837842932272,0.0012352660022456267
1.0,1.0,39.0,200.0,2.333333333333333,1.3407754356485617,0.005316543578623195
1.0,1.0,43.0,200.0,2.333333333333333,1.346698286421709,0.004972614535462476
1.0,1.0,46.0,200.0,2.333333333333333,1.3798184685564137,0.008449823769366222
1.0,1.0,50.0,200.0,2.333333333333333,1.4032108936847774,0.01020970544244417
1.0,1.0,54.0,200.0,2.333333333333333,1.4413973305574048,0.006079094383682528
1.0,1.0,58.0,200.0,2.333333333333333,1.437023362567502,0.012850415497822183
1.0,1.0,63.0,200.0,2.333333333333333,1.475101323646133,0.010581501667628397
1.0,1.0,68.0,200.0,2.333333333333333,1.528376439364675,0.012388625991937347
1.0,1.0,73.0,200.0,2.333333333333333,1.5937019453687589,0.007513238177757706
1.0,1.0,79.0,200.0,2.333333333333333,1.6264010130314077,0.00946094159554834
1.0,1.0,85.0,200.0,2.333333333333333,1.6858191482121314,0.00911782078252741
1.0,1.0,92.0,200.0,2.333333333333333,1.7462780269577023,0.008243197543518821
1.0,1.0,100.0,200.0,2.333333333333333,1.7581795759893089,0.006396653705505747
1.0,1.0,108.0,200.0,2.333333333333333,1.920992712078569,0.005236635251321855
1.0,1.0,116.0,200.0,2.333333333333333,2.2649101758679193,0.0036015960916229808
1.0,1.0,126.0,200.0,2.333333333333333,2.7280634336835567,0.012108393456988609
1.0,1.0,136.0,200.0,2.333333333333333,3.336981337827315,0.0070005561819854
1.0,1.0,147.0,200.0,2.333333333333333,3.5859598698958814,0.0021828215973649424
1.0,1.0,158.0,200.0,2.333333333333333,4.212258157347227,0.0021881764578430213
1.0,1.0,171.0,200.0,2.333333333333333,6.929139005522377,0.0064364879075292
1.0,1.0,185.0,200.0,2.333333333333333,14.574966098952427,0.004106991619854034
1.0,1.0,200.0,200.0,2.333333333333333,73163.81106125639,-0.0007514846378595247
1.0,1.0,216.0,200.0,2.333333333333333,8.985717629528914,-0.0019086490569470759
1.0,1.0,234.0,200.0,2.333333333333333,5.956387800652734,-0.001042226460144006
1.0,1.0,254.0,200.0,2.333333333333333,4.5402194915838106,0.0033230119426478706
1.0,1.0,275.0,200.0,2.333333333333333,3.8486033968139965,0.005085116991390942
1.0,1.0,297.0,200.0,2.333333333333333,3.5749701207203164,0.00199140416214434
1.0,1.0,322.0,200.0,2.333333333333333,3.3364140677467797,-0.004622416167338302
1.0,1.0,348.0,200.0,2.333333333333333,3.1230106284346313,-0.007297278749098993
1.0,1.0,377.0,200.0,2.333333333333333,2.9953438826845353,-0.013821196004148505
1.0,1.0,408.0,200.0,2.333333333333333,2.83915683950281,-0.013770305780166189
1.0,1.0,442.0,200.0,2.333333333333333,2.8386210249163364,-0.011756528087923424
1.0,1.0,479.0,200.0,2.333333333333333,2.894109496190968,-0.01032116936441907
1.0,1.0,518.0,200.0,2.333333333333333,2.911761666080898,-0.009942887964460835
1.0,1.0,561.0,200.0,2.333333333333333,2.892997163526645,-0.0032575268251286123
1.0,1.0,608.0,200.0,2.333333333333333,2.9487786760281107,-0.0011658465192709354
1.0,1.0,658.0,200.0,2.333333333333333,3.0012703548159307,-0.003764180901158293
1.0,1.0,712.0,200.0,2.333333333333333,3.0037054073210157,-0.0049795616393342075
1.0,1.0,771.0,200.0,2.333333333333333,2.993776358961888,0.0021321145805319225
1.0,1.0,835.0,200.0,2.333333333333333,3.044706545521501,0.0003552788299940541
1.0,1.0,904.0,200.0,2.333333333333333,3.03326304582971,-0.00014311320306477978
1.0,1.0,979.0,200.0,2.333333333333333,3.053999158000778,0.0018963178039139422
1.0,1.0,1059.0,200.0,2.333333333333333,3.051671342072832,0.0016960030239938928
