λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,36.0,100.0,200.0,-1.0,1.0,1.9554230186732435
1.0,1.0,36.0,100.0,200.0,-2.0,1.0,1.9622971294239075
1.0,1.0,36.0,100.0,200.0,-3.0,1.0,1.9694191767288227
1.0,1.0,36.0,100.0,200.0,-4.0,1.0,1.976801371064394
1.0,1.0,36.0,100.0,200.0,-5.0,1.0,1.984456731803837
1.0,1.0,36.0,100.0,200.0,-6.0,1.0,1.9923991553159135
1.0,1.0,36.0,100.0,200.0,-7.0,1.0,2.000643490045342
1.0,1.0,36.0,100.0,200.0,-8.0,1.0,2.0092056194218793
1.0,1.0,39.0,100.0,200.0,0.0,1.0,1.9515278725459477
1.0,1.0,39.0,100.0,200.0,-1.0,1.0,1.9589779187300438
1.0,1.0,39.0,100.0,200.0,-2.0,1.0,1.9667101370201758
1.0,1.0,39.0,100.0,200.0,-3.0,1.0,1.9747391609505256
1.0,1.0,39.0,100.0,200.0,-4.0,1.0,1.9830806459266819
1.0,1.0,39.0,100.0,200.0,-5.0,1.0,1.9917513598901904
1.0,1.0,39.0,100.0,200.0,-6.0,1.0,2.0007692837691673
1.0,1.0,39.0,100.0,200.0,-7.0,1.0,2.0101537229627406
1.0,1.0,39.0,100.0,200.0,-8.0,1.0,2.01992543129125
1.0,1.0,43.0,100.0,200.0,0.0,1.0,1.9085446284859182
1.0,1.0,43.0,100.0,200.0,-1.0,1.0,1.9154950088685858
1.0,1.0,43.0,100.0,200.0,-2.0,1.0,1.9227192341326529
1.0,1.0,43.0,100.0,200.0,-3.0,1.0,1.930232147295175
1.0,1.0,43.0,100.0,200.0,-4.0,1.0,1.938049676773135
1.0,1.0,43.0,100.0,200.0,-5.0,1.0,1.9461889372541035
1.0,1.0,43.0,100.0,200.0,-6.0,1.0,1.954668341992486
1.0,1.0,43.0,100.0,200.0,-7.0,1.0,1.9635077280668873
1.0,1.0,43.0,100.0,200.0,-8.0,1.0,1.9727284963747527
1.0,1.0,46.0,100.0,200.0,0.0,1.0,1.8785183824379112
1.0,1.0,46.0,100.0,200.0,-1.0,1.0,1.8852160928290185
1.0,1.0,46.0,100.0,200.0,-2.0,1.0,1.892168060356201
1.0,1.0,46.0,100.0,200.0,-3.0,1.0,1.8993877146432696
1.0,1.0,46.0,100.0,200.0,-4.0,1.0,1.906889470350814
1.0,1.0,46.0,100.0,200.0,-5.0,1.0,1.914688821209022
1.0,1.0,46.0,100.0,200.0,-6.0,1.0,1.9228024451548753
1.0,1.0,46.0,100.0,200.0,-7.0,1.0,1.9312483221419876
1.0,1.0,46.0,100.0,200.0,-8.0,1.0,1.9400458664504374
1.0,1.0,50.0,100.0,200.0,0.0,1.0,1.9034591665347085
1.0,1.0,50.0,100.0,200.0,-1.0,1.0,1.9105985709989814
1.0,1.0,50.0,100.0,200.0,-2.0,1.0,1.9180013178292021
1.0,1.0,50.0,100.0,200.0,-3.0,1.0,1.925681414814743
1.0,1.0,50.0,100.0,200.0,-4.0,1.0,1.933653954135867
1.0,1.0,50.0,100.0,200.0,-5.0,1.0,1.9419352257909817
1.0,1.0,50.0,100.0,200.0,-6.0,1.0,1.9505428460072336
1.0,1.0,50.0,100.0,200.0,-7.0,1.0,1.9594959030200123
1.0,1.0,50.0,100.0,200.0,-8.0,1.0,1.9688151230510542
1.0,1.0,54.0,100.0,200.0,0.0,1.0,1.9155966150726913
1.0,1.0,54.0,100.0,200.0,-1.0,1.0,1.924209151310507
1.0,1.0,54.0,100.0,200.0,-2.0,1.0,1.9331775718127162
1.0,1.0,54.0,100.0,200.0,-3.0,1.0,1.9425234009593477
1.0,1.0,54.0,100.0,200.0,-4.0,1.0,1.9522700230742462
1.0,1.0,54.0,100.0,200.0,-5.0,1.0,1.9624428937948941
1.0,1.0,54.0,100.0,200.0,-6.0,1.0,1.9730697811349622
1.0,1.0,54.0,100.0,200.0,-7.0,1.0,1.9841810411990097
1.0,1.0,54.0,100.0,200.0,-8.0,1.0,1.9958099344694944
1.0,1.0,58.0,100.0,200.0,0.0,1.0,1.8115845434007558
1.0,1.0,58.0,100.0,200.0,-1.0,1.0,1.8192738558416746
1.0,1.0,58.0,100.0,200.0,-2.0,1.0,1.8273069193798488
1.0,1.0,58.0,100.0,200.0,-3.0,1.0,1.83570584239416
1.0,1.0,58.0,100.0,200.0,-4.0,1.0,1.8444947498856177
1.0,1.0,58.0,100.0,200.0,-5.0,1.0,1.8537000232791747
1.0,1.0,58.0,100.0,200.0,-6.0,1.0,1.8633505752469794
1.0,1.0,58.0,100.0,200.0,-7.0,1.0,1.8734781656113504
1.0,1.0,58.0,100.0,200.0,-8.0,1.0,1.88411776559952
1.0,1.0,63.0,100.0,200.0,0.0,1.0,1.815135843152562
1.0,1.0,63.0,100.0,200.0,-1.0,1.0,1.823816264554833
1.0,1.0,63.0,100.0,200.0,-2.0,1.0,1.8328744849359864
1.0,1.0,63.0,100.0,200.0,-3.0,1.0,1.8423333037757526
1.0,1.0,63.0,100.0,200.0,-4.0,1.0,1.8522174311668815
1.0,1.0,63.0,100.0,200.0,-5.0,1.0,1.8625536969984626
1.0,1.0,63.0,100.0,200.0,-6.0,1.0,1.8733712886581904
1.0,1.0,63.0,100.0,200.0,-7.0,1.0,1.8847020219377333
1.0,1.0,63.0,100.0,200.0,-8.0,1.0,1.896580650731321
1.0,1.0,68.0,100.0,200.0,0.0,1.0,1.7903419962211664
1.0,1.0,68.0,100.0,200.0,-1.0,1.0,1.7987430041110481
1.0,1.0,68.0,100.0,200.0,-2.0,1.0,1.80757428336146
1.0,1.0,68.0,100.0,200.0,-3.0,1.0,1.8168673231903012
1.0,1.0,68.0,100.0,200.0,-4.0,1.0,1.8266568021593237
1.0,1.0,68.0,100.0,200.0,-5.0,1.0,1.8369810050694484
1.0,1.0,68.0,100.0,200.0,-6.0,1.0,1.8478823072002029
1.0,1.0,68.0,100.0,200.0,-7.0,1.0,1.859407739007959
1.0,1.0,68.0,100.0,200.0,-8.0,1.0,1.8716096474337784
1.0,1.0,73.0,100.0,200.0,0.0,1.0,1.8193791844130083
1.0,1.0,73.0,100.0,200.0,-1.0,1.0,1.8308085507961434
1.0,1.0,73.0,100.0,200.0,-2.0,1.0,1.8429234015624825
1.0,1.0,73.0,100.0,200.0,-3.0,1.0,1.855785154295666
1.0,1.0,73.0,100.0,200.0,-4.0,1.0,1.8694630920390354
1.0,1.0,73.0,100.0,200.0,-5.0,1.0,1.8840356999498145
1.0,1.0,73.0,100.0,200.0,-6.0,1.0,1.8995922887357717
1.0,1.0,73.0,100.0,200.0,-7.0,1.0,1.9162349801065415
1.0,1.0,73.0,100.0,200.0,-8.0,1.0,1.9340811530948656
1.0,1.0,79.0,100.0,200.0,0.0,1.0,1.9181214531352486
1.0,1.0,79.0,100.0,200.0,-1.0,1.0,1.9413500769642313
1.0,1.0,79.0,100.0,200.0,-2.0,1.0,1.9664732285136852
1.0,1.0,79.0,100.0,200.0,-3.0,1.0,1.9937202201867952
1.0,1.0,79.0,100.0,200.0,-4.0,1.0,2.023359179115475
1.0,1.0,79.0,100.0,200.0,-5.0,1.0,2.0557057533814724
1.0,1.0,79.0,100.0,200.0,-6.0,1.0,2.0911343184054734
1.0,1.0,79.0,100.0,200.0,-7.0,1.0,2.1300925797590766
1.0,1.0,79.0,100.0,200.0,-8.0,1.0,2.1731208615950504
1.0,1.0,85.0,100.0,200.0,0.0,1.0,1.91340730252875
1.0,1.0,85.0,100.0,200.0,-1.0,1.0,1.9421290809731362
1.0,1.0,85.0,100.0,200.0,-2.0,1.0,1.9734367177047512
1.0,1.0,85.0,100.0,200.0,-3.0,1.0,2.007671770740246
1.0,1.0,85.0,100.0,200.0,-4.0,1.0,2.045238468356835
1.0,1.0,85.0,100.0,200.0,-5.0,1.0,2.086618863211353
1.0,1.0,85.0,100.0,200.0,-6.0,1.0,2.1323926498643453
1.0,1.0,85.0,100.0,200.0,-7.0,1.0,2.1832634270824043
1.0,1.0,85.0,100.0,200.0,-8.0,1.0,2.240094015037332
1.0,1.0,92.0,100.0,200.0,0.0,1.0,1.9052697124687088
1.0,1.0,92.0,100.0,200.0,-1.0,1.0,1.940393130109935
1.0,1.0,92.0,100.0,200.0,-2.0,1.0,1.9788382138023328
1.0,1.0,92.0,100.0,200.0,-3.0,1.0,2.0210535768729017
1.0,1.0,92.0,100.0,200.0,-4.0,1.0,2.067570290512761
1.0,1.0,92.0,100.0,200.0,-5.0,1.0,2.119021488764755
1.0,1.0,92.0,100.0,200.0,-6.0,1.0,2.1761678063881633
1.0,1.0,92.0,100.0,200.0,-7.0,1.0,2.239930774701981
1.0,1.0,92.0,100.0,200.0,-8.0,1.0,2.311437234930405
1.0,1.0,100.0,100.0,200.0,0.0,1.0,1.7131330974587902
1.0,1.0,100.0,100.0,200.0,-1.0,1.0,1.7411548761971236
1.0,1.0,100.0,100.0,200.0,-2.0,1.0,1.7720332908394827
1.0,1.0,100.0,100.0,200.0,-3.0,1.0,1.806210451346326
1.0,1.0,100.0,100.0,200.0,-4.0,1.0,1.844227815238945
1.0,1.0,100.0,100.0,200.0,-5.0,1.0,1.8867564175590414
1.0,1.0,100.0,100.0,200.0,-6.0,1.0,1.9346389561162192
1.0,1.0,100.0,100.0,200.0,-7.0,1.0,1.9889495337747558
1.0,1.0,100.0,100.0,200.0,-8.0,1.0,2.05108033058969
1.0,1.0,108.0,100.0,200.0,0.0,1.0,1.6732808788323996
1.0,1.0,108.0,100.0,200.0,-1.0,1.0,1.7009137245678536
1.0,1.0,108.0,100.0,200.0,-2.0,1.0,1.7315496736101719
1.0,1.0,108.0,100.0,200.0,-3.0,1.0,1.765674703579297
1.0,1.0,108.0,100.0,200.0,-4.0,1.0,1.803887471003106
1.0,1.0,108.0,100.0,200.0,-5.0,1.0,1.846934765539624
1.0,1.0,108.0,100.0,200.0,-6.0,1.0,1.8957615761240643
1.0,1.0,108.0,100.0,200.0,-7.0,1.0,1.9515834785745392
1.0,1.0,108.0,100.0,200.0,-8.0,1.0,2.015994186242645
1.0,1.0,116.0,100.0,200.0,0.0,1.0,1.8812963073150268
1.0,1.0,116.0,100.0,200.0,-1.0,1.0,1.9280812189490084
1.0,1.0,116.0,100.0,200.0,-2.0,1.0,1.98133023473851
1.0,1.0,116.0,100.0,200.0,-3.0,1.0,2.0425067080430512
1.0,1.0,116.0,100.0,200.0,-4.0,1.0,2.1135857646196885
1.0,1.0,116.0,100.0,200.0,-5.0,1.0,2.1973197260129296
1.0,1.0,116.0,100.0,200.0,-6.0,1.0,2.297703137216677
1.0,1.0,116.0,100.0,200.0,-7.0,1.0,2.4208513809915746
1.0,1.0,116.0,100.0,200.0,-8.0,1.0,2.5768302515160935
1.0,1.0,126.0,100.0,200.0,0.0,1.0,2.106650570935393
1.0,1.0,126.0,100.0,200.0,-1.0,1.0,2.1999571551247326
1.0,1.0,126.0,100.0,200.0,-2.0,1.0,2.313124982862401
1.0,1.0,126.0,100.0,200.0,-3.0,1.0,2.453131358873562
1.0,1.0,126.0,100.0,200.0,-4.0,1.0,2.6307091148364603
1.0,1.0,126.0,100.0,200.0,-5.0,1.0,2.8633340225773405
1.0,1.0,126.0,100.0,200.0,-6.0,1.0,3.1817057165401734
1.0,1.0,126.0,100.0,200.0,-7.0,1.0,3.6458511729175376
1.0,1.0,126.0,100.0,200.0,-8.0,1.0,4.394039795516253
1.0,1.0,136.0,100.0,200.0,0.0,1.0,2.2692407010370754
1.0,1.0,136.0,100.0,200.0,-1.0,1.0,2.382088232533027
1.0,1.0,136.0,100.0,200.0,-2.0,1.0,2.5227214511913165
1.0,1.0,136.0,100.0,200.0,-3.0,1.0,2.7031790580962434
1.0,1.0,136.0,100.0,200.0,-4.0,1.0,2.9436083995423012
1.0,1.0,136.0,100.0,200.0,-5.0,1.0,3.280309922581057
1.0,1.0,136.0,100.0,200.0,-6.0,1.0,3.785576335389236
1.0,1.0,136.0,100.0,200.0,-7.0,1.0,4.629108589670077
1.0,1.0,136.0,100.0,200.0,-8.0,1.0,6.400175754503109
1.0,1.0,147.0,100.0,200.0,0.0,1.0,3.0215302772446218
