λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.1547667256623775
1.0,1.0,21.0,200.0,1.0,0.15469756326855935
1.0,1.0,23.0,200.0,1.0,0.17762307277698955
1.0,1.0,25.0,200.0,1.0,0.18164293922804878
1.0,1.0,27.0,200.0,1.0,0.18247844176100905
1.0,1.0,29.0,200.0,1.0,0.21884377420588916
1.0,1.0,31.0,200.0,1.0,0.21998872355876173
1.0,1.0,34.0,200.0,1.0,0.23841118628412114
1.0,1.0,36.0,200.0,1.0,0.2581617154956664
1.0,1.0,39.0,200.0,1.0,0.2700120281463519
1.0,1.0,43.0,200.0,1.0,0.30659541441072946
1.0,1.0,46.0,200.0,1.0,0.3590658045668527
1.0,1.0,50.0,200.0,1.0,0.36185052258186023
1.0,1.0,54.0,200.0,1.0,0.36754702518817073
1.0,1.0,58.0,200.0,1.0,0.3770125385371318
1.0,1.0,63.0,200.0,1.0,0.3983090112990719
1.0,1.0,68.0,200.0,1.0,0.4287155729918919
1.0,1.0,73.0,200.0,1.0,0.445455552489981
1.0,1.0,79.0,200.0,1.0,0.5625481073147149
1.0,1.0,85.0,200.0,1.0,0.6252675876881846
1.0,1.0,92.0,200.0,1.0,0.7250866658656508
1.0,1.0,100.0,200.0,1.0,1.005150190774186
1.0,1.0,108.0,200.0,1.0,1.0954262798056191
1.0,1.0,116.0,200.0,1.0,1.2180653378923876
1.0,1.0,126.0,200.0,1.0,1.5610274034150906
1.0,1.0,136.0,200.0,1.0,1.93514202644479
1.0,1.0,147.0,200.0,1.0,2.377891170664403
1.0,1.0,158.0,200.0,1.0,2.3872733608974186
1.0,1.0,171.0,200.0,1.0,5.049010469639442
1.0,1.0,185.0,200.0,1.0,11.363642559648678
1.0,1.0,200.0,200.0,1.0,511.9142727778701
1.0,1.0,216.0,200.0,1.0,13.151883508010611
1.0,1.0,234.0,200.0,1.0,7.175902684411709
1.0,1.0,254.0,200.0,1.0,4.125986911132178
1.0,1.0,275.0,200.0,1.0,2.92363874913409
1.0,1.0,297.0,200.0,1.0,2.5224063292390233
1.0,1.0,322.0,200.0,1.0,1.9995556039705094
1.0,1.0,348.0,200.0,1.0,1.7072099926120863
1.0,1.0,377.0,200.0,1.0,1.588556004620231
1.0,1.0,408.0,200.0,1.0,1.5688691493623164
1.0,1.0,442.0,200.0,1.0,1.3002272874097272
1.0,1.0,479.0,200.0,1.0,1.3188352505382277
1.0,1.0,518.0,200.0,1.0,1.2474753697899874
1.0,1.0,561.0,200.0,1.0,1.2281956770803757
1.0,1.0,608.0,200.0,1.0,1.1507081310796539
1.0,1.0,658.0,200.0,1.0,1.1147598151500067
1.0,1.0,712.0,200.0,1.0,1.1100990442912455
1.0,1.0,771.0,200.0,1.0,1.0662060502372939
1.0,1.0,835.0,200.0,1.0,1.0687121539072484
1.0,1.0,904.0,200.0,1.0,1.0529298692034055
1.0,1.0,979.0,200.0,1.0,1.0688561438424387
1.0,1.0,1059.0,200.0,1.0,1.0363888023413852
1.0,1.0,1147.0,200.0,1.0,1.0292508907412066
1.0,1.0,1242.0,200.0,1.0,1.0240631509748743
1.0,1.0,1344.0,200.0,1.0,1.0249296488193185
1.0,1.0,1455.0,200.0,1.0,1.0189551944403767
1.0,1.0,1576.0,200.0,1.0,1.0530356653188473
1.0,1.0,1706.0,200.0,1.0,1.0609066909227496
1.0,1.0,1847.0,200.0,1.0,1.0157697461229687
1.0,1.0,2000.0,200.0,1.0,1.0861894801655922
1.0,1.0,20.0,200.0,2.333333333333333,0.15476672566237706
1.0,1.0,21.0,200.0,2.333333333333333,0.15469756326855955
1.0,1.0,23.0,200.0,2.333333333333333,0.1776230727769894
1.0,1.0,25.0,200.0,2.333333333333333,0.1816429392280483
1.0,1.0,27.0,200.0,2.333333333333333,0.18247844176100897
1.0,1.0,29.0,200.0,2.333333333333333,0.21884377420589027
1.0,1.0,31.0,200.0,2.333333333333333,0.2199887235587616
1.0,1.0,34.0,200.0,2.333333333333333,0.23841118628412106
1.0,1.0,36.0,200.0,2.333333333333333,0.2581617154956671
1.0,1.0,39.0,200.0,2.333333333333333,0.27001202814635195
1.0,1.0,43.0,200.0,2.333333333333333,0.30659541441072924
1.0,1.0,46.0,200.0,2.333333333333333,0.35906580456685294
1.0,1.0,50.0,200.0,2.333333333333333,0.36185052258185985
1.0,1.0,54.0,200.0,2.333333333333333,0.3675470251881693
1.0,1.0,58.0,200.0,2.333333333333333,0.3770125385371336
1.0,1.0,63.0,200.0,2.333333333333333,0.39830901129907303
1.0,1.0,68.0,200.0,2.333333333333333,0.42871557299189134
1.0,1.0,73.0,200.0,2.333333333333333,0.44545555248998114
1.0,1.0,79.0,200.0,2.333333333333333,0.5625481073147156
1.0,1.0,85.0,200.0,2.333333333333333,0.6252675876881826
1.0,1.0,92.0,200.0,2.333333333333333,0.7250866658656511
1.0,1.0,100.0,200.0,2.333333333333333,1.005150190774185
1.0,1.0,108.0,200.0,2.333333333333333,1.0954262798056167
1.0,1.0,116.0,200.0,2.333333333333333,1.2180653378923885
1.0,1.0,126.0,200.0,2.333333333333333,1.5610274034150902
1.0,1.0,136.0,200.0,2.333333333333333,1.9351420264447872
1.0,1.0,147.0,200.0,2.333333333333333,2.377891170664403
1.0,1.0,158.0,200.0,2.333333333333333,2.387273360897429
1.0,1.0,171.0,200.0,2.333333333333333,5.049010469639457
1.0,1.0,185.0,200.0,2.333333333333333,11.36364255964869
1.0,1.0,200.0,200.0,2.333333333333333,511.91427277779104
1.0,1.0,216.0,200.0,2.333333333333333,13.216561246139714
1.0,1.0,234.0,200.0,2.333333333333333,7.265940707806533
1.0,1.0,254.0,200.0,2.333333333333333,4.4671776023825895
1.0,1.0,275.0,200.0,2.333333333333333,3.359833989963236
1.0,1.0,297.0,200.0,2.333333333333333,3.0888409233790464
1.0,1.0,322.0,200.0,2.333333333333333,2.7380396622445167
1.0,1.0,348.0,200.0,2.333333333333333,2.3133053678981503
1.0,1.0,377.0,200.0,2.333333333333333,2.242590081261983
1.0,1.0,408.0,200.0,2.333333333333333,2.1985646695125847
1.0,1.0,442.0,200.0,2.333333333333333,2.064225968533578
1.0,1.0,479.0,200.0,2.333333333333333,2.167765328424669
1.0,1.0,518.0,200.0,2.333333333333333,2.0018216014059553
1.0,1.0,561.0,200.0,2.333333333333333,1.9641349102411891
1.0,1.0,608.0,200.0,2.333333333333333,2.0087459787862634
1.0,1.0,658.0,200.0,2.333333333333333,2.03149153609916
1.0,1.0,712.0,200.0,2.333333333333333,2.1383943167148036
