λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,1.8817769470357466
1.0,1.0,20.0,100.0,200.0,-1.0,1.0,32.965808675670345
1.0,1.0,20.0,100.0,200.0,-2.0,1.0,3.2040481873383237
1.0,1.0,20.0,100.0,200.0,-3.0,1.0,2.297297093258286
1.0,1.0,20.0,100.0,200.0,-4.0,1.0,2.1403806936827388
1.0,1.0,20.0,100.0,200.0,-5.0,1.0,2.0774930260908344
1.0,1.0,20.0,100.0,200.0,-6.0,1.0,2.043989448381094
1.0,1.0,20.0,100.0,200.0,-7.0,1.0,2.0232770483720435
1.0,1.0,20.0,100.0,200.0,-8.0,1.0,2.0092390454435174
1.0,1.0,21.0,100.0,200.0,0.0,1.0,1.8927919755850067
1.0,1.0,21.0,100.0,200.0,-1.0,1.0,38.07285371366526
1.0,1.0,21.0,100.0,200.0,-2.0,1.0,3.216131913222635
1.0,1.0,21.0,100.0,200.0,-3.0,1.0,2.310971198917396
1.0,1.0,21.0,100.0,200.0,-4.0,1.0,2.15035212400567
1.0,1.0,21.0,100.0,200.0,-5.0,1.0,2.0851817439350246
1.0,1.0,21.0,100.0,200.0,-6.0,1.0,2.0502113376208047
1.0,1.0,21.0,100.0,200.0,-7.0,1.0,2.0284905712062473
1.0,1.0,21.0,100.0,200.0,-8.0,1.0,2.013720660681853
1.0,1.0,23.0,100.0,200.0,0.0,1.0,1.8991628538327356
1.0,1.0,23.0,100.0,200.0,-1.0,1.0,43.910829903719076
1.0,1.0,23.0,100.0,200.0,-2.0,1.0,3.2159327991671365
1.0,1.0,23.0,100.0,200.0,-3.0,1.0,2.3029200464545254
1.0,1.0,23.0,100.0,200.0,-4.0,1.0,2.1451728747647256
1.0,1.0,23.0,100.0,200.0,-5.0,1.0,2.081365990091551
1.0,1.0,23.0,100.0,200.0,-6.0,1.0,2.0471895393049775
1.0,1.0,23.0,100.0,200.0,-7.0,1.0,2.0259888938003963
1.0,1.0,23.0,100.0,200.0,-8.0,1.0,2.011586270520196
1.0,1.0,25.0,100.0,200.0,0.0,1.0,1.8875677884291104
1.0,1.0,25.0,100.0,200.0,-1.0,1.0,277.76777012846946
1.0,1.0,25.0,100.0,200.0,-2.0,1.0,3.8562584491559364
1.0,1.0,25.0,100.0,200.0,-3.0,1.0,2.374599387232346
1.0,1.0,25.0,100.0,200.0,-4.0,1.0,2.1781542099719915
1.0,1.0,25.0,100.0,200.0,-5.0,1.0,2.10224712885518
1.0,1.0,25.0,100.0,200.0,-6.0,1.0,2.0623524922404552
1.0,1.0,25.0,100.0,200.0,-7.0,1.0,2.037857879546283
1.0,1.0,25.0,100.0,200.0,-8.0,1.0,2.0213240407177073
1.0,1.0,27.0,100.0,200.0,0.0,1.0,1.8973193138358977
1.0,1.0,27.0,100.0,200.0,-1.0,1.0,87.39482260819143
1.0,1.0,27.0,100.0,200.0,-2.0,1.0,4.061303772770743
1.0,1.0,27.0,100.0,200.0,-3.0,1.0,2.4266869048521964
1.0,1.0,27.0,100.0,200.0,-4.0,1.0,2.2066577097710782
1.0,1.0,27.0,100.0,200.0,-5.0,1.0,2.1215026333094604
1.0,1.0,27.0,100.0,200.0,-6.0,1.0,2.076777368427796
1.0,1.0,27.0,100.0,200.0,-7.0,1.0,2.049345976822822
1.0,1.0,27.0,100.0,200.0,-8.0,1.0,2.030849283129385
1.0,1.0,29.0,100.0,200.0,0.0,1.0,1.8723732373068953
1.0,1.0,29.0,100.0,200.0,-1.0,1.0,95.00442969156796
1.0,1.0,29.0,100.0,200.0,-2.0,1.0,6.870762295023294
1.0,1.0,29.0,100.0,200.0,-3.0,1.0,2.551010635273519
