λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.1353352832366127,1.0,2.0221929139976322
1.0,1.0,20.0,100.0,200.0,0.22313016014842982,1.0,1.9898186163206462
1.0,1.0,20.0,100.0,200.0,0.36787944117144233,1.0,1.9556693643176426
1.0,1.0,20.0,100.0,200.0,0.6065306597126334,1.0,1.9264965213116167
1.0,1.0,20.0,100.0,200.0,1.0,1.0,1.9085106719483298
1.0,1.0,20.0,100.0,200.0,1.6487212707001282,1.0,1.9037478004167439
1.0,1.0,20.0,100.0,200.0,2.718281828459045,1.0,1.9093429443900918
1.0,1.0,20.0,100.0,200.0,4.4816890703380645,1.0,1.9200725429481593
1.0,1.0,20.0,100.0,200.0,7.38905609893065,1.0,1.9314224296167446
1.0,1.0,20.0,100.0,200.0,0.0,1.0,2.104686913350149
1.0,1.0,21.0,100.0,200.0,0.1353352832366127,1.0,2.018239556424274
1.0,1.0,21.0,100.0,200.0,0.22313016014842982,1.0,1.9855876351603297
1.0,1.0,21.0,100.0,200.0,0.36787944117144233,1.0,1.9513315888567078
1.0,1.0,21.0,100.0,200.0,0.6065306597126334,1.0,1.922281848382226
1.0,1.0,21.0,100.0,200.0,1.0,1.0,1.904624874449234
1.0,1.0,21.0,100.0,200.0,1.6487212707001282,1.0,1.9003451684752348
1.0,1.0,21.0,100.0,200.0,2.718281828459045,1.0,1.9065353159794083
1.0,1.0,21.0,100.0,200.0,4.4816890703380645,1.0,1.9179073933043467
1.0,1.0,21.0,100.0,200.0,7.38905609893065,1.0,1.929859396246315
1.0,1.0,21.0,100.0,200.0,0.0,1.0,2.102093512394816
1.0,1.0,23.0,100.0,200.0,0.1353352832366127,1.0,1.9944046632584613
1.0,1.0,23.0,100.0,200.0,0.22313016014842982,1.0,1.9622431703130816
1.0,1.0,23.0,100.0,200.0,0.36787944117144233,1.0,1.929380489606613
1.0,1.0,23.0,100.0,200.0,0.6065306597126334,1.0,1.90288322507265
1.0,1.0,23.0,100.0,200.0,1.0,1.0,1.8887453303525457
1.0,1.0,23.0,100.0,200.0,1.6487212707001282,1.0,1.88832606777572
1.0,1.0,23.0,100.0,200.0,2.718281828459045,1.0,1.8980398351495096
1.0,1.0,23.0,100.0,200.0,4.4816890703380645,1.0,1.912210089504759
1.0,1.0,23.0,100.0,200.0,7.38905609893065,1.0,1.9261765002952522
