λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,2.1046869133501507
1.0,1.0,20.0,100.0,200.0,-1.0,1.0,36.121834893360585
1.0,1.0,20.0,100.0,200.0,-2.0,1.0,3.1094907053245158
1.0,1.0,20.0,100.0,200.0,-3.0,1.0,2.2434965683733457
1.0,1.0,20.0,100.0,200.0,-4.0,1.0,2.1138775296852317
1.0,1.0,20.0,100.0,200.0,-5.0,1.0,2.064366881546308
1.0,1.0,20.0,100.0,200.0,-6.0,1.0,2.0386803892803016
1.0,1.0,20.0,100.0,200.0,-7.0,1.0,2.0230765672452433
1.0,1.0,20.0,100.0,200.0,-8.0,1.0,2.0126341413142836
1.0,1.0,21.0,100.0,200.0,0.0,1.0,2.102093512394817
1.0,1.0,21.0,100.0,200.0,-1.0,1.0,5.651940582353412
1.0,1.0,21.0,100.0,200.0,-2.0,1.0,3.239515440221814
1.0,1.0,21.0,100.0,200.0,-3.0,1.0,2.264308876639825
1.0,1.0,21.0,100.0,200.0,-4.0,1.0,2.1237976532826184
1.0,1.0,21.0,100.0,200.0,-5.0,1.0,2.070695568181422
1.0,1.0,21.0,100.0,200.0,-6.0,1.0,2.0432841010727025
1.0,1.0,21.0,100.0,200.0,-7.0,1.0,2.0266805189470865
1.0,1.0,21.0,100.0,200.0,-8.0,1.0,2.0155896881978683
1.0,1.0,23.0,100.0,200.0,0.0,1.0,2.0791329232126676
1.0,1.0,23.0,100.0,200.0,-1.0,1.0,537.7892182716766
1.0,1.0,23.0,100.0,200.0,-2.0,1.0,3.273595427939174
1.0,1.0,23.0,100.0,200.0,-3.0,1.0,2.277410408878397
1.0,1.0,23.0,100.0,200.0,-4.0,1.0,2.1329438785608543
1.0,1.0,23.0,100.0,200.0,-5.0,1.0,2.0777303838914314
1.0,1.0,23.0,100.0,200.0,-6.0,1.0,2.0489962305713885
1.0,1.0,23.0,100.0,200.0,-7.0,1.0,2.031486852508376
1.0,1.0,23.0,100.0,200.0,-8.0,1.0,2.01973730566731
1.0,1.0,25.0,100.0,200.0,0.0,1.0,2.088989952399046
1.0,1.0,25.0,100.0,200.0,-1.0,1.0,31.464095460458168
1.0,1.0,25.0,100.0,200.0,-2.0,1.0,3.4580823139878856
1.0,1.0,25.0,100.0,200.0,-3.0,1.0,2.2718205368724385
1.0,1.0,25.0,100.0,200.0,-4.0,1.0,2.1268372945252065
1.0,1.0,25.0,100.0,200.0,-5.0,1.0,2.0728982057073315
1.0,1.0,25.0,100.0,200.0,-6.0,1.0,2.0451101834782355
1.0,1.0,25.0,100.0,200.0,-7.0,1.0,2.028263810357337
1.0,1.0,25.0,100.0,200.0,-8.0,1.0,2.016993404048035
1.0,1.0,27.0,100.0,200.0,0.0,1.0,2.0483450615119603
1.0,1.0,27.0,100.0,200.0,-1.0,1.0,11.341451239545561
1.0,1.0,27.0,100.0,200.0,-2.0,1.0,3.640258813966212
1.0,1.0,27.0,100.0,200.0,-3.0,1.0,2.2965475066244934
1.0,1.0,27.0,100.0,200.0,-4.0,1.0,2.1408548931755087
1.0,1.0,27.0,100.0,200.0,-5.0,1.0,2.0828706728637174
1.0,1.0,27.0,100.0,200.0,-6.0,1.0,2.052889639500006
1.0,1.0,27.0,100.0,200.0,-7.0,1.0,2.0346528769118795
1.0,1.0,27.0,100.0,200.0,-8.0,1.0,2.022418214926166
1.0,1.0,29.0,100.0,200.0,0.0,1.0,2.069473902800957
1.0,1.0,29.0,100.0,200.0,-1.0,1.0,39.657562040324116
1.0,1.0,29.0,100.0,200.0,-2.0,1.0,4.204880228310377
1.0,1.0,29.0,100.0,200.0,-3.0,1.0,2.349581604605991
1.0,1.0,29.0,100.0,200.0,-4.0,1.0,2.1659840002718957
1.0,1.0,29.0,100.0,200.0,-5.0,1.0,2.099052981462494
1.0,1.0,29.0,100.0,200.0,-6.0,1.0,2.0647529990449867
1.0,1.0,29.0,100.0,200.0,-7.0,1.0,2.0439927181290325
1.0,1.0,29.0,100.0,200.0,-8.0,1.0,2.030109591058323
1.0,1.0,31.0,100.0,200.0,0.0,1.0,2.0450287813098855
1.0,1.0,31.0,100.0,200.0,-1.0,1.0,1408.9112897371194
1.0,1.0,31.0,100.0,200.0,-2.0,1.0,5.9872782999554115
1.0,1.0,31.0,100.0,200.0,-3.0,1.0,2.4511927343794797
1.0,1.0,31.0,100.0,200.0,-4.0,1.0,2.2101538282060145
1.0,1.0,31.0,100.0,200.0,-5.0,1.0,2.12661495035092
1.0,1.0,31.0,100.0,200.0,-6.0,1.0,2.084661015425805
1.0,1.0,31.0,100.0,200.0,-7.0,1.0,2.0595395997509414
1.0,1.0,31.0,100.0,200.0,-8.0,1.0,2.0428504567904278
1.0,1.0,34.0,100.0,200.0,0.0,1.0,2.0822045437390893
1.0,1.0,34.0,100.0,200.0,-1.0,1.0,1448.4727353985259
1.0,1.0,34.0,100.0,200.0,-2.0,1.0,23.463152895239002
1.0,1.0,34.0,100.0,200.0,-3.0,1.0,2.7711165644440583
1.0,1.0,34.0,100.0,200.0,-4.0,1.0,2.3362931775714393
1.0,1.0,34.0,100.0,200.0,-5.0,1.0,2.2016561153747682
1.0,1.0,34.0,100.0,200.0,-6.0,1.0,2.137271466880564
1.0,1.0,34.0,100.0,200.0,-7.0,1.0,2.099785596293252
1.0,1.0,34.0,100.0,200.0,-8.0,1.0,2.0753347581133776
1.0,1.0,36.0,100.0,200.0,0.0,1.0,2.017716640400661
1.0,1.0,36.0,100.0,200.0,-1.0,1.0,59.55055895823005
1.0,1.0,36.0,100.0,200.0,-2.0,1.0,22.724380241536274
1.0,1.0,36.0,100.0,200.0,-3.0,1.0,2.8491433584190764
1.0,1.0,36.0,100.0,200.0,-4.0,1.0,2.373660774503117
1.0,1.0,36.0,100.0,200.0,-5.0,1.0,2.2257910654012654
1.0,1.0,36.0,100.0,200.0,-6.0,1.0,2.154997996896433
1.0,1.0,36.0,100.0,200.0,-7.0,1.0,2.1137623626672872
1.0,1.0,36.0,100.0,200.0,-8.0,1.0,2.086859356195164
1.0,1.0,39.0,100.0,200.0,0.0,1.0,2.0991196339093907
1.0,1.0,39.0,100.0,200.0,-1.0,1.0,50.423535077314774
1.0,1.0,39.0,100.0,200.0,-2.0,1.0,43.9995321309063
1.0,1.0,39.0,100.0,200.0,-3.0,1.0,3.0306601771919244
1.0,1.0,39.0,100.0,200.0,-4.0,1.0,2.449567348710391
1.0,1.0,39.0,100.0,200.0,-5.0,1.0,2.2735602804062753
1.0,1.0,39.0,100.0,200.0,-6.0,1.0,2.189867852444541
1.0,1.0,39.0,100.0,200.0,-7.0,1.0,2.1412279173296778
1.0,1.0,39.0,100.0,200.0,-8.0,1.0,2.109517854685801
1.0,1.0,43.0,100.0,200.0,0.0,1.0,2.0417967742908756
1.0,1.0,43.0,100.0,200.0,-1.0,1.0,39.107709572024675
1.0,1.0,43.0,100.0,200.0,-2.0,1.0,303.0911830492437
1.0,1.0,43.0,100.0,200.0,-3.0,1.0,3.2257382538697725
1.0,1.0,43.0,100.0,200.0,-4.0,1.0,2.522445232310098
1.0,1.0,43.0,100.0,200.0,-5.0,1.0,2.3178928460336845
1.0,1.0,43.0,100.0,200.0,-6.0,1.0,2.2217199963362253
1.0,1.0,43.0,100.0,200.0,-7.0,1.0,2.1660902686839667
1.0,1.0,43.0,100.0,200.0,-8.0,1.0,2.1299099901528833
1.0,1.0,46.0,100.0,200.0,0.0,1.0,2.03969151042546
1.0,1.0,46.0,100.0,200.0,-1.0,1.0,39.110286298619044
1.0,1.0,46.0,100.0,200.0,-2.0,1.0,511491.9457640623
1.0,1.0,46.0,100.0,200.0,-3.0,1.0,3.3274025094572424
1.0,1.0,46.0,100.0,200.0,-4.0,1.0,2.5484625788543367
1.0,1.0,46.0,100.0,200.0,-5.0,1.0,2.330907985998176
1.0,1.0,46.0,100.0,200.0,-6.0,1.0,2.2300607380826563
1.0,1.0,46.0,100.0,200.0,-7.0,1.0,2.1721412200724988
1.0,1.0,46.0,100.0,200.0,-8.0,1.0,2.134630360306736
1.0,1.0,50.0,100.0,200.0,0.0,1.0,2.276397698821466
1.0,1.0,50.0,100.0,200.0,-1.0,1.0,72.3022851668536
1.0,1.0,50.0,100.0,200.0,-2.0,1.0,378.22873996915797
1.0,1.0,50.0,100.0,200.0,-3.0,1.0,3.464099111081414
1.0,1.0,50.0,100.0,200.0,-4.0,1.0,2.593639460779318
1.0,1.0,50.0,100.0,200.0,-5.0,1.0,2.357645641045304
1.0,1.0,50.0,100.0,200.0,-6.0,1.0,2.2490547846156974
1.0,1.0,50.0,100.0,200.0,-7.0,1.0,2.186875555646595
1.0,1.0,50.0,100.0,200.0,-8.0,1.0,2.146667729453695
1.0,1.0,54.0,100.0,200.0,0.0,1.0,2.2979656281970477
1.0,1.0,54.0,100.0,200.0,-1.0,1.0,50.46501074563132
1.0,1.0,54.0,100.0,200.0,-2.0,1.0,284.9652531902097
1.0,1.0,54.0,100.0,200.0,-3.0,1.0,3.6177747227933486
1.0,1.0,54.0,100.0,200.0,-4.0,1.0,2.6463923332894432
1.0,1.0,54.0,100.0,200.0,-5.0,1.0,2.3879277098953087
1.0,1.0,54.0,100.0,200.0,-6.0,1.0,2.270113937521198
1.0,1.0,54.0,100.0,200.0,-7.0,1.0,2.2029920256450395
1.0,1.0,54.0,100.0,200.0,-8.0,1.0,2.1597173463032413
1.0,1.0,58.0,100.0,200.0,0.0,1.0,2.222230717282388
1.0,1.0,58.0,100.0,200.0,-1.0,1.0,48.45466657745516
1.0,1.0,58.0,100.0,200.0,-2.0,1.0,2474.4049459549187
1.0,1.0,58.0,100.0,200.0,-3.0,1.0,3.7356546936172004
1.0,1.0,58.0,100.0,200.0,-4.0,1.0,2.6910264869298626
1.0,1.0,58.0,100.0,200.0,-5.0,1.0,2.4158781391671886
1.0,1.0,58.0,100.0,200.0,-6.0,1.0,2.290587924064148
1.0,1.0,58.0,100.0,200.0,-7.0,1.0,2.219181818703593
1.0,1.0,58.0,100.0,200.0,-8.0,1.0,2.173118324803204
1.0,1.0,63.0,100.0,200.0,0.0,1.0,2.278842853790425
1.0,1.0,63.0,100.0,200.0,-1.0,1.0,163.3412311921727
1.0,1.0,63.0,100.0,200.0,-2.0,1.0,94.75993450621294
1.0,1.0,63.0,100.0,200.0,-3.0,1.0,3.9518962195982343
1.0,1.0,63.0,100.0,200.0,-4.0,1.0,2.756760458341902
1.0,1.0,63.0,100.0,200.0,-5.0,1.0,2.4547850572542367
1.0,1.0,63.0,100.0,200.0,-6.0,1.0,2.3185166937856705
1.0,1.0,63.0,100.0,200.0,-7.0,1.0,2.24107624323306
1.0,1.0,63.0,100.0,200.0,-8.0,1.0,2.191167860537852
1.0,1.0,68.0,100.0,200.0,0.0,1.0,2.159338295228179
1.0,1.0,68.0,100.0,200.0,-1.0,1.0,118.64942661484633
1.0,1.0,68.0,100.0,200.0,-2.0,1.0,159.00391671989507
1.0,1.0,68.0,100.0,200.0,-3.0,1.0,4.282784421526516
1.0,1.0,68.0,100.0,200.0,-4.0,1.0,2.854602204165607
1.0,1.0,68.0,100.0,200.0,-5.0,1.0,2.51570941187271
1.0,1.0,68.0,100.0,200.0,-6.0,1.0,2.363117873815288
1.0,1.0,68.0,100.0,200.0,-7.0,1.0,2.276301190154844
1.0,1.0,68.0,100.0,200.0,-8.0,1.0,2.2202804200789097
1.0,1.0,73.0,100.0,200.0,0.0,1.0,2.270987406493991
1.0,1.0,73.0,100.0,200.0,-1.0,1.0,105.58107601726577
1.0,1.0,73.0,100.0,200.0,-2.0,1.0,36.83538150924729
1.0,1.0,73.0,100.0,200.0,-3.0,1.0,4.464845422055301
1.0,1.0,73.0,100.0,200.0,-4.0,1.0,2.899601885730643
1.0,1.0,73.0,100.0,200.0,-5.0,1.0,2.5423113445454635
1.0,1.0,73.0,100.0,200.0,-6.0,1.0,2.3823354997077373
