ρ,p,n,snr,MSE
0.3,608.0,200.0,3.6666666666666665,5.826672387819596
0.3,658.0,200.0,3.6666666666666665,5.818944339895164
0.3,712.0,200.0,3.6666666666666665,5.575113804766739
0.3,771.0,200.0,3.6666666666666665,5.66119252578673
0.3,835.0,200.0,3.6666666666666665,5.81172936661777
0.3,904.0,200.0,3.6666666666666665,5.704637703358015
0.3,979.0,200.0,3.6666666666666665,5.532480286432538
0.3,1059.0,200.0,3.6666666666666665,5.764344725825831
0.3,1147.0,200.0,3.6666666666666665,6.182266793656066
0.3,1242.0,200.0,3.6666666666666665,6.354392543113644
0.3,1344.0,200.0,3.6666666666666665,6.551838103575593
0.3,1455.0,200.0,3.6666666666666665,6.874041956214535
0.3,1576.0,200.0,3.6666666666666665,6.669611493774393
0.3,1706.0,200.0,3.6666666666666665,6.739765746186509
0.3,1847.0,200.0,3.6666666666666665,6.569019366186428
0.3,2000.0,200.0,3.6666666666666665,6.499219876534429
0.3,20.0,200.0,5.0,0.18941716309367967
0.3,21.0,200.0,5.0,0.23314887969099135
0.3,23.0,200.0,5.0,0.27065759041153603
0.3,25.0,200.0,5.0,0.2725006856471504
0.3,27.0,200.0,5.0,0.28207512148962244
0.3,29.0,200.0,5.0,0.3128192743439715
0.3,31.0,200.0,5.0,0.32994996899755136
0.3,34.0,200.0,5.0,0.33565352516524016
0.3,36.0,200.0,5.0,0.3367950486443322
0.3,39.0,200.0,5.0,0.37259815698152987
0.3,43.0,200.0,5.0,0.39483277959912966
0.3,46.0,200.0,5.0,0.44025377190647413
0.3,50.0,200.0,5.0,0.4660229763583095
0.3,54.0,200.0,5.0,0.5111515669470358
0.3,58.0,200.0,5.0,0.5842480748822936
0.3,63.0,200.0,5.0,0.6223198414234787
0.3,68.0,200.0,5.0,0.8245791059354435
0.3,73.0,200.0,5.0,0.8144741690012687
0.3,79.0,200.0,5.0,0.8696071251081113
0.3,85.0,200.0,5.0,1.0913398350685128
0.3,92.0,200.0,5.0,1.2363830752353995
0.3,100.0,200.0,5.0,1.2748837527421317
0.3,108.0,200.0,5.0,1.4351442058197112
0.3,116.0,200.0,5.0,1.6070743047387432
0.3,126.0,200.0,5.0,1.9048729995794063
0.3,136.0,200.0,5.0,2.4725208583810625
0.3,147.0,200.0,5.0,3.4692737524026502
0.3,158.0,200.0,5.0,3.625575046982232
0.3,171.0,200.0,5.0,5.859844050725682
0.3,185.0,200.0,5.0,13.023356953478315
0.3,200.0,200.0,5.0,23.918564043025377
0.3,216.0,200.0,5.0,7.8597791469883
0.3,234.0,200.0,5.0,6.366421147456307
0.3,254.0,200.0,5.0,6.145589810266031
0.3,275.0,200.0,5.0,6.080017019118191
0.3,297.0,200.0,5.0,6.033811914950341
0.3,322.0,200.0,5.0,6.440781519240684
0.3,348.0,200.0,5.0,6.061622218668438
0.3,377.0,200.0,5.0,6.588197677942915
0.3,408.0,200.0,5.0,6.8360490615075715
0.3,442.0,200.0,5.0,6.809504737718333
0.3,479.0,200.0,5.0,7.011121475367637
0.3,518.0,200.0,5.0,7.070419145464248
0.3,561.0,200.0,5.0,7.356769848448172
0.3,608.0,200.0,5.0,7.567461423971297
0.3,658.0,200.0,5.0,7.581577467705867
0.3,712.0,200.0,5.0,7.2759419206447316
0.3,771.0,200.0,5.0,7.4237470549111775
0.3,835.0,200.0,5.0,7.627878046329989
0.3,904.0,200.0,5.0,7.517567259884949
0.3,979.0,200.0,5.0,7.309782119365245
0.3,1059.0,200.0,5.0,7.63184149952018
0.3,1147.0,200.0,5.0,8.200776296395674
0.3,1242.0,200.0,5.0,8.462024572498391
0.3,1344.0,200.0,5.0,8.739766736598467
0.3,1455.0,200.0,5.0,9.18414403023528
0.3,1576.0,200.0,5.0,8.905098216559521
0.3,1706.0,200.0,5.0,9.013714347184738
0.3,1847.0,200.0,5.0,8.771930204127706
0.3,2000.0,200.0,5.0,8.668083178139605
0.5,20.0,200.0,1.0,0.18892833073817158
0.5,21.0,200.0,1.0,0.21004639032788391
0.5,23.0,200.0,1.0,0.21088110220714712
0.5,25.0,200.0,1.0,0.21019560060869502
0.5,27.0,200.0,1.0,0.21620533686617655
0.5,29.0,200.0,1.0,0.2200091909667811
0.5,31.0,200.0,1.0,0.22854079390850865
0.5,34.0,200.0,1.0,0.2581809507014209
0.5,36.0,200.0,1.0,0.2591383207852499
0.5,39.0,200.0,1.0,0.351922454126432
0.5,43.0,200.0,1.0,0.3775730718595991
0.5,46.0,200.0,1.0,0.4249294806003505
0.5,50.0,200.0,1.0,0.4548567379465953
0.5,54.0,200.0,1.0,0.46824539682985844
0.5,58.0,200.0,1.0,0.6308937022009355
0.5,63.0,200.0,1.0,0.7333339115771221
0.5,68.0,200.0,1.0,0.7883301799713337
0.5,73.0,200.0,1.0,0.8161452678389234
0.5,79.0,200.0,1.0,0.9650613715219786
0.5,85.0,200.0,1.0,1.1289730583175168
0.5,92.0,200.0,1.0,1.2772094768218798
0.5,100.0,200.0,1.0,1.3862476345195611
0.5,108.0,200.0,1.0,1.688396182787159
0.5,116.0,200.0,1.0,2.0774461079143838
0.5,126.0,200.0,1.0,2.564030661576247
0.5,136.0,200.0,1.0,2.7976148828467395
0.5,147.0,200.0,1.0,2.9736330854233666
0.5,158.0,200.0,1.0,3.9376201777291833
0.5,171.0,200.0,1.0,7.700957827887821
0.5,185.0,200.0,1.0,13.47084616927341
0.5,200.0,200.0,1.0,280.8011844119073
0.5,216.0,200.0,1.0,13.471335751401075
0.5,234.0,200.0,1.0,10.451783955610873
0.5,254.0,200.0,1.0,5.803295952429882
0.5,275.0,200.0,1.0,4.61335435792222
0.5,297.0,200.0,1.0,3.2552683831589153
0.5,322.0,200.0,1.0,2.878077095787249
0.5,348.0,200.0,1.0,2.7356285797393864
0.5,377.0,200.0,1.0,2.5635872381212925
0.5,408.0,200.0,1.0,2.4630442169102906
0.5,442.0,200.0,1.0,2.34736218795918
0.5,479.0,200.0,1.0,2.255675049449106
0.5,518.0,200.0,1.0,2.1890697306569766
0.5,561.0,200.0,1.0,2.1636989144523655
0.5,608.0,200.0,1.0,2.0885177500184877
0.5,658.0,200.0,1.0,2.1361191579882792
0.5,712.0,200.0,1.0,2.171084615294018
0.5,771.0,200.0,1.0,2.118960356320941
0.5,835.0,200.0,1.0,2.1537142652448953
0.5,904.0,200.0,1.0,2.1505578922577495
0.5,979.0,200.0,1.0,2.1387866730697733
0.5,1059.0,200.0,1.0,2.189763468937902
0.5,1147.0,200.0,1.0,2.2217290690533473
0.5,1242.0,200.0,1.0,2.2796028509217123
0.5,1344.0,200.0,1.0,2.3263633518253295
0.5,1455.0,200.0,1.0,2.298610595858702
0.5,1576.0,200.0,1.0,2.34819292821907
0.5,1706.0,200.0,1.0,2.4102507538003746
0.5,1847.0,200.0,1.0,2.3931214355552877
0.5,2000.0,200.0,1.0,2.3601498123261337
0.5,20.0,200.0,2.333333333333333,0.1889283307381711
0.5,21.0,200.0,2.333333333333333,0.21004639032788436
0.5,23.0,200.0,2.333333333333333,0.2108811022071474
0.5,25.0,200.0,2.333333333333333,0.2101956006086948
0.5,27.0,200.0,2.333333333333333,0.216205336866176
0.5,29.0,200.0,2.333333333333333,0.2200091909667811
0.5,31.0,200.0,2.333333333333333,0.2285407939085092
0.5,34.0,200.0,2.333333333333333,0.25818095070142105
0.5,36.0,200.0,2.333333333333333,0.2591383207852494
0.5,39.0,200.0,2.333333333333333,0.3519224541264325
0.5,43.0,200.0,2.333333333333333,0.3775730718595993
0.5,46.0,200.0,2.333333333333333,0.42492948060035124
0.5,50.0,200.0,2.333333333333333,0.45485673794659487
0.5,54.0,200.0,2.333333333333333,0.4682453968298578
0.5,58.0,200.0,2.333333333333333,0.6308937022009363
0.5,63.0,200.0,2.333333333333333,0.7333339115771228
0.5,68.0,200.0,2.333333333333333,0.7883301799713343
0.5,73.0,200.0,2.333333333333333,0.8161452678389239
0.5,79.0,200.0,2.333333333333333,0.9650613715219799
0.5,85.0,200.0,2.333333333333333,1.1289730583175177
0.5,92.0,200.0,2.333333333333333,1.2772094768218771
0.5,100.0,200.0,2.333333333333333,1.3862476345195602
0.5,108.0,200.0,2.333333333333333,1.6883961827871574
0.5,116.0,200.0,2.333333333333333,2.077446107914383
0.5,126.0,200.0,2.333333333333333,2.564030661576247
0.5,136.0,200.0,2.333333333333333,2.7976148828467355
0.5,147.0,200.0,2.333333333333333,2.973633085423368
0.5,158.0,200.0,2.333333333333333,3.9376201777291846
0.5,171.0,200.0,2.333333333333333,7.7009578278877715
0.5,185.0,200.0,2.333333333333333,13.470846169273463
0.5,200.0,200.0,2.333333333333333,280.8011844119008
0.5,216.0,200.0,2.333333333333333,13.624691660045565
0.5,234.0,200.0,2.333333333333333,10.814882592809905
0.5,254.0,200.0,2.333333333333333,6.185904073063729
0.5,275.0,200.0,2.333333333333333,5.284002510317196
0.5,297.0,200.0,2.333333333333333,3.9924915173247455
