λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.11308293441946762
1.0,1.0,21.0,200.0,1.0,0.12281299315793676
1.0,1.0,23.0,200.0,1.0,0.13414381319886357
1.0,1.0,25.0,200.0,1.0,0.13495205338702895
1.0,1.0,27.0,200.0,1.0,0.16478237424764577
1.0,1.0,29.0,200.0,1.0,0.16762311476229555
1.0,1.0,31.0,200.0,1.0,0.16853342790393994
1.0,1.0,34.0,200.0,1.0,0.1783433815298999
1.0,1.0,36.0,200.0,1.0,0.17787524296119825
1.0,1.0,39.0,200.0,1.0,0.18647072303767165
1.0,1.0,43.0,200.0,1.0,0.22142223740673517
1.0,1.0,46.0,200.0,1.0,0.23519985738749483
1.0,1.0,50.0,200.0,1.0,0.278697494956398
1.0,1.0,54.0,200.0,1.0,0.35678788313786297
1.0,1.0,58.0,200.0,1.0,0.42027174738127443
1.0,1.0,63.0,200.0,1.0,0.4679865374021074
1.0,1.0,68.0,200.0,1.0,0.5069701079584709
1.0,1.0,73.0,200.0,1.0,0.5786010920812633
1.0,1.0,79.0,200.0,1.0,0.654088475266167
1.0,1.0,85.0,200.0,1.0,0.6961606103182602
1.0,1.0,92.0,200.0,1.0,0.7931889777593872
1.0,1.0,100.0,200.0,1.0,0.950780055943155
1.0,1.0,108.0,200.0,1.0,1.0613665477651173
1.0,1.0,116.0,200.0,1.0,1.2644589466788112
1.0,1.0,126.0,200.0,1.0,1.6241629633566106
1.0,1.0,136.0,200.0,1.0,1.8939768289080399
1.0,1.0,147.0,200.0,1.0,2.706285557309001
1.0,1.0,158.0,200.0,1.0,2.9295765484730403
1.0,1.0,171.0,200.0,1.0,5.446900321665304
1.0,1.0,185.0,200.0,1.0,9.653605459616625
1.0,1.0,200.0,200.0,1.0,5662.468810988848
1.0,1.0,213.0,200.0,1.0,32.35462180020099
1.0,1.0,228.0,200.0,1.0,10.498873925735916
1.0,1.0,244.0,200.0,1.0,6.593689942386988
1.0,1.0,260.0,200.0,1.0,3.6546866009071004
1.0,1.0,278.0,200.0,1.0,2.8919716627239067
1.0,1.0,297.0,200.0,1.0,2.431129240789971
1.0,1.0,318.0,200.0,1.0,2.1567110998618455
1.0,1.0,340.0,200.0,1.0,1.8500704614174968
1.0,1.0,363.0,200.0,1.0,1.7649714697116299
1.0,1.0,388.0,200.0,1.0,1.563269108558398
1.0,1.0,415.0,200.0,1.0,1.4984382218932584
1.0,1.0,443.0,200.0,1.0,1.3945698304169685
1.0,1.0,473.0,200.0,1.0,1.34840103661716
1.0,1.0,506.0,200.0,1.0,1.2679381556155658
1.0,1.0,541.0,200.0,1.0,1.2384892089612716
1.0,1.0,578.0,200.0,1.0,1.2077293517997758
1.0,1.0,617.0,200.0,1.0,1.1704586704116826
1.0,1.0,660.0,200.0,1.0,1.1401840641119698
1.0,1.0,705.0,200.0,1.0,1.1106279274968693
1.0,1.0,753.0,200.0,1.0,1.0981435167997666
1.0,1.0,805.0,200.0,1.0,1.0894720167845855
1.0,1.0,860.0,200.0,1.0,1.0835157979059604
