λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.006737946999085467,1.0,2.099185356693392
1.0,1.0,20.0,100.0,200.0,0.01831563888873418,1.0,2.0901597130639638
1.0,1.0,20.0,100.0,200.0,0.049787068367863944,1.0,2.068084295396806
1.0,1.0,20.0,100.0,200.0,0.1353352832366127,1.0,2.0221929139976322
1.0,1.0,20.0,100.0,200.0,0.36787944117144233,1.0,1.9556693643176448
1.0,1.0,20.0,100.0,200.0,1.0,1.0,1.9085106719483287
1.0,1.0,20.0,100.0,200.0,0.0,1.0,2.104686913350151
1.0,1.0,21.0,100.0,200.0,0.006737946999085467,1.0,2.0964738924305384
1.0,1.0,21.0,100.0,200.0,0.01831563888873418,1.0,2.0872628050811706
1.0,1.0,21.0,100.0,200.0,0.049787068367863944,1.0,2.0647775354837683
1.0,1.0,21.0,100.0,200.0,0.1353352832366127,1.0,2.0182395564242754
1.0,1.0,21.0,100.0,200.0,0.36787944117144233,1.0,1.9513315888567067
1.0,1.0,21.0,100.0,200.0,1.0,1.0,1.9046248744492347
1.0,1.0,21.0,100.0,200.0,0.0,1.0,2.102093512394817
1.0,1.0,23.0,100.0,200.0,0.006737946999085467,1.0,2.073384763681009
1.0,1.0,23.0,100.0,200.0,0.01831563888873418,1.0,2.0639813418956963
1.0,1.0,23.0,100.0,200.0,0.049787068367863944,1.0,2.041130408146532
1.0,1.0,23.0,100.0,200.0,0.1353352832366127,1.0,1.994404663258462
1.0,1.0,23.0,100.0,200.0,0.36787944117144233,1.0,1.9293804896066133
1.0,1.0,23.0,100.0,200.0,1.0,1.0,1.8887453303525465
1.0,1.0,23.0,100.0,200.0,0.0,1.0,2.079132923212667
1.0,1.0,25.0,100.0,200.0,0.006737946999085467,1.0,2.08302961104207
1.0,1.0,25.0,100.0,200.0,0.01831563888873418,1.0,2.0732875162688105
1.0,1.0,25.0,100.0,200.0,0.049787068367863944,1.0,2.049657751341559
1.0,1.0,25.0,100.0,200.0,0.1353352832366127,1.0,2.0015400661541425
1.0,1.0,25.0,100.0,200.0,0.36787944117144233,1.0,1.9350465964766146
1.0,1.0,25.0,100.0,200.0,1.0,1.0,1.8935375694068848
1.0,1.0,25.0,100.0,200.0,0.0,1.0,2.088989952399047
1.0,1.0,27.0,100.0,200.0,0.006737946999085467,1.0,2.042882846392616
1.0,1.0,27.0,100.0,200.0,0.01831563888873418,1.0,2.033959222198238
1.0,1.0,27.0,100.0,200.0,0.049787068367863944,1.0,2.012342390757389
1.0,1.0,27.0,100.0,200.0,0.1353352832366127,1.0,1.968522094234585
1.0,1.0,27.0,100.0,200.0,0.36787944117144233,1.0,1.909133846358353
1.0,1.0,27.0,100.0,200.0,1.0,1.0,1.8762885113070111
1.0,1.0,27.0,100.0,200.0,0.0,1.0,2.0483450615119607
1.0,1.0,29.0,100.0,200.0,0.006737946999085467,1.0,2.0629960661539966
