λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.14422146538088987
1.0,1.0,21.0,200.0,1.0,0.1483663094454501
1.0,1.0,23.0,200.0,1.0,0.14870093026251552
1.0,1.0,25.0,200.0,1.0,0.15161192366542242
1.0,1.0,27.0,200.0,1.0,0.1549172031609716
1.0,1.0,29.0,200.0,1.0,0.1639535738056539
1.0,1.0,31.0,200.0,1.0,0.16423142848042188
1.0,1.0,34.0,200.0,1.0,0.17638978592074925
1.0,1.0,36.0,200.0,1.0,0.18463985021166268
1.0,1.0,39.0,200.0,1.0,0.20908480063724882
1.0,1.0,43.0,200.0,1.0,0.25076960927633135
1.0,1.0,46.0,200.0,1.0,0.26829882248951104
1.0,1.0,50.0,200.0,1.0,0.28197514264799073
1.0,1.0,54.0,200.0,1.0,0.38019937951725097
1.0,1.0,58.0,200.0,1.0,0.38316084309925363
1.0,1.0,63.0,200.0,1.0,0.39328680464722426
1.0,1.0,68.0,200.0,1.0,0.47818477655215463
1.0,1.0,73.0,200.0,1.0,0.5106226660319627
1.0,1.0,79.0,200.0,1.0,0.5120325356777121
1.0,1.0,85.0,200.0,1.0,0.6333121650184922
1.0,1.0,92.0,200.0,1.0,0.7449437223891314
1.0,1.0,100.0,200.0,1.0,0.8807369667066438
1.0,1.0,108.0,200.0,1.0,1.0707953212642907
1.0,1.0,116.0,200.0,1.0,1.2482640059996288
1.0,1.0,126.0,200.0,1.0,1.5087687539846877
1.0,1.0,136.0,200.0,1.0,1.8823319536391312
1.0,1.0,147.0,200.0,1.0,2.062174525267575
1.0,1.0,158.0,200.0,1.0,2.7414030905591966
1.0,1.0,171.0,200.0,1.0,4.365733767840323
1.0,1.0,185.0,200.0,1.0,7.5230735772281685
1.0,1.0,200.0,200.0,1.0,43.053209096879364
1.0,1.0,221.0,200.0,1.0,14.106314348823073
1.0,1.0,246.0,200.0,1.0,3.776334724317376
1.0,1.0,272.0,200.0,1.0,2.342536469214791
1.0,1.0,302.0,200.0,1.0,1.9918053629410337
1.0,1.0,335.0,200.0,1.0,1.6984617202105738
1.0,1.0,372.0,200.0,1.0,1.5075097970960138
1.0,1.0,412.0,200.0,1.0,1.428840138685841
1.0,1.0,457.0,200.0,1.0,1.3041178230808563
1.0,1.0,507.0,200.0,1.0,1.2749141946965912
1.0,1.0,562.0,200.0,1.0,1.1912484636375769
1.0,1.0,623.0,200.0,1.0,1.1523567594677044
1.0,1.0,691.0,200.0,1.0,1.1277854248734487
1.0,1.0,766.0,200.0,1.0,1.1233635649015261
1.0,1.0,849.0,200.0,1.0,1.1136579460488034
1.0,1.0,942.0,200.0,1.0,1.07802346321869
1.0,1.0,1044.0,200.0,1.0,1.043619398234462
1.0,1.0,1158.0,200.0,1.0,1.0290382499501445
1.0,1.0,1284.0,200.0,1.0,1.0325007368084997
1.0,1.0,1424.0,200.0,1.0,1.022144920996931
1.0,1.0,1579.0,200.0,1.0,1.028770685641594
1.0,1.0,1750.0,200.0,1.0,1.0234335154809817
1.0,1.0,1941.0,200.0,1.0,1.011586708978915
1.0,1.0,2152.0,200.0,1.0,1.0134630634730055
1.0,1.0,2386.0,200.0,1.0,1.0188135524056636
1.0,1.0,2646.0,200.0,1.0,1.027758940395528
1.0,1.0,2934.0,200.0,1.0,1.0138410233054949
1.0,1.0,3253.0,200.0,1.0,1.008399113172494
1.0,1.0,3607.0,200.0,1.0,1.0090225219348266
1.0,1.0,4000.0,200.0,1.0,1.013889619944796
1.0,1.0,20.0,200.0,2.333333333333333,0.14422146538088973
1.0,1.0,21.0,200.0,2.333333333333333,0.1483663094454502
1.0,1.0,23.0,200.0,2.333333333333333,0.14870093026251543
1.0,1.0,25.0,200.0,2.333333333333333,0.15161192366542273
1.0,1.0,27.0,200.0,2.333333333333333,0.15491720316097166
1.0,1.0,29.0,200.0,2.333333333333333,0.1639535738056539
1.0,1.0,31.0,200.0,2.333333333333333,0.16423142848042194
1.0,1.0,34.0,200.0,2.333333333333333,0.17638978592074955
1.0,1.0,36.0,200.0,2.333333333333333,0.18463985021166246
1.0,1.0,39.0,200.0,2.333333333333333,0.20908480063724902
1.0,1.0,43.0,200.0,2.333333333333333,0.25076960927633146
1.0,1.0,46.0,200.0,2.333333333333333,0.26829882248951115
1.0,1.0,50.0,200.0,2.333333333333333,0.28197514264799095
