λ,μ,p,n,snr,MSE
1.0,1.0,21.0,20.0,2.333333333333333,44.09063556287624
1.0,1.0,23.0,20.0,2.333333333333333,7.74734697439326
1.0,1.0,25.0,20.0,2.333333333333333,4.629994664816939
1.0,1.0,27.0,20.0,2.333333333333333,3.1772951073955
1.0,1.0,29.0,20.0,2.333333333333333,2.3761378197294647
1.0,1.0,31.0,20.0,2.333333333333333,2.1257727327239317
1.0,1.0,34.0,20.0,2.333333333333333,2.113636422559987
1.0,1.0,37.0,20.0,2.333333333333333,1.8371883787742336
1.0,1.0,40.0,20.0,2.333333333333333,1.9339346074000605
1.0,1.0,43.0,20.0,2.333333333333333,1.9840848196073275
1.0,1.0,47.0,20.0,2.333333333333333,1.91178239228641
1.0,1.0,51.0,20.0,2.333333333333333,1.9567897968947783
1.0,1.0,55.0,20.0,2.333333333333333,2.1681142490817678
1.0,1.0,59.0,20.0,2.333333333333333,2.100869009043958
1.0,1.0,64.0,20.0,2.333333333333333,2.098213180465635
1.0,1.0,69.0,20.0,2.333333333333333,2.0498193958919178
1.0,1.0,75.0,20.0,2.333333333333333,2.0494319859323333
1.0,1.0,81.0,20.0,2.333333333333333,2.2142485687529754
1.0,1.0,88.0,20.0,2.333333333333333,2.158906136161858
1.0,1.0,95.0,20.0,2.333333333333333,2.160021879673389
1.0,1.0,103.0,20.0,2.333333333333333,2.1668832770059603
1.0,1.0,111.0,20.0,2.333333333333333,2.2098473736716304
1.0,1.0,120.0,20.0,2.333333333333333,2.231787237150794
1.0,1.0,130.0,20.0,2.333333333333333,2.178107075486573
1.0,1.0,140.0,20.0,2.333333333333333,2.1824943032030513
1.0,1.0,152.0,20.0,2.333333333333333,2.1905829385448023
1.0,1.0,164.0,20.0,2.333333333333333,2.178759355771062
1.0,1.0,177.0,20.0,2.333333333333333,2.2507252831398734
1.0,1.0,192.0,20.0,2.333333333333333,2.2638654553153943
1.0,1.0,208.0,20.0,2.333333333333333,2.255289576429568
1.0,1.0,224.0,20.0,2.333333333333333,2.253216297000413
1.0,1.0,243.0,20.0,2.333333333333333,2.24474096920334
1.0,1.0,262.0,20.0,2.333333333333333,2.2187318276061894
1.0,1.0,284.0,20.0,2.333333333333333,2.24625154869551
1.0,1.0,307.0,20.0,2.333333333333333,2.25264276684499
1.0,1.0,332.0,20.0,2.333333333333333,2.2458728885998775
1.0,1.0,359.0,20.0,2.333333333333333,2.2702847706395
1.0,1.0,388.0,20.0,2.333333333333333,2.2621147526209513
1.0,1.0,419.0,20.0,2.333333333333333,2.286299439562217
1.0,1.0,454.0,20.0,2.333333333333333,2.243222384592932
1.0,1.0,490.0,20.0,2.333333333333333,2.265493182979521
1.0,1.0,530.0,20.0,2.333333333333333,2.2971931152053147
1.0,1.0,573.0,20.0,2.333333333333333,2.2992564586396416
1.0,1.0,620.0,20.0,2.333333333333333,2.335045913979474
1.0,1.0,670.0,20.0,2.333333333333333,2.3450428374798538
1.0,1.0,725.0,20.0,2.333333333333333,2.38086948257117
1.0,1.0,784.0,20.0,2.333333333333333,2.3775381788250134
1.0,1.0,847.0,20.0,2.333333333333333,2.358325859747044
1.0,1.0,916.0,20.0,2.333333333333333,2.3712431249242263
1.0,1.0,990.0,20.0,2.333333333333333,2.352238942803747
1.0,1.0,1071.0,20.0,2.333333333333333,2.3770333611112133
1.0,1.0,1158.0,20.0,2.333333333333333,2.378448518913255
1.0,1.0,1252.0,20.0,2.333333333333333,2.3776185779055923
