λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,1.881776947035743
1.0,1.0,20.0,100.0,200.0,0.9122448979591836,1.0,1.8170888516628558
1.0,1.0,21.0,100.0,200.0,0.0,1.0,1.8927919755850044
1.0,1.0,21.0,100.0,200.0,0.9122448979591836,1.0,1.8063565587300756
1.0,1.0,23.0,100.0,200.0,0.0,1.0,1.8991628538327328
1.0,1.0,23.0,100.0,200.0,0.9122448979591836,1.0,1.8124403045290804
1.0,1.0,25.0,100.0,200.0,0.0,1.0,1.8875677884291069
1.0,1.0,25.0,100.0,200.0,0.9122448979591836,1.0,1.7982861619701944
1.0,1.0,27.0,100.0,200.0,0.0,1.0,1.8973193138358948
1.0,1.0,27.0,100.0,200.0,0.9122448979591836,1.0,1.792249913643019
1.0,1.0,29.0,100.0,200.0,0.0,1.0,1.8723732373068924
1.0,1.0,29.0,100.0,200.0,0.9122448979591836,1.0,1.7708380770064933
1.0,1.0,31.0,100.0,200.0,0.0,1.0,1.8376513268741073
1.0,1.0,31.0,100.0,200.0,0.9122448979591836,1.0,1.7460043230558422
1.0,1.0,34.0,100.0,200.0,0.0,1.0,1.8766554048048092
1.0,1.0,34.0,100.0,200.0,0.9122448979591836,1.0,1.744349285194672
1.0,1.0,36.0,100.0,200.0,0.0,1.0,1.9487853810361397
1.0,1.0,36.0,100.0,200.0,0.5061224489795918,1.0,1.735892941970712
1.0,1.0,39.0,100.0,200.0,0.0,1.0,1.9515278725459408
1.0,1.0,39.0,100.0,200.0,0.5061224489795918,1.0,1.7227622534169371
1.0,1.0,43.0,100.0,200.0,0.0,1.0,1.90854462848591
1.0,1.0,43.0,100.0,200.0,0.9122448979591836,1.0,1.6956691096301415
1.0,1.0,46.0,100.0,200.0,0.0,1.0,1.8785183824379081
1.0,1.0,46.0,100.0,200.0,0.9122448979591836,1.0,1.6705369118972409
1.0,1.0,50.0,100.0,200.0,0.0,1.0,1.9034591665347114
1.0,1.0,50.0,100.0,200.0,0.9122448979591836,1.0,1.670374363868401
1.0,1.0,54.0,100.0,200.0,0.0,1.0,1.915596615072692
1.0,1.0,54.0,100.0,200.0,0.5061224489795918,1.0,1.662134796321875
1.0,1.0,58.0,100.0,200.0,0.0,1.0,1.8115845434007616
1.0,1.0,58.0,100.0,200.0,0.5061224489795918,1.0,1.6055676525161493
1.0,1.0,63.0,100.0,200.0,0.0,1.0,1.8151358431525666
1.0,1.0,63.0,100.0,200.0,0.5061224489795918,1.0,1.5813268384303276
1.0,1.0,68.0,100.0,200.0,0.0,1.0,1.7903419962211702
1.0,1.0,68.0,100.0,200.0,0.9122448979591836,1.0,1.5963557603403766
1.0,1.0,73.0,100.0,200.0,0.0,1.0,1.8193791844130118
1.0,1.0,73.0,100.0,200.0,0.9122448979591836,1.0,1.5806932927913924
1.0,1.0,79.0,100.0,200.0,0.0,1.0,1.9181214531352415
1.0,1.0,79.0,100.0,200.0,0.5061224489795918,1.0,1.517713593256885
1.0,1.0,85.0,100.0,200.0,0.0,1.0,1.9134073025287446
1.0,1.0,85.0,100.0,200.0,0.5061224489795918,1.0,1.468894707184147
1.0,1.0,92.0,100.0,200.0,0.0,1.0,1.9052697124686921
1.0,1.0,92.0,100.0,200.0,0.5061224489795918,1.0,1.4053436408566748
1.0,1.0,100.0,100.0,200.0,0.0,1.0,1.7131330974587755
1.0,1.0,100.0,100.0,200.0,0.5061224489795918,1.0,1.347239541281787
1.0,1.0,108.0,100.0,200.0,0.0,1.0,1.6732808788323863
1.0,1.0,108.0,100.0,200.0,0.9122448979591836,1.0,1.3965183360382296
1.0,1.0,116.0,100.0,200.0,0.0,1.0,1.8812963073150353
1.0,1.0,116.0,100.0,200.0,0.9122448979591836,1.0,1.404582605507507
