λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,2.104686913350148
1.0,1.0,20.0,100.0,200.0,-1.0,1.0,36.1218348933443
1.0,1.0,20.0,100.0,200.0,-2.0,1.0,3.1094907053244976
1.0,1.0,20.0,100.0,200.0,-3.0,1.0,2.243496568373338
1.0,1.0,20.0,100.0,200.0,-4.0,1.0,2.1138775296852255
1.0,1.0,20.0,100.0,200.0,-5.0,1.0,2.0643668815463063
1.0,1.0,20.0,100.0,200.0,-6.0,1.0,2.038680389280298
1.0,1.0,20.0,100.0,200.0,-7.0,1.0,2.02307656724524
1.0,1.0,20.0,100.0,200.0,-8.0,1.0,2.0126341413142805
1.0,1.0,21.0,100.0,200.0,0.0,1.0,2.1020935123948163
1.0,1.0,21.0,100.0,200.0,-1.0,1.0,5.651940582353334
1.0,1.0,21.0,100.0,200.0,-2.0,1.0,3.2395154402217923
1.0,1.0,21.0,100.0,200.0,-3.0,1.0,2.2643088766398156
1.0,1.0,21.0,100.0,200.0,-4.0,1.0,2.123797653282615
1.0,1.0,21.0,100.0,200.0,-5.0,1.0,2.0706955681814185
1.0,1.0,21.0,100.0,200.0,-6.0,1.0,2.043284101072697
1.0,1.0,21.0,100.0,200.0,-7.0,1.0,2.026680518947081
1.0,1.0,21.0,100.0,200.0,-8.0,1.0,2.0155896881978648
1.0,1.0,23.0,100.0,200.0,0.0,1.0,2.0791329232126636
1.0,1.0,23.0,100.0,200.0,-1.0,1.0,537.7892182725419
1.0,1.0,23.0,100.0,200.0,-2.0,1.0,3.27359542793915
1.0,1.0,23.0,100.0,200.0,-3.0,1.0,2.2774104088783886
1.0,1.0,23.0,100.0,200.0,-4.0,1.0,2.1329438785608463
1.0,1.0,23.0,100.0,200.0,-5.0,1.0,2.0777303838914283
1.0,1.0,23.0,100.0,200.0,-6.0,1.0,2.048996230571385
1.0,1.0,23.0,100.0,200.0,-7.0,1.0,2.0314868525083725
1.0,1.0,23.0,100.0,200.0,-8.0,1.0,2.0197373056673076
1.0,1.0,25.0,100.0,200.0,0.0,1.0,2.0889899523990443
1.0,1.0,25.0,100.0,200.0,-1.0,1.0,31.464095460475416
1.0,1.0,25.0,100.0,200.0,-2.0,1.0,3.458082313987866
1.0,1.0,25.0,100.0,200.0,-3.0,1.0,2.2718205368724322
1.0,1.0,25.0,100.0,200.0,-4.0,1.0,2.126837294525202
1.0,1.0,25.0,100.0,200.0,-5.0,1.0,2.072898205707327
1.0,1.0,25.0,100.0,200.0,-6.0,1.0,2.0451101834782333
1.0,1.0,25.0,100.0,200.0,-7.0,1.0,2.0282638103573345
1.0,1.0,25.0,100.0,200.0,-8.0,1.0,2.016993404048031
1.0,1.0,27.0,100.0,200.0,0.0,1.0,2.048345061511966
1.0,1.0,27.0,100.0,200.0,-1.0,1.0,11.341451239544956
1.0,1.0,27.0,100.0,200.0,-2.0,1.0,3.640258813966178
1.0,1.0,27.0,100.0,200.0,-3.0,1.0,2.2965475066244854
1.0,1.0,27.0,100.0,200.0,-4.0,1.0,2.1408548931755034
1.0,1.0,27.0,100.0,200.0,-5.0,1.0,2.082870672863713
1.0,1.0,27.0,100.0,200.0,-6.0,1.0,2.052889639500003
1.0,1.0,27.0,100.0,200.0,-7.0,1.0,2.0346528769118777
1.0,1.0,27.0,100.0,200.0,-8.0,1.0,2.022418214926159
1.0,1.0,29.0,100.0,200.0,0.0,1.0,2.0694739028009574
