λ,μ,p,n,snr,MSE
1.0,1.0,5.0,50.0,1.0,0.1734499463211308
1.0,1.0,6.0,50.0,1.0,0.1674193692835448
1.0,1.0,7.0,50.0,1.0,0.17237292019331904
1.0,1.0,8.0,50.0,1.0,0.179285055398178
1.0,1.0,9.0,50.0,1.0,0.17851151296177062
1.0,1.0,10.0,50.0,1.0,0.18435632547724046
1.0,1.0,11.0,50.0,1.0,0.28263904740696105
1.0,1.0,12.0,50.0,1.0,0.2824977360131649
1.0,1.0,13.0,50.0,1.0,0.2831763997782274
1.0,1.0,14.0,50.0,1.0,0.26617017798428094
1.0,1.0,15.0,50.0,1.0,0.34745757434318664
1.0,1.0,17.0,50.0,1.0,0.4704160567746725
1.0,1.0,18.0,50.0,1.0,0.47172962154259673
1.0,1.0,19.0,50.0,1.0,0.5820697636176742
1.0,1.0,21.0,50.0,1.0,0.6043432271076181
1.0,1.0,23.0,50.0,1.0,0.9576870894219092
1.0,1.0,25.0,50.0,1.0,1.0407905197139458
1.0,1.0,27.0,50.0,1.0,1.0909930870838342
1.0,1.0,29.0,50.0,1.0,1.2153772805660559
1.0,1.0,31.0,50.0,1.0,1.6388898000627625
1.0,1.0,34.0,50.0,1.0,1.649880469362928
1.0,1.0,36.0,50.0,1.0,1.8731855174033125
1.0,1.0,39.0,50.0,1.0,4.149823555402462
1.0,1.0,42.0,50.0,1.0,3.966253441955606
1.0,1.0,46.0,50.0,1.0,3.1228370690019847
1.0,1.0,50.0,50.0,1.0,18.032287207334775
1.0,1.0,54.0,50.0,1.0,6.211263228857755
1.0,1.0,58.0,50.0,1.0,4.8828442975480915
1.0,1.0,63.0,50.0,1.0,4.136766289035245
1.0,1.0,68.0,50.0,1.0,3.3849038552160593
1.0,1.0,73.0,50.0,1.0,2.4891331325220505
1.0,1.0,79.0,50.0,1.0,1.9479287151665645
1.0,1.0,86.0,50.0,1.0,1.6421949183344684
1.0,1.0,93.0,50.0,1.0,1.40384739001732
1.0,1.0,101.0,50.0,1.0,1.2755116483180835
1.0,1.0,109.0,50.0,1.0,1.2610377678021671
1.0,1.0,118.0,50.0,1.0,1.221008434556488
1.0,1.0,127.0,50.0,1.0,1.0975017142901162
1.0,1.0,138.0,50.0,1.0,1.0743927310201598
1.0,1.0,149.0,50.0,1.0,1.0882182519311745
1.0,1.0,161.0,50.0,1.0,1.1334046873191452
1.0,1.0,174.0,50.0,1.0,1.1346086919765368
1.0,1.0,188.0,50.0,1.0,1.0611545495325645
1.0,1.0,203.0,50.0,1.0,1.0524980106642656
1.0,1.0,220.0,50.0,1.0,1.057094121652086
1.0,1.0,238.0,50.0,1.0,1.0704591756567938
1.0,1.0,257.0,50.0,1.0,1.0595633183354232
1.0,1.0,278.0,50.0,1.0,1.086560260546044
1.0,1.0,301.0,50.0,1.0,1.0488178145626885
1.0,1.0,325.0,50.0,1.0,1.054929333165368
1.0,1.0,352.0,50.0,1.0,1.0274323487972856
1.0,1.0,380.0,50.0,1.0,1.0538142460130686
1.0,1.0,411.0,50.0,1.0,1.0438198159452337
1.0,1.0,444.0,50.0,1.0,1.026533880098821
1.0,1.0,481.0,50.0,1.0,1.0140363319514476
1.0,1.0,520.0,50.0,1.0,1.029092203244584
1.0,1.0,562.0,50.0,1.0,1.0203575720838305
1.0,1.0,608.0,50.0,1.0,1.02333669602761
1.0,1.0,657.0,50.0,1.0,1.025743069206557
1.0,1.0,710.0,50.0,1.0,1.0240219327132
1.0,1.0,768.0,50.0,1.0,1.021628288275049
1.0,1.0,830.0,50.0,1.0,1.0155804149418735
1.0,1.0,898.0,50.0,1.0,0.9957012296786268
1.0,1.0,971.0,50.0,1.0,0.9912482636211295
1.0,1.0,1049.0,50.0,1.0,0.9968496969722133
1.0,1.0,1135.0,50.0,1.0,1.000748741171922
1.0,1.0,1227.0,50.0,1.0,0.9953775199728094
1.0,1.0,1326.0,50.0,1.0,0.9958468170032967
1.0,1.0,1434.0,50.0,1.0,0.9984055689899688
1.0,1.0,1550.0,50.0,1.0,0.9964222785602808
1.0,1.0,1676.0,50.0,1.0,0.9939466399347376
1.0,1.0,1812.0,50.0,1.0,0.9988344429778301
1.0,1.0,1960.0,50.0,1.0,0.9996014065128287
1.0,1.0,2119.0,50.0,1.0,0.9969862749066076
1.0,1.0,2291.0,50.0,1.0,0.9877586835068639
1.0,1.0,2477.0,50.0,1.0,0.9850597107594716
1.0,1.0,2678.0,50.0,1.0,0.9864390535032531
1.0,1.0,2895.0,50.0,1.0,0.9957077885366789
1.0,1.0,3130.0,50.0,1.0,0.9824816704237477
1.0,1.0,3384.0,50.0,1.0,0.9881143818037924
1.0,1.0,3659.0,50.0,1.0,0.9876641590013849
1.0,1.0,3956.0,50.0,1.0,0.9846784571906324
1.0,1.0,4277.0,50.0,1.0,0.9942018374125171
1.0,1.0,4624.0,50.0,1.0,0.9963850144973738
1.0,1.0,5000.0,50.0,1.0,0.9983803236778079
1.0,1.0,5.0,50.0,2.333333333333333,0.17344994632113075
1.0,1.0,6.0,50.0,2.333333333333333,0.16741936928354498
1.0,1.0,7.0,50.0,2.333333333333333,0.17237292019331893
1.0,1.0,8.0,50.0,2.333333333333333,0.17928505539817785
1.0,1.0,9.0,50.0,2.333333333333333,0.17851151296177087
1.0,1.0,10.0,50.0,2.333333333333333,0.18435632547724
1.0,1.0,11.0,50.0,2.333333333333333,0.28263904740696116
1.0,1.0,12.0,50.0,2.333333333333333,0.28249773601316486
1.0,1.0,13.0,50.0,2.333333333333333,0.28317639977822723
1.0,1.0,14.0,50.0,2.333333333333333,0.26617017798428094
1.0,1.0,15.0,50.0,2.333333333333333,0.34745757434318647
1.0,1.0,17.0,50.0,2.333333333333333,0.4704160567746718
1.0,1.0,18.0,50.0,2.333333333333333,0.47172962154259684
1.0,1.0,19.0,50.0,2.333333333333333,0.5820697636176743
1.0,1.0,21.0,50.0,2.333333333333333,0.6043432271076182
1.0,1.0,23.0,50.0,2.333333333333333,0.9576870894219093
1.0,1.0,25.0,50.0,2.333333333333333,1.0407905197139458
1.0,1.0,27.0,50.0,2.333333333333333,1.0909930870838342
1.0,1.0,29.0,50.0,2.333333333333333,1.215377280566056
1.0,1.0,31.0,50.0,2.333333333333333,1.6388898000627619
1.0,1.0,34.0,50.0,2.333333333333333,1.6498804693629292
1.0,1.0,36.0,50.0,2.333333333333333,1.8731855174033154
1.0,1.0,39.0,50.0,2.333333333333333,4.149823555402472
1.0,1.0,42.0,50.0,2.333333333333333,3.9662534419555873
1.0,1.0,46.0,50.0,2.333333333333333,3.1228370690019647
1.0,1.0,50.0,50.0,2.333333333333333,18.032287207179664
1.0,1.0,54.0,50.0,2.333333333333333,6.261560596069621
1.0,1.0,58.0,50.0,2.333333333333333,5.051274768031292
1.0,1.0,63.0,50.0,2.333333333333333,4.364525677105404
1.0,1.0,68.0,50.0,2.333333333333333,3.6618791532605464
1.0,1.0,73.0,50.0,2.333333333333333,2.7642869699015002
1.0,1.0,79.0,50.0,2.333333333333333,2.303066384411617
1.0,1.0,86.0,50.0,2.333333333333333,2.140035738830405
1.0,1.0,93.0,50.0,2.333333333333333,1.9700826537283112
1.0,1.0,101.0,50.0,2.333333333333333,1.867056555325225
1.0,1.0,109.0,50.0,2.333333333333333,1.9069644248461286
1.0,1.0,118.0,50.0,2.333333333333333,1.8827900074500656
1.0,1.0,127.0,50.0,2.333333333333333,1.7875494314196902
1.0,1.0,138.0,50.0,2.333333333333333,1.7894092599880627
1.0,1.0,149.0,50.0,2.333333333333333,1.8992901623536698
1.0,1.0,161.0,50.0,2.333333333333333,2.020732706780754
1.0,1.0,174.0,50.0,2.333333333333333,2.092430634496707
1.0,1.0,188.0,50.0,2.333333333333333,2.008985098176069
1.0,1.0,203.0,50.0,2.333333333333333,2.0355048693823474
1.0,1.0,220.0,50.0,2.333333333333333,2.074871492644674
1.0,1.0,238.0,50.0,2.333333333333333,2.132947319183409
1.0,1.0,257.0,50.0,2.333333333333333,2.142096656045789
1.0,1.0,278.0,50.0,2.333333333333333,2.2166099660415735
1.0,1.0,301.0,50.0,2.333333333333333,2.1722460016664282
1.0,1.0,325.0,50.0,2.333333333333333,2.20188989757857
1.0,1.0,352.0,50.0,2.333333333333333,2.1530951614517746
1.0,1.0,380.0,50.0,2.333333333333333,2.237563359856567
1.0,1.0,411.0,50.0,2.333333333333333,2.2316364833536166
1.0,1.0,444.0,50.0,2.333333333333333,2.2102918429107707
1.0,1.0,481.0,50.0,2.333333333333333,2.20489206173333
1.0,1.0,520.0,50.0,2.333333333333333,2.2533379535671187
1.0,1.0,562.0,50.0,2.333333333333333,2.2381648464060437
1.0,1.0,608.0,50.0,2.333333333333333,2.2569371792952624
1.0,1.0,657.0,50.0,2.333333333333333,2.2681485605755527
1.0,1.0,710.0,50.0,2.333333333333333,2.2731307429309306
1.0,1.0,768.0,50.0,2.333333333333333,2.277745954522945
1.0,1.0,830.0,50.0,2.333333333333333,2.2850887730048117
1.0,1.0,898.0,50.0,2.333333333333333,2.245201668655232
1.0,1.0,971.0,50.0,2.333333333333333,2.241227738884519
1.0,1.0,1049.0,50.0,2.333333333333333,2.2587369239968647
1.0,1.0,1135.0,50.0,2.333333333333333,2.2693579124411762
1.0,1.0,1227.0,50.0,2.333333333333333,2.2586720385473957
1.0,1.0,1326.0,50.0,2.333333333333333,2.2673030474777414
1.0,1.0,1434.0,50.0,2.333333333333333,2.2811045993605137
1.0,1.0,1550.0,50.0,2.333333333333333,2.2807687932706404
1.0,1.0,1676.0,50.0,2.333333333333333,2.281041833180906
1.0,1.0,1812.0,50.0,2.333333333333333,2.298409706964726
1.0,1.0,1960.0,50.0,2.333333333333333,2.3050495642150266
1.0,1.0,2119.0,50.0,2.333333333333333,2.3007454489810253
1.0,1.0,2291.0,50.0,2.333333333333333,2.278758495485217
1.0,1.0,2477.0,50.0,2.333333333333333,2.273753438815108
1.0,1.0,2678.0,50.0,2.333333333333333,2.280322315938653
1.0,1.0,2895.0,50.0,2.333333333333333,2.3033383375403185
1.0,1.0,3130.0,50.0,2.333333333333333,2.271931819762033
1.0,1.0,3384.0,50.0,2.333333333333333,2.286907165909947
1.0,1.0,3659.0,50.0,2.333333333333333,2.2868351845627912
1.0,1.0,3956.0,50.0,2.333333333333333,2.282166949189123
1.0,1.0,4277.0,50.0,2.333333333333333,2.3051282458624938
1.0,1.0,4624.0,50.0,2.333333333333333,2.3099058604415923
1.0,1.0,5000.0,50.0,2.333333333333333,2.3165846250642175
1.0,1.0,5.0,50.0,3.6666666666666665,0.17344994632113073
1.0,1.0,6.0,50.0,3.6666666666666665,0.1674193692835447
1.0,1.0,7.0,50.0,3.6666666666666665,0.17237292019331893
1.0,1.0,8.0,50.0,3.6666666666666665,0.17928505539817763
1.0,1.0,9.0,50.0,3.6666666666666665,0.17851151296177106
1.0,1.0,10.0,50.0,3.6666666666666665,0.18435632547723982
1.0,1.0,11.0,50.0,3.6666666666666665,0.2826390474069613
1.0,1.0,12.0,50.0,3.6666666666666665,0.2824977360131651
1.0,1.0,13.0,50.0,3.6666666666666665,0.2831763997782276
1.0,1.0,14.0,50.0,3.6666666666666665,0.2661701779842812
1.0,1.0,15.0,50.0,3.6666666666666665,0.34745757434318664
1.0,1.0,17.0,50.0,3.6666666666666665,0.4704160567746715
1.0,1.0,18.0,50.0,3.6666666666666665,0.4717296215425971
1.0,1.0,19.0,50.0,3.6666666666666665,0.5820697636176743
1.0,1.0,21.0,50.0,3.6666666666666665,0.6043432271076177
1.0,1.0,23.0,50.0,3.6666666666666665,0.9576870894219098
1.0,1.0,25.0,50.0,3.6666666666666665,1.0407905197139458
1.0,1.0,27.0,50.0,3.6666666666666665,1.0909930870838342
1.0,1.0,29.0,50.0,3.6666666666666665,1.2153772805660568
1.0,1.0,31.0,50.0,3.6666666666666665,1.6388898000627607
1.0,1.0,34.0,50.0,3.6666666666666665,1.6498804693629292
1.0,1.0,36.0,50.0,3.6666666666666665,1.8731855174033174
1.0,1.0,39.0,50.0,3.6666666666666665,4.149823555402482
1.0,1.0,42.0,50.0,3.6666666666666665,3.9662534419555735
1.0,1.0,46.0,50.0,3.6666666666666665,3.122837069001948
1.0,1.0,50.0,50.0,3.6666666666666665,18.032287207065636
1.0,1.0,54.0,50.0,3.6666666666666665,6.313833246153186
1.0,1.0,58.0,50.0,3.6666666666666665,5.2274154301232745
1.0,1.0,63.0,50.0,3.6666666666666665,4.599132994997661
1.0,1.0,68.0,50.0,3.6666666666666665,3.9452679868375817
1.0,1.0,73.0,50.0,3.6666666666666665,3.0436251180076628
1.0,1.0,79.0,50.0,3.6666666666666665,2.662622815824254
1.0,1.0,86.0,50.0,3.6666666666666665,2.642290041815878
1.0,1.0,93.0,50.0,3.6666666666666665,2.540341937373676
1.0,1.0,101.0,50.0,3.6666666666666665,2.463030499352512
