λ,μ,p,n,snr,MSE
1.0,1.0,2.0,20.0,1.0,0.0038485108801015544
1.0,1.0,3.0,20.0,1.0,0.03228941151207191
1.0,1.0,4.0,20.0,1.0,0.07930237918614597
1.0,1.0,5.0,20.0,1.0,0.10115493201519027
1.0,1.0,6.0,20.0,1.0,0.12817335842976513
1.0,1.0,7.0,20.0,1.0,0.6124440287974905
1.0,1.0,8.0,20.0,1.0,0.6994400337434338
1.0,1.0,9.0,20.0,1.0,1.0880997493511673
1.0,1.0,10.0,20.0,1.0,1.053379027378719
1.0,1.0,11.0,20.0,1.0,1.0999939758498718
1.0,1.0,12.0,20.0,1.0,1.1508972692118542
1.0,1.0,13.0,20.0,1.0,1.1511289469892616
1.0,1.0,14.0,20.0,1.0,1.1782656903328466
1.0,1.0,15.0,20.0,1.0,3.83844987384429
1.0,1.0,17.0,20.0,1.0,2.3206203367600966
1.0,1.0,18.0,20.0,1.0,7.468759977356092
1.0,1.0,20.0,20.0,1.0,68.40140642565609
1.0,1.0,21.0,20.0,1.0,44.96337634655235
1.0,1.0,23.0,20.0,1.0,7.510824590191822
1.0,1.0,25.0,20.0,1.0,4.359200941532019
1.0,1.0,27.0,20.0,1.0,3.044549049257281
1.0,1.0,29.0,20.0,1.0,2.2207216356953414
1.0,1.0,31.0,20.0,1.0,1.864117482403129
1.0,1.0,34.0,20.0,1.0,1.826932781965334
1.0,1.0,37.0,20.0,1.0,1.4673776355623018
1.0,1.0,40.0,20.0,1.0,1.474351261055134
1.0,1.0,43.0,20.0,1.0,1.4188011452400322
1.0,1.0,47.0,20.0,1.0,1.329806592635536
1.0,1.0,51.0,20.0,1.0,1.272883720070266
1.0,1.0,55.0,20.0,1.0,1.3408479874390995
1.0,1.0,59.0,20.0,1.0,1.2686157706968901
1.0,1.0,64.0,20.0,1.0,1.2476092585743577
1.0,1.0,69.0,20.0,1.0,1.2035846567417439
1.0,1.0,75.0,20.0,1.0,1.1426402059625804
1.0,1.0,81.0,20.0,1.0,1.175295766036948
1.0,1.0,88.0,20.0,1.0,1.122258878247405
1.0,1.0,95.0,20.0,1.0,1.0749850125642584
1.0,1.0,103.0,20.0,1.0,1.0358001593524533
1.0,1.0,111.0,20.0,1.0,1.0572775284280571
1.0,1.0,120.0,20.0,1.0,1.1040922556860864
1.0,1.0,130.0,20.0,1.0,1.08752484495077
1.0,1.0,140.0,20.0,1.0,1.0839493810402228
1.0,1.0,152.0,20.0,1.0,1.0723184062614672
1.0,1.0,164.0,20.0,1.0,1.0389711254654395
1.0,1.0,177.0,20.0,1.0,1.0641361890201957
1.0,1.0,192.0,20.0,1.0,1.0773670010717296
1.0,1.0,208.0,20.0,1.0,1.038366902311987
1.0,1.0,224.0,20.0,1.0,1.0225527296215815
1.0,1.0,243.0,20.0,1.0,1.0078605961317004
1.0,1.0,262.0,20.0,1.0,0.9960915488017761
1.0,1.0,284.0,20.0,1.0,1.0352601426736394
1.0,1.0,307.0,20.0,1.0,1.0389546569776906
1.0,1.0,332.0,20.0,1.0,1.0344938752890795
1.0,1.0,359.0,20.0,1.0,1.009245392885576
1.0,1.0,388.0,20.0,1.0,0.9902055072481075
1.0,1.0,419.0,20.0,1.0,1.012368591321046
1.0,1.0,454.0,20.0,1.0,0.999063192130384
1.0,1.0,490.0,20.0,1.0,1.0100365627923995
1.0,1.0,530.0,20.0,1.0,1.0443786044080776
1.0,1.0,573.0,20.0,1.0,1.0550528112527129
1.0,1.0,620.0,20.0,1.0,1.0731549692329125
1.0,1.0,670.0,20.0,1.0,1.0619475437308779
