λ,μ,p,true_p,n,snr,MSE
1.0,1.0,20.0,100.0,200.0,1.0,1.8817769470357972
1.0,1.0,21.0,100.0,200.0,1.0,1.8927919755850517
1.0,1.0,23.0,100.0,200.0,1.0,1.8991628538327732
1.0,1.0,25.0,100.0,200.0,1.0,1.8875677884291464
1.0,1.0,27.0,100.0,200.0,1.0,1.897319313835913
1.0,1.0,29.0,100.0,200.0,1.0,1.8723732373069364
1.0,1.0,31.0,100.0,200.0,1.0,1.837651326874119
1.0,1.0,34.0,100.0,200.0,1.0,1.8766554048048092
1.0,1.0,36.0,100.0,200.0,1.0,1.9487853810361462
1.0,1.0,39.0,100.0,200.0,1.0,1.9515278725459506
1.0,1.0,43.0,100.0,200.0,1.0,1.9085446284859129
1.0,1.0,46.0,100.0,200.0,1.0,1.878518382437926
1.0,1.0,50.0,100.0,200.0,1.0,1.9034591665347091
1.0,1.0,54.0,100.0,200.0,1.0,1.9155966150726276
1.0,1.0,58.0,100.0,200.0,1.0,1.8115845434006759
1.0,1.0,63.0,100.0,200.0,1.0,1.815135843152459
1.0,1.0,68.0,100.0,200.0,1.0,1.7903419962210718
1.0,1.0,73.0,100.0,200.0,1.0,1.819379184412982
1.0,1.0,79.0,100.0,200.0,1.0,1.9181214531351827
1.0,1.0,85.0,100.0,200.0,1.0,1.913407302528714
1.0,1.0,92.0,100.0,200.0,1.0,1.9052697124686362
1.0,1.0,100.0,100.0,200.0,1.0,1.7131330974588237
1.0,1.0,108.0,100.0,200.0,1.0,1.673280878832412
1.0,1.0,116.0,100.0,200.0,1.0,1.8812963073150342
1.0,1.0,126.0,100.0,200.0,1.0,2.1066505709353334
1.0,1.0,136.0,100.0,200.0,1.0,2.2692407010370736
1.0,1.0,147.0,100.0,200.0,1.0,3.0215302772446826
1.0,1.0,158.0,100.0,200.0,1.0,3.989687468958189
1.0,1.0,171.0,100.0,200.0,1.0,4.271901646733777
1.0,1.0,185.0,100.0,200.0,1.0,20.81614999362235
1.0,1.0,200.0,100.0,200.0,1.0,1671.3192780949187
1.0,1.0,216.0,100.0,200.0,1.0,26.021348621364805
1.0,1.0,234.0,100.0,200.0,1.0,11.543252622900726
1.0,1.0,254.0,100.0,200.0,1.0,5.4606995253608615
1.0,1.0,275.0,100.0,200.0,1.0,4.09497684278733
1.0,1.0,297.0,100.0,200.0,1.0,3.621152243305325
1.0,1.0,322.0,100.0,200.0,1.0,3.1242299659495503
1.0,1.0,348.0,100.0,200.0,1.0,2.8625780963274057
1.0,1.0,377.0,100.0,200.0,1.0,2.63899580830473
1.0,1.0,408.0,100.0,200.0,1.0,2.4708912716008165
1.0,1.0,442.0,100.0,200.0,1.0,2.3443793971552505
1.0,1.0,479.0,100.0,200.0,1.0,2.248279871199549
1.0,1.0,518.0,100.0,200.0,1.0,2.206722361698247
1.0,1.0,561.0,100.0,200.0,1.0,2.1442455525318707
1.0,1.0,608.0,100.0,200.0,1.0,2.123069717288415
1.0,1.0,658.0,100.0,200.0,1.0,2.0814999506382876
1.0,1.0,712.0,100.0,200.0,1.0,2.06026545516697
1.0,1.0,771.0,100.0,200.0,1.0,2.0485532669415485
1.0,1.0,835.0,100.0,200.0,1.0,2.0308403500557826
1.0,1.0,904.0,100.0,200.0,1.0,2.014493361523516
1.0,1.0,979.0,100.0,200.0,1.0,2.0184480948285723
1.0,1.0,1059.0,100.0,200.0,1.0,2.0096793042354073
1.0,1.0,1147.0,100.0,200.0,1.0,1.9867640906009052
1.0,1.0,1242.0,100.0,200.0,1.0,1.9889582963322574
1.0,1.0,1344.0,100.0,200.0,1.0,1.9946147363894222
1.0,1.0,1455.0,100.0,200.0,1.0,1.991134940396769
1.0,1.0,1576.0,100.0,200.0,1.0,1.9803765861148712
1.0,1.0,1706.0,100.0,200.0,1.0,1.9902724075186853
1.0,1.0,1847.0,100.0,200.0,1.0,1.9785549727189056
1.0,1.0,2000.0,100.0,200.0,1.0,2.007779864036019
1.0,1.0,20.0,100.0,200.0,2.333333333333333,2.979388539116306
1.0,1.0,21.0,100.0,200.0,2.333333333333333,2.9762291847730746
1.0,1.0,23.0,100.0,200.0,2.333333333333333,2.966453695310519
1.0,1.0,25.0,100.0,200.0,2.333333333333333,2.936433596693374
1.0,1.0,27.0,100.0,200.0,2.333333333333333,2.91210261109325
1.0,1.0,29.0,100.0,200.0,2.333333333333333,2.865396024854834
1.0,1.0,31.0,100.0,200.0,2.333333333333333,2.80152682262119
1.0,1.0,34.0,100.0,200.0,2.333333333333333,2.843490541942264
1.0,1.0,36.0,100.0,200.0,2.333333333333333,2.9326330105519918
1.0,1.0,39.0,100.0,200.0,2.333333333333333,2.914242118637704
1.0,1.0,43.0,100.0,200.0,2.333333333333333,2.83682832501692
1.0,1.0,46.0,100.0,200.0,2.333333333333333,2.7592304743647698
1.0,1.0,50.0,100.0,200.0,2.333333333333333,2.743829314857164
1.0,1.0,54.0,100.0,200.0,2.333333333333333,2.714761949986506
1.0,1.0,58.0,100.0,200.0,2.333333333333333,2.504967125658566
1.0,1.0,63.0,100.0,200.0,2.333333333333333,2.4289736856654467
1.0,1.0,68.0,100.0,200.0,2.333333333333333,2.3578846974760026
1.0,1.0,73.0,100.0,200.0,2.333333333333333,2.373690392226446
1.0,1.0,79.0,100.0,200.0,2.333333333333333,2.4359927206689354
1.0,1.0,85.0,100.0,200.0,2.333333333333333,2.2744945969184402
1.0,1.0,92.0,100.0,200.0,2.333333333333333,2.134525356895335
1.0,1.0,100.0,100.0,200.0,2.333333333333333,1.7131330974588244
1.0,1.0,108.0,100.0,200.0,2.333333333333333,1.673280878832411
1.0,1.0,116.0,100.0,200.0,2.333333333333333,1.8812963073150324
1.0,1.0,126.0,100.0,200.0,2.333333333333333,2.106650570935332
1.0,1.0,136.0,100.0,200.0,2.333333333333333,2.2692407010370728
1.0,1.0,147.0,100.0,200.0,2.333333333333333,3.0215302772446857
1.0,1.0,158.0,100.0,200.0,2.333333333333333,3.9896874689581994
1.0,1.0,171.0,100.0,200.0,2.333333333333333,4.271901646733741
1.0,1.0,185.0,100.0,200.0,2.333333333333333,20.81614999362236
1.0,1.0,200.0,100.0,200.0,2.333333333333333,1671.3192780946376
1.0,1.0,216.0,100.0,200.0,2.333333333333333,26.191565785955966
1.0,1.0,234.0,100.0,200.0,2.333333333333333,11.740505345570238
1.0,1.0,254.0,100.0,200.0,2.333333333333333,5.865124772888818
1.0,1.0,275.0,100.0,200.0,2.333333333333333,4.57458923123901
1.0,1.0,297.0,100.0,200.0,2.333333333333333,4.16235982525909
1.0,1.0,322.0,100.0,200.0,2.333333333333333,3.7130826808205035
1.0,1.0,348.0,100.0,200.0,2.333333333333333,3.5026628631282763
1.0,1.0,377.0,100.0,200.0,2.333333333333333,3.339828310415831
1.0,1.0,408.0,100.0,200.0,2.333333333333333,3.1988735603792957
1.0,1.0,442.0,100.0,200.0,2.333333333333333,3.112345832981633
1.0,1.0,479.0,100.0,200.0,2.333333333333333,3.064303967776717
1.0,1.0,518.0,100.0,200.0,2.333333333333333,3.074496255134578
1.0,1.0,561.0,100.0,200.0,2.333333333333333,3.0342402887278097
1.0,1.0,608.0,100.0,200.0,2.333333333333333,3.0604523588889276
1.0,1.0,658.0,100.0,200.0,2.333333333333333,3.0355858360377317
1.0,1.0,712.0,100.0,200.0,2.333333333333333,3.0494054387809353
1.0,1.0,771.0,100.0,200.0,2.333333333333333,3.05967601899733
1.0,1.0,835.0,100.0,200.0,2.333333333333333,3.067115430372597
1.0,1.0,904.0,100.0,200.0,2.333333333333333,3.0733986738700607
1.0,1.0,979.0,100.0,200.0,2.333333333333333,3.102577280893387
1.0,1.0,1059.0,100.0,200.0,2.333333333333333,3.1116813468537554
1.0,1.0,1147.0,100.0,200.0,2.333333333333333,3.099165498755758
1.0,1.0,1242.0,100.0,200.0,2.333333333333333,3.126137562043847
1.0,1.0,1344.0,100.0,200.0,2.333333333333333,3.1488879016691573
1.0,1.0,1455.0,100.0,200.0,2.333333333333333,3.1603646528403284
1.0,1.0,1576.0,100.0,200.0,2.333333333333333,3.153566279560307
1.0,1.0,1706.0,100.0,200.0,2.333333333333333,3.18697947476708
1.0,1.0,1847.0,100.0,200.0,2.333333333333333,3.2002035728066183
1.0,1.0,2000.0,100.0,200.0,2.333333333333333,3.2593810302302684
1.0,1.0,20.0,100.0,200.0,3.6666666666666665,4.084870354853186
1.0,1.0,21.0,100.0,200.0,3.6666666666666665,4.0669091377821855
1.0,1.0,23.0,100.0,200.0,3.6666666666666665,4.038605796628494
1.0,1.0,25.0,100.0,200.0,3.6666666666666665,3.990291077703771
1.0,1.0,27.0,100.0,200.0,3.6666666666666665,3.9345483849975293
1.0,1.0,29.0,100.0,200.0,3.6666666666666665,3.8684114617658643
1.0,1.0,31.0,100.0,200.0,3.6666666666666665,3.7782619644538338
1.0,1.0,34.0,100.0,200.0,3.6666666666666665,3.816854570618425
1.0,1.0,36.0,100.0,200.0,3.6666666666666665,3.9178590884302946
1.0,1.0,39.0,100.0,200.0,3.6666666666666665,3.8728934198436415
1.0,1.0,43.0,100.0,200.0,3.6666666666666665,3.7655696768828535
1.0,1.0,46.0,100.0,200.0,3.6666666666666665,3.640914453736013
1.0,1.0,50.0,100.0,200.0,3.6666666666666665,3.589917837141607
1.0,1.0,54.0,100.0,200.0,3.6666666666666665,3.5114440448883544
1.0,1.0,58.0,100.0,200.0,3.6666666666666665,3.202799430771452
1.0,1.0,63.0,100.0,200.0,3.6666666666666665,3.0499170299947123
1.0,1.0,68.0,100.0,200.0,3.6666666666666665,2.9295509210777193
1.0,1.0,73.0,100.0,200.0,3.6666666666666665,2.934105197885975
1.0,1.0,79.0,100.0,200.0,3.6666666666666665,2.9522914640288733
1.0,1.0,85.0,100.0,200.0,3.6666666666666665,2.6324170289355204
1.0,1.0,92.0,100.0,200.0,3.6666666666666665,2.3594321163269814
1.0,1.0,100.0,100.0,200.0,3.6666666666666665,1.7131330974588248
1.0,1.0,108.0,100.0,200.0,3.6666666666666665,1.6732808788324103
1.0,1.0,116.0,100.0,200.0,3.6666666666666665,1.8812963073150313
1.0,1.0,126.0,100.0,200.0,3.6666666666666665,2.106650570935331
1.0,1.0,136.0,100.0,200.0,3.6666666666666665,2.2692407010370736
1.0,1.0,147.0,100.0,200.0,3.6666666666666665,3.021530277244689
1.0,1.0,158.0,100.0,200.0,3.6666666666666665,3.9896874689582065
1.0,1.0,171.0,100.0,200.0,3.6666666666666665,4.271901646733714
