λ,μ,p,true_p,n,snr,MSE
1.0,1.0,20.0,400.0,200.0,1.0,2.3317390466411387
1.0,1.0,21.0,400.0,200.0,1.0,2.342387226243552
1.0,1.0,23.0,400.0,200.0,1.0,2.3274730223553175
1.0,1.0,25.0,400.0,200.0,1.0,2.324469709558311
1.0,1.0,27.0,400.0,200.0,1.0,2.347801600036848
1.0,1.0,29.0,400.0,200.0,1.0,2.364184306494992
1.0,1.0,31.0,400.0,200.0,1.0,2.356869355875357
1.0,1.0,34.0,400.0,200.0,1.0,2.4782398132655787
1.0,1.0,36.0,400.0,200.0,1.0,2.4709991128785505
1.0,1.0,39.0,400.0,200.0,1.0,2.550216430638705
1.0,1.0,43.0,400.0,200.0,1.0,2.560857948795151
1.0,1.0,46.0,400.0,200.0,1.0,2.585158089422329
1.0,1.0,50.0,400.0,200.0,1.0,2.745727619865538
1.0,1.0,54.0,400.0,200.0,1.0,2.789083022935116
1.0,1.0,58.0,400.0,200.0,1.0,2.78568115495916
1.0,1.0,63.0,400.0,200.0,1.0,2.974404990064249
1.0,1.0,68.0,400.0,200.0,1.0,3.137061681166904
1.0,1.0,73.0,400.0,200.0,1.0,3.462468696893708
1.0,1.0,79.0,400.0,200.0,1.0,3.676934458282563
1.0,1.0,85.0,400.0,200.0,1.0,3.642690610882757
1.0,1.0,92.0,400.0,200.0,1.0,3.9078120419176927
1.0,1.0,100.0,400.0,200.0,1.0,3.9573030498153057
1.0,1.0,108.0,400.0,200.0,1.0,4.150924190324012
1.0,1.0,116.0,400.0,200.0,1.0,4.39627307841125
1.0,1.0,126.0,400.0,200.0,1.0,5.214426275911342
1.0,1.0,136.0,400.0,200.0,1.0,6.440279157153004
1.0,1.0,147.0,400.0,200.0,1.0,7.380079136172168
1.0,1.0,158.0,400.0,200.0,1.0,8.89102157550014
1.0,1.0,171.0,400.0,200.0,1.0,16.62819570332977
1.0,1.0,185.0,400.0,200.0,1.0,25.39461541668039
1.0,1.0,200.0,400.0,200.0,1.0,549.9767744948161
1.0,1.0,216.0,400.0,200.0,1.0,20.326256996863325
1.0,1.0,234.0,400.0,200.0,1.0,8.436249425340744
1.0,1.0,254.0,400.0,200.0,1.0,6.350740115774022
