λ,μ,p,n,snr,n_iter,MSE
1.0,1.0,200.0,200.0,2.333333333333333,40152012.5,7446.312841769177
1.0,1.0,200.0,200.0,3.6666666666666665,40152012.5,7446.312841775308
1.0,1.0,200.0,200.0,5.0,40152012.5,7446.312841780393
1.0,1.0,216.0,200.0,1.0,40152012.5,25.82408325647232
1.0,1.0,216.0,200.0,2.333333333333333,40152012.5,25.83360683671694
1.0,1.0,216.0,200.0,3.6666666666666665,40152012.5,25.85602892218733
1.0,1.0,216.0,200.0,5.0,40152012.5,25.88453382048812
1.0,1.0,234.0,200.0,1.0,40152012.5,6.556156104324687
1.0,1.0,234.0,200.0,2.333333333333333,40152012.5,6.729139272166208
1.0,1.0,234.0,200.0,3.6666666666666665,40152012.5,6.892443172084367
1.0,1.0,234.0,200.0,5.0,40152012.5,7.051182420976482
1.0,1.0,254.0,200.0,1.0,40152012.5,4.38897113079415
1.0,1.0,254.0,200.0,2.333333333333333,40152012.5,4.749074381048299
1.0,1.0,254.0,200.0,3.6666666666666665,40152012.5,5.083728015347937
1.0,1.0,254.0,200.0,5.0,40152012.5,5.40637985193943
1.0,1.0,275.0,200.0,1.0,40152012.5,3.7562992713818186
1.0,1.0,275.0,200.0,2.333333333333333,40152012.5,4.177384757309335
1.0,1.0,275.0,200.0,3.6666666666666665,40152012.5,4.5704597531049735
1.0,1.0,275.0,200.0,5.0,40152012.5,4.9503252671988225
1.0,1.0,297.0,200.0,1.0,40152012.5,4.115799878244449
1.0,1.0,297.0,200.0,2.333333333333333,40152012.5,4.610225280517083
1.0,1.0,297.0,200.0,3.6666666666666665,40152012.5,5.071245848299958
1.0,1.0,297.0,200.0,5.0,40152012.5,5.516513012701948
1.0,1.0,322.0,200.0,1.0,40152012.5,2.821319858759842
1.0,1.0,322.0,200.0,2.333333333333333,40152012.5,3.2066271237288033
1.0,1.0,322.0,200.0,3.6666666666666665,40152012.5,3.5963833066379878
1.0,1.0,322.0,200.0,5.0,40152012.5,3.9882375570871336
1.0,1.0,348.0,200.0,1.0,40152012.5,2.0642998256117524
1.0,1.0,348.0,200.0,2.333333333333333,40152012.5,2.4418353814485614
1.0,1.0,348.0,200.0,3.6666666666666665,40152012.5,2.83933736961041
1.0,1.0,348.0,200.0,5.0,40152012.5,3.246255338042718
1.0,1.0,377.0,200.0,1.0,40152012.5,1.9141742701384374
1.0,1.0,377.0,200.0,2.333333333333333,40152012.5,2.4067825440008783
1.0,1.0,377.0,200.0,3.6666666666666665,40152012.5,2.9058066618127745
1.0,1.0,377.0,200.0,5.0,40152012.5,3.407856430830802
1.0,1.0,408.0,200.0,1.0,40152012.5,1.7586376827400256
1.0,1.0,408.0,200.0,2.333333333333333,40152012.5,2.261314870283486
1.0,1.0,408.0,200.0,3.6666666666666665,40152012.5,2.766777152651036
1.0,1.0,408.0,200.0,5.0,40152012.5,3.2735528593443775
1.0,1.0,442.0,200.0,1.0,40152012.5,1.4776055202632266
1.0,1.0,442.0,200.0,2.333333333333333,40152012.5,2.0354179312931437
1.0,1.0,442.0,200.0,3.6666666666666665,40152012.5,2.5992401649736503
1.0,1.0,442.0,200.0,5.0,40152012.5,3.1658965740634475
1.0,1.0,479.0,200.0,1.0,40152012.5,1.2228007793645301
1.0,1.0,479.0,200.0,2.333333333333333,40152012.5,1.8218755958795545
1.0,1.0,479.0,200.0,3.6666666666666665,40152012.5,2.426859033687646
1.0,1.0,479.0,200.0,5.0,40152012.5,3.0346289213038684
1.0,1.0,518.0,200.0,1.0,40152012.5,1.1633376593739413
1.0,1.0,518.0,200.0,2.333333333333333,40152012.5,1.8133901808449786
1.0,1.0,518.0,200.0,3.6666666666666665,40152012.5,2.4607173865463388
1.0,1.0,518.0,200.0,5.0,40152012.5,3.1067593591574676
1.0,1.0,561.0,200.0,1.0,40152012.5,1.1085289975629335
1.0,1.0,561.0,200.0,2.333333333333333,40152012.5,1.772115155778169
1.0,1.0,561.0,200.0,3.6666666666666665,40152012.5,2.444348506494941
1.0,1.0,561.0,200.0,5.0,40152012.5,3.120659791249391
1.0,1.0,608.0,200.0,1.0,40152012.5,1.1004423225775
1.0,1.0,608.0,200.0,2.333333333333333,40152012.5,1.7953625518121927
1.0,1.0,608.0,200.0,3.6666666666666665,40152012.5,2.4890012145178844
1.0,1.0,608.0,200.0,5.0,40152012.5,3.1820355025934
1.0,1.0,658.0,200.0,1.0,40152012.5,1.0457378147457521
1.0,1.0,658.0,200.0,2.333333333333333,40152012.5,1.734729041759682
1.0,1.0,658.0,200.0,3.6666666666666665,40152012.5,2.4274652622064976
1.0,1.0,658.0,200.0,5.0,40152012.5,3.1219675860664315
1.0,1.0,712.0,200.0,1.0,40152012.5,1.0162089543760793
1.0,1.0,712.0,200.0,2.333333333333333,40152012.5,1.752970288535039
1.0,1.0,712.0,200.0,3.6666666666666665,40152012.5,2.4932313864887297
1.0,1.0,712.0,200.0,5.0,40152012.5,3.2351429398821314
1.0,1.0,771.0,200.0,1.0,40152012.5,0.9849933899005002
1.0,1.0,771.0,200.0,2.333333333333333,40152012.5,1.718969777154296
1.0,1.0,771.0,200.0,3.6666666666666665,40152012.5,2.457918765799306
1.0,1.0,771.0,200.0,5.0,40152012.5,3.199212786137023
1.0,1.0,835.0,200.0,1.0,40152012.5,0.9536839793560818
1.0,1.0,835.0,200.0,2.333333333333333,40152012.5,1.7043384831207253
1.0,1.0,835.0,200.0,3.6666666666666665,40152012.5,2.460694241031626
1.0,1.0,835.0,200.0,5.0,40152012.5,3.2197386563693557
1.0,1.0,904.0,200.0,1.0,40152012.5,0.9909551168482739
1.0,1.0,904.0,200.0,2.333333333333333,40152012.5,1.7934649415913317
1.0,1.0,904.0,200.0,3.6666666666666665,40152012.5,2.5948583735574324
1.0,1.0,904.0,200.0,5.0,40152012.5,3.3957253252695345
1.0,1.0,979.0,200.0,1.0,40152012.5,1.017696132374672
1.0,1.0,979.0,200.0,2.333333333333333,40152012.5,1.8771295967846275
1.0,1.0,979.0,200.0,3.6666666666666665,40152012.5,2.7355156929305773
1.0,1.0,979.0,200.0,5.0,40152012.5,3.59340786012872
1.0,1.0,1059.0,200.0,1.0,40152012.5,1.1314109432318655
1.0,1.0,1059.0,200.0,2.333333333333333,40152012.5,2.055747117764196
1.0,1.0,1059.0,200.0,3.6666666666666665,40152012.5,2.9653257683324528
1.0,1.0,1059.0,200.0,5.0,40152012.5,3.8679449104505044
1.0,1.0,1147.0,200.0,1.0,40152012.5,1.1519971617609093
1.0,1.0,1147.0,200.0,2.333333333333333,40152012.5,2.16411352979921
1.0,1.0,1147.0,200.0,3.6666666666666665,40152012.5,3.1644827714436605
1.0,1.0,1147.0,200.0,5.0,40152012.5,4.15931217960367
1.0,1.0,1242.0,200.0,1.0,40152012.5,1.1336265130953416
1.0,1.0,1242.0,200.0,2.333333333333333,40152012.5,2.12131818906567
1.0,1.0,1242.0,200.0,3.6666666666666665,40152012.5,3.0899166730179632
1.0,1.0,1242.0,200.0,5.0,40152012.5,4.049510988553225
1.0,1.0,1344.0,200.0,1.0,40152012.5,1.094408923060727
1.0,1.0,1344.0,200.0,2.333333333333333,40152012.5,2.104639680602995
1.0,1.0,1344.0,200.0,3.6666666666666665,40152012.5,3.0933889898738576
1.0,1.0,1344.0,200.0,5.0,40152012.5,4.072007851711168
1.0,1.0,1455.0,200.0,1.0,40152012.5,1.1257786225633164
1.0,1.0,1455.0,200.0,2.333333333333333,40152012.5,2.211946994737981
1.0,1.0,1455.0,200.0,3.6666666666666665,40152012.5,3.2773241160744626
1.0,1.0,1455.0,200.0,5.0,40152012.5,4.332896280546166
1.0,1.0,1576.0,200.0,1.0,40152012.5,1.0305866933457863
1.0,1.0,1576.0,200.0,2.333333333333333,40152012.5,2.0490813251355746
1.0,1.0,1576.0,200.0,3.6666666666666665,40152012.5,3.054057635751287
1.0,1.0,1576.0,200.0,5.0,40152012.5,4.052658834209121
1.0,1.0,1706.0,200.0,1.0,40152012.5,1.0025545315973918
1.0,1.0,1706.0,200.0,2.333333333333333,40152012.5,2.0518278116086357
1.0,1.0,1706.0,200.0,3.6666666666666665,40152012.5,3.093973727953741
1.0,1.0,1706.0,200.0,5.0,40152012.5,4.1327584471371175
1.0,1.0,1847.0,200.0,1.0,40152012.5,0.9961175170401663
1.0,1.0,1847.0,200.0,2.333333333333333,40152012.5,2.0431585717869276
1.0,1.0,1847.0,200.0,3.6666666666666665,40152012.5,3.078246155432523
1.0,1.0,1847.0,200.0,5.0,40152012.5,4.1076965953851525
1.0,1.0,2000.0,200.0,1.0,40152012.5,1.008164354692128
1.0,1.0,2000.0,200.0,2.333333333333333,40152012.5,2.1149988974285736
1.0,1.0,2000.0,200.0,3.6666666666666665,40152012.5,3.213375253794384
