λ,μ,p,true_p,n,snr,MSE
1.0,1.0,20.0,100.0,200.0,1.0,2.104686913350149
1.0,1.0,21.0,100.0,200.0,1.0,2.102093512394816
1.0,1.0,23.0,100.0,200.0,1.0,2.0791329232126636
1.0,1.0,25.0,100.0,200.0,1.0,2.0889899523990447
1.0,1.0,27.0,100.0,200.0,1.0,2.0483450615119643
1.0,1.0,29.0,100.0,200.0,1.0,2.0694739028009583
1.0,1.0,31.0,100.0,200.0,1.0,2.04502878130989
1.0,1.0,34.0,100.0,200.0,1.0,2.0822045437390932
1.0,1.0,36.0,100.0,200.0,1.0,2.0177166404006663
1.0,1.0,39.0,100.0,200.0,1.0,2.0991196339093907
1.0,1.0,43.0,100.0,200.0,1.0,2.0417967742908822
1.0,1.0,46.0,100.0,200.0,1.0,2.039691510425463
1.0,1.0,50.0,100.0,200.0,1.0,2.2763976988214796
1.0,1.0,54.0,100.0,200.0,1.0,2.297965628197058
1.0,1.0,58.0,100.0,200.0,1.0,2.222230717282392
1.0,1.0,63.0,100.0,200.0,1.0,2.278842853790429
1.0,1.0,68.0,100.0,200.0,1.0,2.159338295228196
1.0,1.0,73.0,100.0,200.0,1.0,2.270987406494005
1.0,1.0,79.0,100.0,200.0,1.0,2.3878869411718746
1.0,1.0,85.0,100.0,200.0,1.0,2.212316432485315
1.0,1.0,92.0,100.0,200.0,1.0,2.1831943928215325
1.0,1.0,100.0,100.0,200.0,1.0,2.0196631243041883
1.0,1.0,108.0,100.0,200.0,1.0,2.2058581233935985
1.0,1.0,116.0,100.0,200.0,1.0,2.3281676001179066
1.0,1.0,126.0,100.0,200.0,1.0,3.005885919206294
1.0,1.0,136.0,100.0,200.0,1.0,4.138298989214234
1.0,1.0,147.0,100.0,200.0,1.0,4.827537630721068
1.0,1.0,158.0,100.0,200.0,1.0,5.763995764450011
1.0,1.0,171.0,100.0,200.0,1.0,7.496071621780537
1.0,1.0,185.0,100.0,200.0,1.0,16.251098741584983
1.0,1.0,200.0,100.0,200.0,1.0,132.09220966020203
