λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,1.8817769470357466
1.0,1.0,20.0,100.0,200.0,-1.0,1.0,32.96580867567034
1.0,1.0,20.0,100.0,200.0,-2.0,1.0,3.2040481873383237
1.0,1.0,20.0,100.0,200.0,-3.0,1.0,2.297297093258286
1.0,1.0,20.0,100.0,200.0,-4.0,1.0,2.1403806936827388
1.0,1.0,20.0,100.0,200.0,-5.0,1.0,2.0774930260908344
1.0,1.0,20.0,100.0,200.0,-6.0,1.0,2.043989448381094
1.0,1.0,20.0,100.0,200.0,-7.0,1.0,2.0232770483720435
1.0,1.0,20.0,100.0,200.0,-8.0,1.0,2.0092390454435174
1.0,1.0,21.0,100.0,200.0,0.0,1.0,1.8927919755850067
1.0,1.0,21.0,100.0,200.0,-1.0,1.0,38.07285371366526
1.0,1.0,21.0,100.0,200.0,-2.0,1.0,3.2161319132226343
1.0,1.0,21.0,100.0,200.0,-3.0,1.0,2.310971198917396
1.0,1.0,21.0,100.0,200.0,-4.0,1.0,2.15035212400567
1.0,1.0,21.0,100.0,200.0,-5.0,1.0,2.0851817439350246
1.0,1.0,21.0,100.0,200.0,-6.0,1.0,2.050211337620805
1.0,1.0,21.0,100.0,200.0,-7.0,1.0,2.0284905712062473
1.0,1.0,21.0,100.0,200.0,-8.0,1.0,2.013720660681853
1.0,1.0,23.0,100.0,200.0,0.0,1.0,1.8991628538327356
1.0,1.0,23.0,100.0,200.0,-1.0,1.0,43.910829903719076
1.0,1.0,23.0,100.0,200.0,-2.0,1.0,3.2159327991671374
1.0,1.0,23.0,100.0,200.0,-3.0,1.0,2.3029200464545254
1.0,1.0,23.0,100.0,200.0,-4.0,1.0,2.1451728747647256
1.0,1.0,23.0,100.0,200.0,-5.0,1.0,2.081365990091551
1.0,1.0,23.0,100.0,200.0,-6.0,1.0,2.0471895393049775
1.0,1.0,23.0,100.0,200.0,-7.0,1.0,2.0259888938003954
1.0,1.0,23.0,100.0,200.0,-8.0,1.0,2.0115862705201955
1.0,1.0,25.0,100.0,200.0,0.0,1.0,1.8875677884291104
1.0,1.0,25.0,100.0,200.0,-1.0,1.0,277.767770128469
1.0,1.0,25.0,100.0,200.0,-2.0,1.0,3.8562584491559333
1.0,1.0,25.0,100.0,200.0,-3.0,1.0,2.374599387232346
1.0,1.0,25.0,100.0,200.0,-4.0,1.0,2.1781542099719915
1.0,1.0,25.0,100.0,200.0,-5.0,1.0,2.10224712885518
1.0,1.0,25.0,100.0,200.0,-6.0,1.0,2.0623524922404552
1.0,1.0,25.0,100.0,200.0,-7.0,1.0,2.0378578795462827
1.0,1.0,25.0,100.0,200.0,-8.0,1.0,2.0213240407177073
1.0,1.0,27.0,100.0,200.0,0.0,1.0,1.8973193138358977
1.0,1.0,27.0,100.0,200.0,-1.0,1.0,87.39482260819148
1.0,1.0,27.0,100.0,200.0,-2.0,1.0,4.061303772770743
1.0,1.0,27.0,100.0,200.0,-3.0,1.0,2.426686904852197
1.0,1.0,27.0,100.0,200.0,-4.0,1.0,2.2066577097710782
1.0,1.0,27.0,100.0,200.0,-5.0,1.0,2.1215026333094604
1.0,1.0,27.0,100.0,200.0,-6.0,1.0,2.076777368427796
1.0,1.0,27.0,100.0,200.0,-7.0,1.0,2.049345976822822
1.0,1.0,27.0,100.0,200.0,-8.0,1.0,2.030849283129385
1.0,1.0,29.0,100.0,200.0,0.0,1.0,1.8723732373068953
1.0,1.0,29.0,100.0,200.0,-1.0,1.0,95.00442969156818
1.0,1.0,29.0,100.0,200.0,-2.0,1.0,6.870762295023288
1.0,1.0,29.0,100.0,200.0,-3.0,1.0,2.551010635273519
1.0,1.0,29.0,100.0,200.0,-4.0,1.0,2.2590798558109784
1.0,1.0,29.0,100.0,200.0,-5.0,1.0,2.153838490317193
1.0,1.0,29.0,100.0,200.0,-6.0,1.0,2.099991507371638
1.0,1.0,29.0,100.0,200.0,-7.0,1.0,2.067405911158786
1.0,1.0,29.0,100.0,200.0,-8.0,1.0,2.0456110048136145
1.0,1.0,31.0,100.0,200.0,0.0,1.0,1.8376513268741084
1.0,1.0,31.0,100.0,200.0,-1.0,1.0,121.73045232395626
1.0,1.0,31.0,100.0,200.0,-2.0,1.0,8.130052833677519
1.0,1.0,31.0,100.0,200.0,-3.0,1.0,2.64009960789145
1.0,1.0,31.0,100.0,200.0,-4.0,1.0,2.3026949578913287
1.0,1.0,31.0,100.0,200.0,-5.0,1.0,2.1824838040327754
1.0,1.0,31.0,100.0,200.0,-6.0,1.0,2.121264973052302
1.0,1.0,31.0,100.0,200.0,-7.0,1.0,2.0843084569990573
1.0,1.0,31.0,100.0,200.0,-8.0,1.0,2.0596259893425146
1.0,1.0,34.0,100.0,200.0,0.0,1.0,1.8766554048048165
1.0,1.0,34.0,100.0,200.0,-1.0,1.0,57.422364481012416
1.0,1.0,34.0,100.0,200.0,-2.0,1.0,9.419977759501629
1.0,1.0,34.0,100.0,200.0,-3.0,1.0,2.669781476237948
1.0,1.0,34.0,100.0,200.0,-4.0,1.0,2.3190005311397544
1.0,1.0,34.0,100.0,200.0,-5.0,1.0,2.193555550699485
1.0,1.0,34.0,100.0,200.0,-6.0,1.0,2.1295822930990127
1.0,1.0,34.0,100.0,200.0,-7.0,1.0,2.090943460057557
1.0,1.0,34.0,100.0,200.0,-8.0,1.0,2.0651332694752687
1.0,1.0,36.0,100.0,200.0,0.0,1.0,1.9487853810361462
1.0,1.0,36.0,100.0,200.0,-1.0,1.0,72.19371842176788
1.0,1.0,36.0,100.0,200.0,-2.0,1.0,11.26032095108035
1.0,1.0,36.0,100.0,200.0,-3.0,1.0,2.7145484678025236
1.0,1.0,36.0,100.0,200.0,-4.0,1.0,2.3443665468655674
1.0,1.0,36.0,100.0,200.0,-5.0,1.0,2.2115437548140724
1.0,1.0,36.0,100.0,200.0,-6.0,1.0,2.1435566701165403
1.0,1.0,36.0,100.0,200.0,-7.0,1.0,2.102376344905657
