λ,μ,p,n,tau,snr,MSE
1.0,1.0,92.0,200.0,0.1,3.6666666666666665,0.6957894726277231
1.0,1.0,100.0,200.0,0.0,3.6666666666666665,1.309996325849899
1.0,1.0,100.0,200.0,0.1,3.6666666666666665,0.724470291307136
1.0,1.0,108.0,200.0,0.0,3.6666666666666665,1.5307115440966839
1.0,1.0,108.0,200.0,0.1,3.6666666666666665,0.8344442907088278
1.0,1.0,116.0,200.0,0.0,3.6666666666666665,1.961860120116466
1.0,1.0,116.0,200.0,0.1,3.6666666666666665,0.9600517876834022
1.0,1.0,126.0,200.0,0.0,3.6666666666666665,2.2502096382591534
1.0,1.0,126.0,200.0,0.1,3.6666666666666665,1.0573783403558907
1.0,1.0,136.0,200.0,0.0,3.6666666666666665,2.3320283661938612
1.0,1.0,136.0,200.0,0.1,3.6666666666666665,1.1608693739072904
1.0,1.0,147.0,200.0,0.0,3.6666666666666665,3.458412839550081
1.0,1.0,147.0,200.0,0.1,3.6666666666666665,1.4005469924237268
1.0,1.0,158.0,200.0,0.0,3.6666666666666665,3.9004741224793484
1.0,1.0,158.0,200.0,0.1,3.6666666666666665,1.4073617860803276
1.0,1.0,171.0,200.0,0.0,3.6666666666666665,6.065054546563563
1.0,1.0,171.0,200.0,0.1,3.6666666666666665,1.6408114026959215
1.0,1.0,185.0,200.0,0.0,3.6666666666666665,10.812092396099004
1.0,1.0,185.0,200.0,0.1,3.6666666666666665,1.8440094564357417
1.0,1.0,200.0,200.0,0.0,3.6666666666666665,10940.364896901796
1.0,1.0,200.0,200.0,0.1,3.6666666666666665,1.9189137366194948
1.0,1.0,216.0,200.0,0.0,3.6666666666666665,14.907956875514467
1.0,1.0,216.0,200.0,0.5061224489795918,3.6666666666666665,1.7042729308555318
1.0,1.0,234.0,200.0,0.0,3.6666666666666665,8.366750595679894
1.0,1.0,234.0,200.0,0.5061224489795918,3.6666666666666665,1.7722401487817665
1.0,1.0,254.0,200.0,0.0,3.6666666666666665,4.963862946755028
1.0,1.0,254.0,200.0,0.5061224489795918,3.6666666666666665,1.89249703161789
1.0,1.0,275.0,200.0,0.0,3.6666666666666665,3.4782012076753737
1.0,1.0,275.0,200.0,0.5061224489795918,3.6666666666666665,1.940531738982131
1.0,1.0,297.0,200.0,0.0,3.6666666666666665,3.012421464541107
1.0,1.0,297.0,200.0,0.5061224489795918,3.6666666666666665,2.077561920540487
1.0,1.0,322.0,200.0,0.0,3.6666666666666665,2.971011948606175
1.0,1.0,322.0,200.0,0.5061224489795918,3.6666666666666665,2.2071336483070323
1.0,1.0,348.0,200.0,0.0,3.6666666666666665,3.0251683761449186
1.0,1.0,348.0,200.0,0.9122448979591836,3.6666666666666665,2.363986087055538
